SA1_CODE_2021,zone_tier,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
10601110701,core,30,1733,859,385,2169,0.8,1901,2.8
10601110702,core,36,1517,659,350,1759,0.8,1381,2.5
10601110703,core,31,2167,982,370,2555,0.7,2344,2.8
10601110704,external,46,2188,903,300,2899,0.8,2374,2.9
10601110705,external,45,2340,938,400,2700,0.8,2818,3.0
10601110706,core,45,2167,848,350,2250,0.8,1921,2.7
10601110707,core,55,2787,906,260,2178,0.7,1575,2.4
10601110708,core,44,2659,811,320,2208,0.8,2071,2.9
10601110709,core,41,1517,694,350,1946,0.8,1531,2.4
10601110710,core,34,1733,860,370,2050,0.8,1899,2.6
10601110712,core,37,1733,740,350,2156,0.8,1825,2.7
10601110713,core,39,1630,805,350,2031,0.8,1604,2.7
10601110714,core,32,1658,842,400,2058,0.8,1882,2.8
10601110716,external,38,2383,923,415,3008,0.8,3007,3.3
10601110717,external,42,2871,768,400,2428,0.9,2550,3.2
10601110718,external,43,2449,857,350,2824,0.8,2591,2.9
10601110719,core,32,1733,1030,380,2384,0.8,2125,2.8
10601110720,core,33,1690,812,360,2066,0.8,1875,2.7
10601110722,core,37,1400,807,345,2100,0.8,1937,2.6
10601110723,core,34,1712,781,380,2125,0.9,1974,3.0
10601110725,core,31,1733,995,380,2285,0.7,1949,2.6
10601110726,core,32,2015,947,390,2750,0.8,2514,2.9
10601110727,core,28,2167,1216,450,2512,0.8,2310,2.8
10601110728,core,56,2167,968,313,2333,0.7,2050,2.4
10601110729,core,30,2167,1102,450,2537,0.7,2413,2.9
10601110730,core,56,2351,1166,690,3463,0.6,3156,2.5
10601110731,core,42,2167,859,463,2681,0.8,2318,2.9
10601110732,core,29,2167,1157,450,2432,0.7,2266,2.8
10601110733,core,59,2500,1042,660,2356,0.6,2218,2.3
10601110801,core,44,1300,561,290,1216,0.8,946,2.1
10601110806,core,40,1400,532,288,1194,0.8,1053,2.4
10601110807,core,37,1300,601,318,1411,0.8,1241,2.4
10601110808,core,34,1278,665,310,1524,0.8,1312,2.4
10601110809,core,37,1478,622,310,1463,0.8,1286,2.4
10601110810,core,39,1446,745,300,1759,0.8,1321,2.5
10601110811,core,45,1509,611,355,1477,0.8,1399,2.5
10601110812,core,51,1473,490,230,1224,0.8,912,2.1
10601110813,core,52,1465,509,328,1476,0.8,1321,2.3
10601110814,core,49,1430,585,290,1275,0.7,822,2.0
10601110815,core,41,1300,725,345,1839,0.8,1375,2.3
10601110816,core,37,1549,667,310,1797,0.8,1292,2.5
10601110817,core,44,1509,607,315,1542,0.7,1158,2.4
10601110818,core,82,3609,463,121,3750,0.9,3625,2.2
10601110819,core,38,1462,652,290,1481,0.8,1275,2.4
10601110820,core,45,1387,523,310,1317,0.8,1068,2.3
10601110821,core,44,1415,551,305,1325,0.7,1132,2.2
10601110822,core,36,1434,677,315,1696,0.8,1359,2.6
10601110823,core,38,2167,624,300,2031,0.8,1625,3.0
10601110824,core,38,1279,589,335,1468,0.8,1270,2.5
10601110825,core,27,1157,489,340,1088,0.9,1064,3.0
10601110826,core,43,2167,762,330,2036,0.8,1696,2.7
10601110827,core,39,2124,575,370,1281,0.9,1300,3.0
10601110828,core,63,2200,1013,530,2083,0.6,1833,1.9
10601110829,core,39,1344,646,335,1583,0.8,1317,2.5
10601110830,core,35,1500,586,348,1509,0.8,1239,2.5
10601110831,core,42,1509,640,310,1458,0.8,1321,2.2
10601110832,core,35,1387,617,290,1406,0.9,992,2.3
10601110833,core,47,1443,604,310,1402,0.7,1228,2.2
10601110834,core,41,1408,667,300,1458,0.8,1143,2.2
10601110835,core,40,1539,643,330,1767,0.8,1343,2.4
10601110836,core,39,1511,695,310,1847,0.8,1382,2.4
10601110837,core,47,1300,532,295,1309,0.8,900,2.0
10601110838,core,38,1376,639,310,1474,0.8,1147,2.3
10601110839,core,34,1452,600,310,1625,0.8,1307,2.5
10601110840,core,40,1517,627,303,1375,0.8,1237,2.5
10601110841,core,33,1509,547,285,1521,0.8,1078,2.6
10601110842,core,39,1873,671,300,2203,0.8,2150,3.2
10601110843,core,43,1387,647,310,1575,0.8,1295,2.3
10601110844,core,40,1500,622,330,1649,0.8,1385,2.5
10601110845,core,67,1083,442,290,1260,0.8,717,1.8
10601110847,core,36,1517,653,343,1550,0.9,1437,2.8
10601110848,core,34,1344,622,313,1687,1.0,1449,2.8
10601110850,core,40,1708,722,370,1902,0.7,1758,2.6
10601110852,core,39,1733,654,310,1906,0.7,1458,2.4
10601110855,core,39,1950,788,380,2230,0.7,2083,2.9
10601110858,core,34,1333,541,300,1145,0.8,992,2.4
10601110859,core,24,1733,790,420,1823,0.9,1867,3.6
10601110860,core,35,1430,665,330,1442,0.8,1242,2.5
10601110861,core,38,0,0,0,0,0.0,0,0.0
10601110862,core,58,867,450,255,1125,0.9,1125,3.1
10601110863,core,30,1755,715,378,1803,0.9,1767,3.0
10601110864,core,42,2000,841,350,2363,0.8,2261,3.0
10601110865,core,36,1517,594,320,1286,0.7,1137,2.4
10601110866,core,43,1733,690,403,1906,0.7,1445,2.6
10601110901,core,33,1733,701,365,1773,0.8,1669,3.0
10601110902,core,32,1733,652,405,1485,0.8,1454,3.0
10601110903,core,39,1463,558,325,1821,0.9,1778,2.9
10601110904,core,36,1549,708,360,2227,0.9,2062,3.0
10601110905,core,44,1858,754,373,2166,0.8,2029,2.8
10601110906,core,43,2297,860,345,2603,0.8,2359,3.1
10601110907,core,33,1436,554,335,1770,0.9,1468,2.9
10601110908,core,39,1517,652,300,1681,0.8,1548,2.7
10601110909,core,33,1387,677,310,1580,0.8,1382,2.6
10601110911,core,40,1900,779,200,2150,0.8,1875,2.9
10601110912,core,42,3115,935,450,2656,0.8,2424,3.1
10601110913,core,51,2392,751,100,1930,0.7,1843,2.8
10601110914,core,46,2000,727,350,2281,0.8,2250,2.9
10601110915,core,47,2450,918,365,2575,0.8,2525,2.9
10601110916,core,47,2327,783,400,2187,0.9,2156,2.9
10601110917,core,42,1733,725,310,1803,0.8,1733,2.7
10601110918,core,53,1798,616,315,1724,0.9,1525,2.5
10601110920,core,56,1842,746,400,1946,0.8,1640,2.1
10601110921,core,57,1509,691,413,1924,0.8,1339,2.0
10601110922,core,53,1674,637,300,1910,0.7,1390,2.1
10601110924,core,19,3900,1499,0,2750,1.0,2750,4.0
10601110925,core,32,2708,1104,650,2843,0.8,2856,3.5
10601110926,core,32,2290,833,150,2799,0.8,2562,3.4
10601110927,core,48,2000,642,525,2100,0.8,2045,3.1
10601110928,core,33,2167,920,440,2840,1.0,2899,3.9
10601110929,core,32,1733,706,395,1946,0.8,1726,2.9
10601110930,core,52,1744,747,400,2125,0.8,1728,2.4
10601111001,external,42,2029,784,425,2194,0.8,2111,2.9
10601111002,external,39,1667,711,360,1846,0.8,1583,2.7
10601111003,external,42,1604,677,320,1728,0.8,1454,2.5
10601111004,external,39,1690,563,325,1843,0.8,1531,2.5
10601111006,external,57,1673,618,350,1403,0.7,1158,2.3
10601111007,external,53,1300,567,278,1240,0.7,960,2.2
10601111008,external,58,1000,534,250,1187,0.7,820,1.9
10601111009,external,49,1213,635,323,1359,0.7,1089,2.1
10601111010,external,50,1116,542,320,1187,0.7,1052,2.2
10601111011,external,40,2600,869,300,2457,0.8,2176,2.9
10601111012,external,40,1780,706,335,1958,0.8,1485,2.6
10601111013,external,46,2445,841,350,2027,0.9,1843,2.7
10601111014,external,41,2383,826,295,1937,0.8,1733,2.6
10601111015,external,57,2086,700,265,1699,0.7,1325,2.1
10601111016,external,52,1842,591,150,1478,0.8,1174,2.3
10601111017,external,53,2400,720,230,1562,0.8,1541,2.5
10601111018,external,54,1767,636,330,1916,0.7,1449,2.5
10601111019,external,53,1858,737,290,1895,0.7,1446,2.2
10601111020,external,48,2109,803,350,2023,0.8,1571,2.5
10601111021,external,38,2275,891,450,2416,0.8,2299,2.9
10601111022,external,41,1441,549,280,1553,0.8,1042,2.4
10601111023,external,44,1343,770,300,1931,0.8,1670,2.4
10601111024,external,41,2347,949,525,2678,0.8,2562,2.9
10601111025,external,49,2084,773,320,1968,0.9,1833,2.7
10601111026,external,42,2004,768,350,1931,0.9,2150,3.0
10601111027,external,42,2167,791,250,2025,0.8,1821,2.8
10601111028,external,45,1083,708,345,1562,0.7,1102,2.1
10601111029,external,36,1647,706,393,1937,0.9,1625,3.4
10601111101,core,37,1517,702,305,1887,0.8,1424,2.6
10601111102,core,46,1517,700,350,1458,0.8,1386,2.5
10601111103,core,27,1387,418,300,900,0.9,791,2.7
10601111104,core,40,1107,556,290,971,0.8,900,2.2
10601111105,core,33,1356,790,320,1625,0.8,1209,2.2
10601111106,core,36,1465,768,340,1854,0.8,1365,2.3
10601111107,core,36,1313,555,300,1275,0.8,1085,2.2
10601111108,core,43,1365,582,320,1440,0.8,1174,2.3
10601111109,core,37,1300,653,280,1892,0.8,1354,2.4
10601111110,core,37,1304,629,308,1521,0.8,1229,2.3
10601111111,core,34,1300,549,310,1350,0.9,1214,2.6
10601111112,core,33,2418,952,485,2732,0.8,2838,3.5
10601111113,core,41,1539,627,310,1476,0.7,1337,2.5
10601111114,core,43,1400,632,325,1759,0.8,1201,2.4
10601111115,core,37,1517,621,310,1521,0.8,1159,2.5
10601111116,core,46,1430,483,360,1545,0.8,1346,2.6
10601111117,core,37,1625,781,385,1937,0.8,1833,2.6
10601111118,core,41,1733,735,380,2166,0.8,2053,2.9
10601111121,core,41,1300,665,348,1547,0.9,1394,2.5
10601111122,core,39,1083,597,320,1542,0.8,1068,2.4
10601111123,core,38,1306,636,323,1670,0.8,1312,2.6
10601111124,core,34,1330,591,255,1593,0.9,1470,2.9
10601111125,core,55,1114,534,255,1325,0.9,789,2.1
10601111126,core,43,1733,645,375,1843,0.7,1515,2.6
10601111127,core,38,1512,627,320,1683,0.8,1358,2.4
10601111128,core,35,1282,632,290,1437,0.9,1044,2.2
10601111129,core,38,1399,710,340,1694,0.8,1375,2.2
10601111130,core,39,1560,657,320,1656,0.8,1492,2.5
10601111131,core,39,1509,725,300,1770,0.8,1394,2.4
10601111132,core,35,1517,691,350,1625,0.8,1262,2.4
10601111133,core,34,1330,554,300,1395,0.8,945,2.4
10601111134,core,38,1408,656,320,1275,0.8,1144,2.4
10601111135,core,39,1437,698,315,1713,0.8,1514,2.7
10601111136,core,44,1474,592,340,1383,0.8,1069,2.1
10601111137,core,0,0,0,0,0,0.0,0,0.0
10601111138,core,40,1742,782,358,2022,0.8,1781,2.8
10601111139,core,22,3467,2500,0,4750,1.0,4750,4.0
10601111140,core,38,1566,673,340,1493,0.8,1375,2.7
10601111141,core,37,2167,791,300,2634,0.8,2481,3.2
10601111142,core,32,2535,537,350,1208,1.1,2124,3.7
10601111143,core,39,1517,556,290,1399,0.8,1149,2.5
10601111144,core,37,1300,566,300,1550,0.9,1136,2.4
10601111146,core,32,0,0,0,0,0.0,0,0.0
10601111147,core,42,2156,700,320,1924,0.9,1833,3.1
