SA1_CODE_2021,zone_tier,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
10601110701,core,20,16,32,17,15,32,13,13,23,3,5,8,36,31,67,10,17,30,9,9,15,6,0,4,24,29,50,0,6,6,0,0,0,6,10,10,5,11,13,0,0,0,11,22,25,3,0,7,0,0,0,0,0,0,0,4,8,0,0,0,5,6,8,7,25,41,0,0,0,0,0,3,0,0,0,6,6,0,7,17,22,97,114,219
10601110702,core,8,9,13,30,15,42,8,4,6,0,0,0,31,21,54,10,13,20,6,3,14,3,3,6,22,16,39,0,0,0,0,4,4,3,0,3,0,5,5,0,0,0,0,9,12,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,3,5,9,3,10,17,0,0,0,0,0,4,0,0,0,0,0,4,14,13,29,81,74,156
10601110703,core,20,11,27,23,25,48,14,16,30,0,4,7,42,51,91,14,11,21,5,10,20,5,4,6,20,25,49,3,5,6,0,0,0,3,0,3,10,5,12,0,0,0,15,12,27,0,3,4,0,0,4,3,7,6,0,7,7,0,0,0,3,20,19,20,28,50,0,0,4,0,0,4,0,0,0,3,7,10,10,10,18,116,125,233
10601110704,external,7,0,4,8,4,18,8,4,15,0,5,4,15,15,31,6,0,7,7,7,12,4,0,5,14,13,26,0,3,3,0,0,0,3,4,9,0,0,0,0,0,0,3,4,11,7,4,12,0,0,0,0,0,5,0,4,7,0,0,0,9,12,15,7,14,24,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,51,53,101
10601110705,external,3,5,8,3,10,17,0,3,5,4,5,8,9,20,29,0,4,4,4,3,8,9,6,11,13,17,29,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,5,0,4,0,0,0,0,0,5,5,0,0,0,0,0,0,0,7,11,3,5,13,0,0,0,0,5,5,0,0,0,3,5,10,11,13,20,37,67,106
10601110706,core,3,0,6,4,5,11,6,9,17,0,0,0,11,13,31,4,4,6,9,5,13,0,3,6,13,19,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,7,17,0,0,0,0,3,5,0,0,0,0,3,5,4,6,16,40,59,98
10601110707,core,4,4,3,0,0,4,0,0,3,5,0,3,8,4,14,4,4,8,0,0,0,0,4,4,4,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,6,10,9,6,8,14,0,0,0,0,0,0,0,0,0,3,0,3,5,3,11,22,30,53
10601110708,core,4,5,6,5,3,15,3,3,11,9,6,11,17,14,35,0,9,7,0,4,3,9,3,9,9,14,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,4,0,0,0,0,0,0,3,0,3,0,0,0,3,0,7,8,3,11,0,4,4,0,0,0,0,0,0,0,4,4,5,8,18,47,44,89
10601110709,core,11,7,15,9,6,17,4,6,14,0,0,0,16,17,26,3,0,3,0,3,3,0,8,8,0,9,17,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,0,5,4,0,0,0,0,0,0,0,3,3,0,0,0,0,7,14,4,15,23,0,0,0,0,0,0,0,0,0,0,0,0,8,7,13,39,53,92
10601110710,core,3,6,11,4,8,11,11,10,13,0,0,0,11,7,27,9,5,14,0,3,8,0,0,3,20,4,21,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,6,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,7,7,3,11,10,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,43,31,73
