SA1_CODE_2021,zone_tier,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,F_3500_more_15_19_yrs,F_3500_more_20_24_yrs,F_3500_more_25_34_yrs,F_3500_more_35_44_yrs,F_3500_more_45_54_yrs,F_3500_more_55_64_yrs,F_3500_more_65_74_yrs,F_3500_more_75_84_yrs,F_3500_more_85ov,F_3500_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot
10601110701,core,0,0,4,5,0,5,5,0,0,18,0,0,0,0,5,0,0,0,0,11,0,0,11,3,0,5,0,0,0,27,0,4,10,3,0,0,3,0,0,27,0,5,8,10,5,5,0,0,0,32,0,4,9,3,0,3,0,0,0,24,0,0,0,0,3,4,0,0,0,6,0,0,3,0,0,0,0,0,0,6,0,0,0,5,5,0,0,0,0,5,0,0,3,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,4,3,0,0,12,24,23,69,54,29,27,26,4,0,251,24,3,8,8,9,5,5,0,0,48,9,0,0,4,0,0,0,0,0,17,5,4,4,5,3,0,8,0,0,26,4,0,9,4,6,5,14,3,0,49,0,0,0,3,5,3,5,3,0,19,8,0,13,3,0,3,0,0,3,36
10601110702,core,4,4,0,0,3,3,9,5,0,32,0,0,7,5,3,9,0,4,0,25,0,0,0,8,3,4,3,0,0,26,0,6,0,4,6,3,4,0,0,21,0,0,9,5,11,0,0,0,0,31,0,0,7,5,0,0,0,0,0,13,0,0,3,4,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,10,18,13,45,37,31,27,28,13,0,216,16,3,4,0,3,7,0,0,0,35,4,0,0,0,0,5,0,0,0,13,0,3,5,5,0,3,8,0,0,28,4,7,0,0,8,6,12,7,5,52,0,0,7,5,0,9,4,9,4,45,0,3,4,8,3,0,11,0,0,39
10601110703,core,6,0,0,4,3,3,5,0,0,18,0,6,0,11,3,3,3,6,0,33,5,3,10,0,3,3,3,0,0,31,0,0,14,5,4,4,0,0,0,26,0,6,14,5,5,3,0,0,0,30,0,3,10,11,0,3,0,0,0,28,0,0,7,3,5,7,0,0,0,21,0,0,0,7,4,0,0,0,0,14,0,0,4,0,3,0,0,0,0,12,0,0,6,5,7,5,0,0,0,25,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,12,25,33,79,64,50,39,18,10,0,314,16,0,11,3,6,3,3,0,0,46,7,0,0,0,5,3,0,0,0,21,3,3,3,0,3,6,0,0,0,14,6,0,0,4,0,6,3,0,0,30,0,10,3,11,3,4,9,11,0,54,6,3,10,3,4,5,5,0,0,46
10601110704,external,0,0,0,0,5,0,4,0,0,7,0,0,0,0,3,3,3,5,0,15,3,0,0,4,3,4,0,0,0,19,0,0,4,0,0,4,0,0,0,10,0,0,3,3,0,3,0,0,0,8,0,3,0,3,0,5,0,0,0,16,0,0,0,0,0,4,0,0,0,13,0,0,0,7,5,5,0,0,0,10,0,0,3,4,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,5,7,0,0,0,0,7,0,0,0,0,3,0,0,4,0,8,13,15,17,23,35,38,19,6,4,166,5,0,0,0,4,8,6,0,0,26,7,3,0,0,0,0,0,0,0,14,0,3,0,0,0,0,6,0,0,12,0,0,0,0,5,4,5,0,0,20,3,0,0,0,8,5,3,4,0,25,5,3,0,4,6,5,4,0,0,31
10601110705,external,0,0,0,0,0,0,8,0,0,13,0,3,0,0,0,0,4,0,0,9,0,3,0,0,0,8,3,0,0,14,0,0,0,4,8,9,0,0,0,25,0,0,0,0,3,5,3,0,0,11,0,0,0,6,4,5,0,0,0,12,0,0,0,5,0,5,0,0,0,11,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,4,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,7,0,0,0,3,5,0,4,0,0,11,11,10,12,31,30,28,26,3,0,154,8,0,0,4,3,3,0,0,0,20,4,0,0,5,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,8,4,0,26,0,3,0,0,4,0,7,0,0,12,3,3,0,0,3,8,3,3,0,18
10601110706,core,7,0,0,0,0,0,0,0,0,16,0,0,3,4,7,3,3,0,0,19,0,0,5,3,3,0,3,0,0,16,0,0,0,3,7,0,0,3,0,16,0,0,0,3,0,4,0,4,0,13,0,0,4,0,0,4,0,0,0,9,0,0,3,0,5,3,0,0,0,7,0,0,0,0,0,0,3,0,0,7,0,0,3,3,0,0,0,0,0,7,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,4,0,0,0,3,15,4,17,25,31,24,23,15,4,156,14,0,0,0,0,4,0,0,0,19,5,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,4,0,0,19,7,0,0,4,0,4,7,6,0,21,0,0,3,4,8,9,3,6,0,25,3,0,5,3,3,0,3,5,0,23
10601110707,core,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,5,0,0,8,0,0,0,0,0,0,3,0,0,10,0,0,0,4,0,5,0,3,0,9,0,0,4,4,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,0,0,4,0,3,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,3,0,0,5,0,0,0,0,0,4,0,0,0,3,5,10,14,13,14,27,25,7,0,120,3,0,0,0,0,0,9,0,0,22,5,0,0,0,0,0,3,0,0,7,0,0,0,0,0,5,3,0,0,17,0,0,0,0,4,3,3,4,0,13,0,0,0,0,0,0,5,0,0,9,0,0,0,3,0,0,4,0,0,14
10601110708,core,0,0,0,0,0,3,3,3,0,14,0,0,4,0,0,0,0,0,3,5,0,0,0,4,0,3,0,0,5,13,0,0,4,0,4,4,0,5,0,14,0,0,0,0,4,0,0,0,0,12,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,4,0,7,0,0,3,0,6,0,0,12,7,8,16,13,23,19,26,9,5,125,6,0,4,5,0,3,0,0,0,21,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,4,3,0,0,16,0,0,0,0,0,3,7,9,0,23,0,0,4,0,5,0,4,3,3,15,0,0,0,4,3,6,0,0,3,23
10601110709,core,0,0,0,0,0,0,6,0,0,14,0,0,0,0,0,0,7,8,6,18,0,0,0,0,0,5,0,0,4,18,3,0,0,0,3,0,0,0,0,14,0,3,3,0,4,0,0,0,0,10,0,0,0,8,5,0,0,0,0,11,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,9,13,8,21,12,19,16,22,15,12,139,12,0,0,0,0,9,0,0,0,23,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,17,8,0,25,0,0,4,0,0,0,9,10,4,26,0,0,0,0,3,3,4,4,4,23
10601110710,core,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,3,0,3,0,0,0,0,0,9,0,5,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,8,0,3,4,0,3,0,0,0,0,11,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,0,0,0,0,4,0,0,3,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,9,9,26,10,20,15,11,8,0,103,11,0,0,0,0,0,3,4,0,19,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,3,0,0,8,0,0,0,0,0,0,0,7,0,10,0,0,5,0,0,0,10,3,0,21,0,5,0,6,0,0,0,0,0,13
