SA1_CODE_2021,zone_tier,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
10601110701,core,4,7,7,4,0,5,4,0,0,43,0,5,13,13,11,3,0,0,0,52,0,11,23,10,10,3,0,0,0,59,0,4,13,7,9,9,0,0,0,32,0,0,8,13,4,3,0,0,0,27,0,0,10,10,8,0,0,0,0,29,0,0,18,23,7,4,0,0,0,50,0,0,3,6,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,5,3,3,0,24,53,41,134,114,75,51,34,18,3,522
10601110702,core,0,3,8,7,3,4,3,0,3,35,3,4,10,9,10,5,5,0,0,52,0,3,11,6,5,3,0,0,0,31,0,0,14,9,5,0,4,0,0,25,0,0,7,4,0,9,0,0,0,25,0,0,7,0,0,5,0,0,0,13,0,0,7,8,5,4,0,0,0,29,0,0,0,3,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,9,4,0,3,3,0,4,4,0,0,16,36,28,93,74,52,72,51,21,7,441
10601110703,core,3,4,11,5,4,6,5,4,0,42,0,7,13,5,10,6,0,0,0,47,0,6,17,9,3,13,0,0,0,54,0,4,14,13,6,12,0,0,0,52,0,3,9,7,9,4,0,0,0,35,0,5,10,10,9,6,0,0,0,42,0,3,25,27,15,10,0,0,0,81,0,0,9,3,3,0,0,0,0,15,0,0,3,3,3,0,0,0,0,8,0,0,3,3,3,0,3,3,0,24,45,52,140,115,98,83,44,23,0,598
10601110704,external,3,0,4,0,0,3,3,0,0,20,0,0,9,0,5,11,5,0,0,28,0,6,4,0,5,8,3,4,0,33,0,0,4,8,4,3,4,0,0,23,0,0,4,8,5,5,0,0,0,21,0,0,5,3,3,0,0,0,0,16,0,0,4,10,6,4,0,0,0,27,0,0,0,0,7,3,0,0,0,11,0,0,0,3,9,8,0,0,0,22,0,0,0,0,0,3,0,4,0,15,24,27,40,43,71,74,45,12,3,334
10601110705,external,0,0,0,4,9,8,5,3,0,29,0,0,0,4,8,3,4,0,0,27,0,0,0,3,5,5,3,4,0,28,0,0,3,0,0,7,0,0,0,18,0,0,0,4,6,3,0,0,0,18,0,0,0,0,0,3,0,0,0,10,0,0,6,15,9,7,0,4,0,40,0,0,0,0,5,0,3,0,0,14,0,0,0,3,5,3,3,0,0,19,0,0,3,5,5,0,4,0,0,16,23,14,21,57,60,59,53,13,0,305
10601110706,core,0,0,0,3,3,0,7,3,0,28,0,0,0,9,3,6,4,3,0,26,0,3,4,3,3,4,5,3,0,28,0,0,3,0,0,4,0,0,0,17,0,0,0,4,5,4,5,0,0,13,0,0,3,7,5,0,0,0,0,16,0,0,5,8,5,0,4,0,0,29,0,0,0,0,4,0,0,0,0,8,0,0,0,3,7,0,3,0,0,17,0,0,0,0,0,0,0,0,5,11,30,10,29,46,59,41,52,28,8,300
10601110707,core,0,0,3,4,0,0,3,0,0,14,0,0,0,8,0,7,3,3,0,31,0,0,6,4,3,3,0,0,0,18,0,0,0,3,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,4,3,0,0,14,0,0,3,3,4,0,4,0,0,20,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,10,5,0,0,19,0,0,0,0,0,4,0,0,0,6,7,13,26,33,24,55,60,16,3,239
10601110708,core,0,0,4,5,4,6,6,5,0,23,0,5,0,0,4,0,0,3,0,17,0,0,3,4,4,5,4,0,0,18,0,0,0,6,3,5,0,0,0,19,0,0,5,8,3,0,0,0,0,18,0,0,3,3,4,0,0,0,0,8,0,0,0,7,0,0,5,0,0,18,0,0,0,0,6,3,0,0,0,3,0,0,0,5,7,5,3,0,0,14,0,7,0,4,8,0,9,0,0,21,16,22,32,34,48,43,45,19,5,267
10601110709,core,8,0,3,0,3,3,0,0,0,20,0,4,4,0,8,0,7,0,0,22,0,0,0,11,4,0,0,0,0,23,0,0,3,0,4,3,0,0,0,10,0,0,4,4,3,5,0,0,0,14,0,0,0,0,4,0,0,0,0,4,0,0,10,11,5,3,0,0,0,26,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,3,5,16,21,16,37,34,39,30,39,24,8,249
10601110710,core,0,5,3,3,0,0,4,0,0,17,0,0,4,3,5,0,0,0,0,14,0,3,8,4,3,0,0,0,0,17,0,0,0,4,3,0,0,0,0,16,0,0,5,3,0,3,0,0,0,7,0,0,7,0,3,0,0,0,0,18,0,0,7,3,5,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,11,21,18,43,31,28,26,29,11,6,208
10601110712,core,0,3,7,0,3,0,10,0,0,29,3,4,3,9,9,0,0,0,0,30,0,6,3,11,6,3,0,0,0,32,0,0,0,6,3,0,0,0,0,23,0,0,3,0,0,0,0,0,0,5,0,3,3,3,4,0,0,0,0,15,0,0,3,9,11,7,0,0,0,32,0,0,0,5,4,0,0,0,0,4,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,4,0,17,26,28,49,65,59,38,46,27,0,340
10601110713,core,0,0,0,5,4,4,4,0,0,19,0,0,6,3,6,3,3,0,0,21,0,3,6,3,5,7,0,0,0,20,0,4,0,9,8,0,0,0,0,18,0,0,0,6,0,0,0,0,0,8,0,0,0,3,0,6,0,0,0,8,0,0,3,6,9,0,4,0,0,19,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,3,0,0,20,34,12,23,41,44,33,37,3,4,230
10601110714,core,5,3,3,8,10,9,3,3,0,40,0,7,17,4,10,3,6,0,0,50,3,8,12,8,8,14,0,0,0,50,0,3,12,11,3,0,4,0,0,34,0,0,10,5,6,4,0,0,0,31,0,0,5,10,6,5,0,0,0,25,0,0,15,18,11,4,3,0,0,52,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,11,44,36,108,95,65,88,44,19,0,489
10601110716,external,0,3,5,10,10,7,7,3,0,51,0,14,4,7,9,8,5,0,0,46,0,5,10,11,12,5,4,0,0,52,0,0,0,12,3,7,4,0,0,24,0,0,5,12,16,9,5,0,0,45,0,3,3,5,10,10,5,0,0,28,0,0,7,28,32,18,3,0,0,93,0,0,0,7,6,4,0,0,0,21,0,0,0,4,11,3,0,0,0,17,0,0,0,8,4,6,0,3,0,33,69,51,51,114,132,122,66,29,0,645
10601110717,external,0,5,0,4,9,0,3,4,0,19,0,0,5,0,3,5,0,0,0,14,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,7,0,0,0,3,3,0,0,0,0,3,0,0,7,0,0,9,0,0,0,13,0,0,3,4,3,6,0,0,0,15,0,0,0,3,0,0,0,0,0,4,0,0,0,3,3,3,0,0,0,7,0,0,0,0,3,0,0,0,0,10,12,10,17,26,33,39,20,16,0,175
10601110718,external,0,0,5,3,7,4,4,0,0,23,0,0,6,3,3,3,4,0,0,23,0,0,0,0,3,0,3,0,0,12,0,0,0,4,5,0,0,0,0,9,0,0,3,0,8,0,0,0,0,14,0,0,0,3,3,0,0,0,0,12,0,0,9,10,17,6,0,0,0,45,0,0,5,4,3,0,0,0,0,6,0,0,3,0,3,4,4,0,0,17,4,0,7,8,5,4,3,3,0,30,25,12,46,41,69,52,37,16,0,297
10601110719,core,4,5,3,0,0,0,0,0,0,11,0,5,5,3,3,0,0,0,0,24,0,4,7,11,0,0,0,0,0,21,0,0,3,8,0,9,0,0,0,20,0,0,3,4,5,0,0,0,0,16,0,0,3,0,4,0,3,0,0,9,0,0,14,10,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,19,19,51,43,29,18,20,9,0,208
10601110720,core,0,8,8,4,0,3,0,0,0,26,4,14,14,7,8,0,3,0,0,43,0,3,17,3,3,8,0,0,0,32,0,5,10,4,3,8,0,0,0,28,0,0,0,5,0,8,0,0,0,16,0,0,3,11,3,5,3,0,0,19,0,0,11,11,12,3,0,0,0,38,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,4,0,15,26,35,83,72,52,42,38,17,3,373
