SA1_CODE_2021,zone_tier,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
10601110701,core,11,71,93,43,32,239,3,245
10601110702,core,9,84,75,33,20,216,0,213
10601110703,core,3,59,122,54,26,267,3,266
10601110704,external,0,21,46,29,31,136,0,136
10601110705,external,0,17,47,28,25,114,0,114
10601110706,core,0,24,46,35,24,129,0,131
10601110707,core,0,31,22,15,15,93,0,92
10601110708,core,0,14,54,16,18,108,0,108
10601110709,core,5,45,46,23,4,125,0,125
10601110710,core,6,23,46,17,6,94,0,94
10601110712,core,3,41,70,27,12,154,3,162
10601110713,core,6,30,34,24,14,98,0,98
10601110714,core,5,71,89,47,23,228,0,228
10601110716,external,0,24,83,71,63,243,0,245
10601110717,external,0,7,18,23,14,68,0,67
10601110718,external,0,16,53,29,22,117,0,120
10601110719,core,3,20,43,17,13,96,0,97
10601110720,core,4,46,78,26,20,171,3,173
10601110722,core,8,42,61,31,10,154,5,152
10601110723,core,7,45,84,43,42,232,0,234
10601110725,core,4,70,57,37,7,178,3,177
10601110726,core,0,32,53,20,9,120,0,120
10601110727,core,5,49,108,21,6,189,4,188
10601110728,core,0,13,38,23,14,76,0,76
10601110729,core,0,47,85,23,13,169,3,175
10601110730,core,3,30,68,25,14,131,0,131
10601110731,core,3,18,53,27,21,117,0,117
10601110732,core,0,50,116,24,8,189,3,190
10601110733,core,0,36,61,19,10,128,0,130
10601110801,core,28,121,62,23,10,244,4,244
10601110806,core,18,49,50,13,5,127,4,128
10601110807,core,18,68,79,27,8,196,9,201
10601110808,core,8,67,58,23,7,164,0,165
10601110809,core,5,45,30,9,7,100,3,98
10601110810,core,8,63,52,23,15,163,0,166
10601110811,core,8,40,69,22,8,151,0,156
10601110812,core,26,83,36,13,7,170,4,171
10601110813,core,15,77,65,14,9,177,0,177
10601110814,core,12,29,28,3,0,76,0,76
10601110815,core,3,43,30,12,7,97,0,96
10601110816,core,16,58,64,19,11,169,0,175
10601110817,core,11,64,56,22,13,162,3,164
10601110818,core,0,4,0,0,4,10,0,10
