SA1_CODE_2021,zone_tier,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
10601110701,core,..,55,55,64,5,69,36,6,37,51,0,50,19,0,19,13,0,13,182,60,245
10601110702,core,..,61,61,67,4,73,39,0,37,28,0,28,12,0,12,8,0,8,153,63,213
10601110703,core,..,46,46,77,12,85,55,0,53,55,0,58,21,0,21,10,0,10,210,59,266
10601110704,external,..,20,20,45,0,50,25,0,25,29,0,29,7,0,7,9,0,9,115,22,136
10601110705,external,..,16,16,42,4,44,18,0,18,19,0,19,13,0,13,7,0,7,101,15,114
10601110706,core,..,26,26,43,3,49,22,0,22,19,0,19,11,0,11,3,0,3,109,26,131
10601110707,core,..,28,28,38,0,39,7,0,7,10,0,10,8,0,8,3,0,3,63,26,92
10601110708,core,..,17,17,32,0,32,16,0,16,18,0,18,14,0,14,0,0,0,88,17,108
10601110709,core,..,47,47,33,5,33,12,0,12,14,0,14,9,0,9,9,0,9,77,43,125
10601110710,core,..,15,15,32,0,35,17,0,17,16,0,16,5,0,5,5,0,5,74,16,94
10601110712,core,..,40,40,39,3,39,24,0,24,31,0,31,16,0,16,3,0,3,113,47,162
10601110713,core,..,28,28,32,0,33,14,0,14,18,0,18,4,0,4,7,0,7,68,27,98
10601110714,core,..,51,51,71,4,74,38,0,38,43,0,43,24,0,24,10,0,10,177,51,228
10601110716,external,..,16,16,71,0,70,48,0,48,65,0,65,40,0,40,14,0,14,226,16,245
10601110717,external,..,6,6,25,0,21,9,0,9,12,0,12,8,0,8,8,0,8,60,7,67
10601110718,external,..,19,19,41,3,46,22,0,22,18,0,18,18,0,18,4,0,4,99,22,120
