POW_SA2_CODE_2021,zone_tier,AgFF_AgFF_nfd_M,AgFF_AgFF_nfd_F,AgFF_AgFF_nfd_P,AgFF_Agriculture_M,AgFF_Agriculture_F,AgFF_Agriculture_P,AgFF_Aquaculture_M,AgFF_Aquaculture_F,AgFF_Aquaculture_P,AgFF_Forestry_logging_M,AgFF_Forestry_logging_F,AgFF_Forestry_logging_P,AgFF_Fishing_hunt_trap_M,AgFF_Fishing_hunt_trap_F,AgFF_Fishing_hunt_trap_P,AgFF_AgFF_support_Svs_M,AgFF_AgFF_support_Svs_F,AgFF_AgFF_support_Svs_P,AgFF_Tot_M,AgFF_Tot_F,AgFF_Tot_P,Min_Min_nfd_M,Min_Min_nfd_F,Min_Min_nfd_P,Min_Coal_min_M,Min_Coal_min_F,Min_Coal_min_P,Min_Oil_gas_extrac_M,Min_Oil_gas_extrac_F,Min_Oil_gas_extrac_P,Min_Metal_ore_min_M,Min_Metal_ore_min_F,Min_Metal_ore_min_P,Min_NonMet_minral_min_quar_M,Min_NonMet_minral_min_quar_F,Min_NonMet_minral_min_quar_P,Min_Expl_oth_min_supt_Svs_M,Min_Expl_oth_min_supt_Svs_F,Min_Expl_oth_min_supt_Svs_P,Min_Tot_M,Min_Tot_F,Min_Tot_P,Mnf_Mnf_nfd_M,Mnf_Mnf_nfd_F,Mnf_Mnf_nfd_P,Mnf_Food_pdt_mnf_M,Mnf_Food_pdt_mnf_F,Mnf_Food_pdt_mnf_P,Mnf_Beverag_tobac_pdt_mnf_M,Mnf_Beverag_tobac_pdt_mnf_F,Mnf_Beverag_tobac_pdt_mnf_P,Mnf_Tex_leath_clo_footw_mnf_M,Mnf_Tex_leath_clo_footw_mnf_F,Mnf_Tex_leath_clo_footw_mnf_P,Mnf_Wood_pdt_mnf_M,Mnf_Wood_pdt_mnf_F,Mnf_Wood_pdt_mnf_P,Mnf_Pul_pap_cvertd_pap_mnf_M,Mnf_Pul_pap_cvertd_pap_mnf_F,Mnf_Pul_pap_cvertd_pap_mnf_P,Mnf_Print_inc_repdtn_RM_mnf_M,Mnf_Print_inc_repdtn_RM_mnf_F,Mnf_Print_inc_repdtn_RM_mnf_P,Mnf_Petroleum_coal_pdt_mnf_M,Mnf_Petroleum_coal_pdt_mnf_F,Mnf_Petroleum_coal_pdt_mnf_P,Mnf_Bas_che_and_chem_pr_mnf_M,Mnf_Bas_che_and_chem_pr_mnf_F,Mnf_Bas_che_and_chem_pr_mnf_P,Mnf_Polym_pd_rubber_pd_mnf_M,Mnf_Polym_pd_rubber_pd_mnf_F,Mnf_Polym_pd_rubber_pd_mnf_P,Mnf_NonMet_mineral_pdt_mnf_M,Mnf_NonMet_mineral_pdt_mnf_F,Mnf_NonMet_mineral_pdt_mnf_P,Mnf_Pri_met_and_met_pr_mnf_M,Mnf_Pri_met_and_met_pr_mnf_F,Mnf_Pri_met_and_met_pr_mnf_P,Mnf_Fab_metal_pdt_mnf_M,Mnf_Fab_metal_pdt_mnf_F,Mnf_Fab_metal_pdt_mnf_P,Mnf_Transpt_equip_mnf_M,Mnf_Transpt_equip_mnf_F,Mnf_Transpt_equip_mnf_P,Mnf_Machin_and_equip_mnf_M,Mnf_Machin_and_equip_mnf_F,Mnf_Machin_and_equip_mnf_P,Mnf_Furnitur_and_oth_mnf_M,Mnf_Furnitur_and_oth_mnf_F,Mnf_Furnitur_and_oth_mnf_P,Mnf_Tot_M,Mnf_Tot_F,Mnf_Tot_P,EGWWS_EGWWS_nfd_M,EGWWS_EGWWS_nfd_F,EGWWS_EGWWS_nfd_P,EGWWS_ElecSup_M,EGWWS_ElecSup_F,EGWWS_ElecSup_P,EGWWS_GasSup_M,EGWWS_GasSup_F,EGWWS_GasSup_P,EGWWS_WatSup_SDS_M,EGWWS_WatSup_SDS_F,EGWWS_WatSup_SDS_P,EGWWS_WasteCTDS_M,EGWWS_WasteCTDS_F,EGWWS_WasteCTDS_P,EGWWS_Tot_M,EGWWS_Tot_F,EGWWS_Tot_P,Const_Const_nfd_M,Const_Const_nfd_F,Const_Const_nfd_P,Const_Blding_Const_M,Const_Blding_Const_F,Const_Blding_Const_P,Const_HeavyCivl_eng_Const_M,Const_HeavyCivl_eng_Const_F,Const_HeavyCivl_eng_Const_P,Const_Const_Svs_M,Const_Const_Svs_F,Const_Const_Svs_P,Const_Tot_M,Const_Tot_F,Const_Tot_P,WST_WST_nfd_M,WST_WST_nfd_F,WST_WST_nfd_P,WST_Basic_matl_W_M,WST_Basic_matl_W_F,WST_Basic_matl_W_P,WST_Machin_and_equip_W_M,WST_Machin_and_equip_W_F,WST_Machin_and_equip_W_P,WST_MotV_and_motV_partsW_M,WST_MotV_and_motV_partsW_F,WST_MotV_and_motV_partsW_P,WST_GrocLiq_and_tob_pdtW_M,WST_GrocLiq_and_tob_pdtW_F,WST_GrocLiq_and_tob_pdtW_P,WST_Oth_gds_W_M,WST_Oth_gds_W_F,WST_Oth_gds_W_P,WST_Comm_based_W_M,WST_Comm_based_W_F,WST_Comm_based_W_P,WST_Tot_M,WST_Tot_F,WST_Tot_P,RetT_RetT_nfd_M,RetT_RetT_nfd_F,RetT_RetT_nfd_P,RetT_MotV_and_motV_partsR_M,RetT_MotV_and_motV_partsR_F,RetT_MotV_and_motV_partsR_P,RetT_Fuel_ret_M,RetT_Fuel_ret_F,RetT_Fuel_ret_P,RetT_Food_ret_M,RetT_Food_ret_F,RetT_Food_ret_P,RetT_Oth_store_based_ret_M,RetT_Oth_store_based_ret_F,RetT_Oth_store_based_ret_P,RetT_NonSR_and_RCB_buy_sell_M,RetT_NonSR_and_RCB_buy_sell_F,RetT_NonSR_and_RCB_buy_sell_P,RetT_Tot_M,RetT_Tot_F,RetT_Tot_P,AcFd_AcFd_nfd_M,AcFd_AcFd_nfd_F,AcFd_AcFd_nfd_P,AcFd_Accomm_M,AcFd_Accomm_F,AcFd_Accomm_P,AcFd_FoodBev_Svs_M,AcFd_FoodBev_Svs_F,AcFd_FoodBev_Svs_P,AcFd_Tot_M,AcFd_Tot_F,AcFd_Tot_P,TPW_TPW_nfd_M,TPW_TPW_nfd_F,TPW_TPW_nfd_P,TPW_RoadTspt_M,TPW_RoadTspt_F,TPW_RoadTspt_P,TPW_RailTspt_M,TPW_RailTspt_F,TPW_RailTspt_P,TPW_WaterTspt_M,TPW_WaterTspt_F,TPW_WaterTspt_P,TPW_Air_space_tspt_M,TPW_Air_space_tspt_F,TPW_Air_space_tspt_P,TPW_Oth_tspt_M,TPW_Oth_tspt_F
106011107,core,0,0,0,107,57,171,0,0,0,0,0,0,0,0,0,12,0,20,125,62,186,9,0,17,47,10,57,0,0,0,0,0,0,21,6,30,3,4,9,89,19,107,11,0,13,37,15,55,363,279,641,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,5,0,7,5,0,5,4,0,3,440,310,751,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,9,0,9,11,0,8,82,30,114,18,3,22,208,39,245,316,75,391,0,0,0,3,4,9,5,0,5,0,0,0,12,8,16,8,7,8,0,0,0,26,20,41,3,3,5,3,0,3,9,12,14,116,216,334,18,60,82,0,0,0,144,287,433,7,5,4,248,467,716,317,418,735,567,892,1458,0,4,6,28,10,42,116,17,138,0,0,0,12,4,15,13,3
106011108,core,0,0,0,11,6,9,0,0,0,0,0,0,0,0,0,4,3,7,15,5,19,6,3,7,18,8,20,0,0,0,4,0,3,0,0,0,3,0,3,25,15,38,9,0,5,15,32,52,20,6,26,0,6,6,5,0,7,0,0,0,5,4,11,0,0,0,0,0,0,5,3,3,14,0,14,5,0,8,0,0,0,0,0,0,9,3,11,0,0,0,76,61,137,0,0,0,17,0,22,0,0,0,0,0,0,4,3,6,24,3,30,4,0,6,24,0,24,28,18,49,146,39,188,209,63,265,0,0,0,17,6,30,9,4,7,5,0,9,0,7,3,3,5,8,0,0,0,40,24,59,12,8,22,79,34,118,27,36,59,136,249,384,126,376,502,0,0,0,383,710,1092,0,0,0,16,47,64,240,365,609,260,409,667,11,0,14,99,35,135,0,0,0,0,0,0,0,0,0,3,0
106011109,core,0,0,0,80,85,164,0,0,0,0,0,0,0,0,0,10,5,11,90,83,179,6,0,9,79,20,100,0,0,0,0,0,0,5,0,3,0,0,0,91,26,117,6,5,12,5,9,10,31,17,46,0,0,5,17,0,15,0,0,0,0,0,0,0,0,0,115,52,172,0,0,0,0,0,0,11,4,13,7,0,7,0,0,0,0,0,0,7,0,7,196,87,283,0,0,0,3,0,3,0,0,0,0,0,0,11,3,15,17,4,19,11,8,14,38,8,42,21,9,34,115,28,142,185,50,236,0,0,0,7,0,3,0,4,4,0,0,0,0,0,0,0,7,3,0,0,0,8,4,14,3,3,3,0,0,0,0,0,0,10,16,22,5,16,18,0,0,0,17,37,50,0,0,4,10,28,38,17,42,60,29,67,101,3,3,5,49,15,62,0,0,4,0,0,0,0,0,0,0,0
106011110,external,0,0,0,246,142,391,0,0,0,3,0,0,0,0,0,8,8,16,257,151,410,0,0,0,10,4,16,0,0,0,0,0,0,0,0,0,0,0,0,14,0,19,6,0,6,14,9,22,4,0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,4,4,3,3,6,0,0,0,0,0,0,0,0,0,7,0,8,43,22,65,0,0,0,19,0,19,0,0,0,7,0,12,0,0,6,28,9,33,14,3,16,53,11,58,30,10,34,127,12,146,225,30,253,0,0,0,3,0,4,13,6,16,0,0,0,0,0,0,0,0,0,0,0,0,14,8,28,7,3,13,3,3,10,11,13,23,57,80,132,17,50,69,0,0,0,93,151,244,0,0,0,17,38,54,30,71,106,50,110,157,0,0,0,47,9,61,5,0,8,0,0,0,0,0,0,0,0
106011111,core,0,0,0,6,7,14,0,0,0,0,0,0,0,0,0,3,0,5,8,3,20,36,3,39,42,4,48,0,3,3,3,0,5,0,0,0,0,5,6,84,15,105,32,8,43,34,37,72,3,0,3,0,5,9,8,3,10,0,0,0,6,5,9,0,0,0,38,21,57,3,0,3,5,8,13,61,9,72,29,6,31,0,0,0,25,3,33,0,0,0,251,98,347,0,0,0,3,0,3,0,0,0,0,0,0,49,9,55,45,9,57,25,0,21,60,7,70,30,15,52,232,30,267,342,57,406,0,0,0,32,10,42,0,0,0,3,0,4,0,0,4,0,0,0,0,0,0,43,13,55,0,3,0,11,4,11,20,23,38,70,121,189,15,79,95,0,0,0,107,226,338,0,0,0,0,10,8,174,212,388,171,222,397,4,0,3,46,11,62,0,0,0,3,0,3,0,0,0,0,0
106011112,external,0,0,0,59,33,95,0,0,0,0,0,0,0,0,0,7,8,9,71,38,105,66,16,81,679,104,784,0,0,0,9,0,6,0,0,0,41,3,48,793,129,922,27,3,33,84,56,131,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,4,0,4,17,0,19,45,12,58,8,0,8,11,0,10,8,0,9,0,0,0,47,16,59,7,0,11,265,96,359,0,0,0,48,6,48,0,0,0,12,8,15,17,8,23,76,16,89,21,7,30,93,20,115,53,26,72,306,57,363,468,112,585,4,0,5,37,17,56,36,18,58,22,6,21,8,5,16,0,0,0,0,0,0,115,46,160,12,10,17,76,27,103,16,28,39,125,272,392,85,334,419,0,0,0,309,669,976,0,3,3,13,50,63,212,375,589,229,425,653,11,5,10,129,32,159,0,5,5,0,0,0,0,5,8,0,0
106011113,external,0,0,0,166,120,282,0,0,0,4,0,8,0,0,0,7,4,14,176,122,305,111,10,119,4478,588,5067,3,0,0,97,6,106,7,4,16,23,3,25,4711,623,5339,19,9,32,0,0,4,22,17,39,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,82,21,106,33,7,41,3,0,3,32,6,32,14,0,16,6,0,5,37,9,51,0,0,0,255,82,332,0,0,0,13,4,18,0,0,0,6,0,9,12,4,10,28,3,34,6,4,8,19,9,31,127,16,145,165,19,184,322,40,369,3,0,3,24,6,28,326,47,373,38,5,42,0,0,0,0,0,0,0,0,0,393,58,448,3,0,3,0,0,0,7,0,12,4,12,20,3,10,17,0,0,0,20,27,51,0,0,0,3,19,19,23,35,57,22,53,75,3,3,7,28,3,35,12,4,18,0,0,0,0,0,0,0,0
106021114,core,0,0,0,24,11,39,0,0,0,0,0,0,0,0,0,0,0,0,34,11,41,24,7,27,30,12,41,0,0,0,3,0,5,3,3,10,4,11,12,60,31,94,5,0,3,6,23,27,0,0,0,6,0,6,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,6,0,5,0,0,0,7,3,4,7,0,5,34,34,66,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,7,10,16,4,0,4,61,26,87,32,4,36,126,16,142,225,47,269,0,0,0,11,5,21,9,0,9,10,3,8,0,0,3,0,3,5,0,0,0,31,15,50,5,8,16,55,23,76,4,8,13,50,99,150,149,340,494,0,0,3,263,486,745,0,0,0,12,29,42,186,259,448,194,292,491,0,6,9,20,3,25,18,10,27,0,0,0,0,0,0,0,0
106021116,core,5,0,5,37,18,54,0,0,0,0,0,0,0,0,0,3,0,12,47,20,69,0,0,0,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,12,0,16,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,16,6,22,0,0,0,0,0,5,0,0,0,0,3,3,3,0,3,0,3,3,5,0,5,51,9,58,14,4,19,114,20,141,183,39,218,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,11,0,0,0,0,0,0,4,5,7,10,27,38,0,18,20,0,0,0,20,49,68,0,0,0,3,6,8,24,45,71,29,55,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106021614,core,0,0,0,3,0,6,0,0,0,7,0,8,0,0,0,0,0,0,10,8,14,4,0,4,95,17,114,0,0,0,0,0,0,0,0,0,0,0,0,101,17,119,17,5,21,21,34,57,0,0,4,0,4,3,4,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,8,0,8,9,0,6,4,0,3,17,7,23,4,0,4,93,61,156,0,0,0,0,0,0,0,0,0,8,0,8,6,0,5,15,0,18,3,0,3,62,9,77,24,10,36,183,43,225,271,57,328,0,0,0,13,3,14,9,4,10,5,0,7,0,0,0,0,4,3,0,0,0,26,10,41,12,19,26,106,43,154,20,17,34,198,299,496,254,790,1042,0,0,0,589,1164,1750,0,0,0,25,27,51,328,487,819,349,519,868,0,0,0,9,5,18,0,0,0,0,0,0,0,0,4,0,0
