POW_SA2_CODE_2021,zone_tier,Mng_Mng_nfd_M,Mng_Mng_nfd_F,Mng_Mng_nfd_P,Mng_ChiefEx_GMng_legs__M,Mng_ChiefEx_GMng_legs__F,Mng_ChiefEx_GMng_legs__P,Mng_Farmers_FMng_M,Mng_Farmers_FMng_F,Mng_Farmers_FMng_P,Mng_Spec_Mng_M,Mng_Spec_Mng_F,Mng_Spec_Mng_P,Mng_Hosp_ret_svce_Mng_M,Mng_Hosp_ret_svce_Mng_F,Mng_Hosp_ret_svce_Mng_P,Mng_Tot_M,Mng_Tot_F,Mng_Tot_P,Pro_Pro_nfd_M,Pro_Pro_nfd_F,Pro_Pro_nfd_P,Pro_Arts_media_Pro_M,Pro_Arts_media_Pro_F,Pro_Arts_media_Pro_P,Pro_Busin_HR_mkting_Pro_M,Pro_Busin_HR_mkting_Pro_F,Pro_Busin_HR_mkting_Pro_P,Pro_DesEng_sci_tspt_Pro_M,Pro_DesEng_sci_tspt_Pro_F,Pro_DesEng_sci_tspt_Pro_P,Pro_Educ_Pro_M,Pro_Educ_Pro_F,Pro_Educ_Pro_P,Pro_Health_Pro_M,Pro_Health_Pro_F,Pro_Health_Pro_P,Pro_Inf_Com_Tec_ICT_Pro_M,Pro_Inf_Com_Tec_ICT_Pro_F,Pro_Inf_Com_Tec_ICT_Pro_P,Pro_Leg_soc_welf_Pro_M,Pro_Leg_soc_welf_Pro_F,Pro_Leg_soc_welf_Pro_P,Pro_Tot_M,Pro_Tot_F,Pro_Tot_P,TecTW_TecTW_nfd_M,TecTW_TecTW_nfd_F,TecTW_TecTW_nfd_P,TecTW_Eng_ICT_STecs_M,TecTW_Eng_ICT_STecs_F,TecTW_Eng_ICT_STecs_P,TecTW_Auto_eng_tds_wks_M,TecTW_Auto_eng_tds_wks_F,TecTW_Auto_eng_tds_wks_P,TecTW_Const_tds_wks_M,TecTW_Const_tds_wks_F,TecTW_Const_tds_wks_P,TecTW_EleTec_telco_tds_wks_M,TecTW_EleTec_telco_tds_wks_F,TecTW_EleTec_telco_tds_wks_P,TecTW_Food_tds_wks_M,TecTW_Food_tds_wks_F,TecTW_Food_tds_wks_P,TecTW_Sk_ani_hort_wks_M,TecTW_Sk_ani_hort_wks_F,TecTW_Sk_ani_hort_wks_P,TecTW_Oth_TecTW_M,TecTW_Oth_TecTW_F,TecTW_Oth_TecTW_P,TecTW_Tot_M,TecTW_Tot_F,TecTW_Tot_P,CoPSW_CoPSW_nfd_M,CoPSW_CoPSW_nfd_F,CoPSW_CoPSW_nfd_P,CoPSW_HlthWlfSptWs_M,CoPSW_HlthWlfSptWs_F,CoPSW_HlthWlfSptWs_P,CoPSW_Carers_aides_M,CoPSW_Carers_aides_F,CoPSW_Carers_aides_P,CoPSW_Hosp_wks_M,CoPSW_Hosp_wks_F,CoPSW_Hosp_wks_P,CoPSW_ProtecSvcWks_M,CoPSW_ProtecSvcWks_F,CoPSW_ProtecSvcWks_P,CoPSW_SptsPsnlSvceWs_M,CoPSW_SptsPsnlSvceWs_F,CoPSW_SptsPsnlSvceWs_P,CoPSW_Tot_M,CoPSW_Tot_F,CoPSW_Tot_P,ClAW_ClAW_nfd_M,ClAW_ClAW_nfd_F,ClAW_ClAW_nfd_P,ClAW_OfMngs_ProgAdm_M,ClAW_OfMngs_ProgAdm_F,ClAW_OfMngs_ProgAdm_P,ClAW_PsnlAs_secretaries_M,ClAW_PsnlAs_secretaries_F,ClAW_PsnlAs_secretaries_P,ClAW_GnrlClerWs_M,ClAW_GnrlClerWs_F,ClAW_GnrlClerWs_P,ClAW_InqClks_recepts_M,ClAW_InqClks_recepts_F,ClAW_InqClks_recepts_P,ClAW_Num_clerks_M,ClAW_Num_clerks_F,ClAW_Num_clerks_P,ClAW_Clerl_OfSuptWs_M,ClAW_Clerl_OfSuptWs_F,ClAW_Clerl_OfSuptWs_P,ClAW_Oth_ClAW_M,ClAW_Oth_ClAW_F,ClAW_Oth_ClAW_P,ClAW_Tot_M,ClAW_Tot_F,ClAW_Tot_P,SWs_SWs_nfd_M,SWs_SWs_nfd_F,SWs_SWs_nfd_P,SWs_Sales_reps_agnts_M,SWs_Sales_reps_agnts_F,SWs_Sales_reps_agnts_P,SWs_SalesAs_SalesPsns_M,SWs_SalesAs_SalesPsns_F,SWs_SalesAs_SalesPsns_P,SWs_SalesSptWks_M,SWs_SalesSptWks_F,SWs_SalesSptWks_P,SWs_Tot_M,SWs_Tot_F,SWs_Tot_P,MaOpD_MaOpD_nfd_M,MaOpD_MaOpD_nfd_F,MaOpD_MaOpD_nfd_P,MaOpD_Ma_StatPlntOps_M,MaOpD_Ma_StatPlntOps_F,MaOpD_Ma_StatPlntOps_P,MaOpD_MobPlntOps_M,MaOpD_MobPlntOps_F,MaOpD_MobPlntOps_P,MaOpD_RoadRail_dvrs_M,MaOpD_RoadRail_dvrs_F,MaOpD_RoadRail_dvrs_P,MaOpD_StorPsns_M,MaOpD_StorPsns_F,MaOpD_StorPsns_P,MaOpD_Tot_M,MaOpD_Tot_F,MaOpD_Tot_P,Lab_Lab_nfd_M,Lab_Lab_nfd_F,Lab_Lab_nfd_P,Lab_Clnrs_lndryWs_M,Lab_Clnrs_lndryWs_F,Lab_Clnrs_lndryWs_P,Lab_Const_and_Min_Lab_M,Lab_Const_and_Min_Lab_F,Lab_Const_and_Min_Lab_P,Lab_Factory_ProcWs_M,Lab_Factory_ProcWs_F,Lab_Factory_ProcWs_P,Lab_FarmFrstyGrdnWs_M,Lab_FarmFrstyGrdnWs_F,Lab_FarmFrstyGrdnWs_P,Lab_Food_prep_asts_M,Lab_Food_prep_asts_F,Lab_Food_prep_asts_P,Lab_Oth_Lab_M,Lab_Oth_Lab_F,Lab_Oth_Lab_P,Lab_Tot_M,Lab_Tot_F,Lab_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,NS_M,NS_F,NS_P,Tot_M,Tot_F,Tot_P
106011107,core,9,3,18,47,23,68,101,36,136,125,121,247,145,229,378,434,415,845,0,0,0,9,15,26,35,64,103,112,32,148,10,90,106,16,38,55,3,9,13,3,19,17,192,274,465,5,0,5,35,17,50,112,8,116,103,3,103,45,0,43,168,96,267,100,32,137,11,27,42,579,183,760,0,0,0,9,16,27,4,152,160,121,334,458,10,0,9,14,50,71,157,565,715,0,0,0,13,56,65,3,25,29,3,70,76,10,87,99,10,86,91,5,5,10,21,22,42,58,363,418,0,0,0,36,46,82,111,229,336,3,48,52,148,324,474,9,0,8,35,7,42,47,0,56,153,23,174,30,15,38,285,44,325,8,0,5,14,251,270,53,0,54,84,51,138,104,39,146,66,64,124,76,16,101,420,422,839,35,17,54,22,20,38,2324,2613,4941
106011108,core,10,7,21,24,11,35,6,0,11,101,115,221,134,174,308,281,307,586,0,4,9,11,7,21,53,97,153,51,43,97,137,378,511,85,335,422,11,0,10,45,140,176,383,1007,1395,0,0,0,45,37,84,136,3,143,87,3,90,46,0,47,79,50,130,48,41,91,18,81,100,461,217,678,0,8,8,38,137,179,95,610,702,43,141,183,502,205,708,34,71,105,704,1167,1875,0,4,4,11,97,105,0,45,49,15,193,203,8,149,161,12,121,137,13,28,39,31,72,101,92,708,802,0,0,4,28,41,73,212,504,711,23,103,123,264,651,910,8,0,8,35,11,46,48,4,51,189,36,226,19,12,20,294,55,349,14,0,14,80,159,248,48,3,49,12,14,26,37,10,43,76,98,173,116,60,180,389,348,732,35,22,57,35,31,64,2941,4519,7459
106011109,core,3,8,11,12,10,22,53,29,76,101,45,140,28,38,62,193,120,310,4,0,4,13,12,22,34,39,75,64,24,85,10,58,67,0,16,17,28,3,29,5,11,17,162,155,320,11,0,11,30,7,31,43,0,43,51,3,59,19,0,24,13,5,16,23,13,38,11,9,17,193,48,242,0,0,0,3,10,7,9,36,51,9,23,28,4,0,4,3,14,16,28,81,106,0,0,0,3,40,47,0,23,23,4,44,50,0,17,17,7,45,44,0,0,5,8,15,25,23,175,199,0,0,0,8,11,16,7,19,32,0,0,4,19,30,49,0,0,0,50,5,54,45,3,46,70,0,68,4,3,7,164,11,179,9,0,8,12,37,43,29,0,29,26,23,55,30,31,58,5,12,16,23,0,30,144,100,247,10,9,23,7,3,10,945,745,1688
106011110,external,11,0,11,8,5,13,178,85,266,64,41,103,46,48,93,301,179,481,0,0,0,0,9,17,28,32,67,30,16,49,44,122,166,22,51,68,9,3,16,14,14,26,149,261,406,0,0,0,18,6,25,62,0,62,74,0,74,41,0,47,34,16,53,23,25,50,10,14,25,265,71,331,0,0,0,10,26,29,12,123,134,15,44,56,0,0,0,6,22,30,45,212,253,0,0,0,9,36,42,0,24,24,6,53,52,0,32,38,0,54,56,5,7,10,8,18,21,26,225,247,0,0,0,12,13,21,38,98,136,12,14,26,58,128,184,8,0,8,18,0,18,34,0,34,58,9,70,0,0,0,118,14,129,4,4,6,18,49,61,50,0,53,13,13,18,63,46,108,4,27,31,40,9,52,193,150,337,15,3,17,10,12,24,1172,1242,2412
106011111,core,8,8,18,22,9,36,0,0,5,122,79,198,59,81,139,220,178,394,0,4,4,6,6,9,20,36,54,35,13,41,70,229,303,35,224,256,10,3,17,7,28,31,183,539,720,9,0,9,54,20,73,213,4,213,102,0,102,47,0,47,49,23,64,44,27,72,12,50,66,534,117,646,0,0,0,17,67,87,43,347,395,27,60,84,14,4,15,19,36,57,120,516,637,0,0,0,10,59,70,0,20,20,0,94,97,5,50,50,10,69,75,4,12,21,13,32,44,39,343,382,0,0,4,13,36,45,80,182,261,15,45,62,115,260,372,9,0,4,104,15,113,36,0,34,110,26,140,25,6,33,275,51,324,7,0,7,48,78,125,74,0,76,53,9,60,21,4,25,59,64,119,53,24,80,316,181,492,26,17,39,15,8,28,1832,2200,4034
106011112,external,20,8,26,46,14,61,34,4,44,254,105,362,131,178,311,485,317,803,5,5,11,5,5,13,97,100,198,125,45,167,80,286,371,62,238,303,9,0,11,20,44,65,405,730,1136,21,0,21,138,36,178,576,14,591,108,0,113,178,6,190,57,52,110,32,36,64,31,82,112,1146,226,1378,0,0,0,29,76,106,36,445,476,30,163,196,512,37,549,48,82,128,654,806,1460,3,3,4,18,131,153,0,37,38,14,192,204,16,140,152,15,146,163,36,28,72,42,57,103,153,733,890,0,3,3,21,55,77,174,518,688,26,101,124,221,679,899,16,5,19,449,62,505,61,9,64,330,92,421,57,10,62,903,166,1070,16,0,14,84,174,255,90,3,94,81,28,109,46,12,59,78,70,147,128,57,186,521,349,872,52,38,99,37,30,71,4589,4083,8664
106011113,external,11,5,17,23,8,33,125,58,186,309,74,383,45,26,73,513,171,687,10,5,9,4,3,13,67,52,117,307,66,375,21,18,42,22,31,47,14,3,25,4,8,9,450,185,632,17,0,16,444,34,478,1349,23,1376,38,0,40,410,13,420,10,5,14,13,25,39,40,5,41,2318,107,2429,0,0,0,0,0,3,5,32,32,0,13,16,24,3,28,9,12,21,34,61,96,0,0,7,18,56,77,0,19,19,3,110,113,5,9,16,5,59,66,5,3,6,73,34,107,112,303,409,0,0,0,8,6,10,26,30,53,0,8,10,41,42,79,44,4,47,2178,248,2427,108,9,119,399,136,532,79,12,91,2811,405,3211,7,0,7,32,63,97,87,5,90,33,8,40,37,46,83,10,8,15,130,5,137,337,140,475,73,7,86,41,18,55,6724,1427,8152
106021114,core,11,12,24,30,29,54,20,4,26,142,197,338,113,172,289,321,409,729,3,4,14,10,17,25,106,219,329,131,55,184,81,229,313,210,804,1016,32,11,41,72,198,271,639,1548,2184,3,0,3,103,60,166,129,0,129,68,0,75,40,4,47,41,41,82,29,30,61,38,103,139,464,240,702,4,3,10,28,187,215,109,539,640,32,130,160,118,39,156,46,81,128,333,973,1307,0,8,8,18,133,146,0,73,75,41,284,328,74,303,374,33,155,195,12,28,41,44,148,190,228,1131,1360,0,0,0,51,57,112,138,355,490,20,94,118,213,506,721,3,0,3,26,14,33,25,0,25,72,16,93,18,3,15,138,32,167,5,3,8,57,144,202,63,0,68,0,5,7,21,0,19,66,71,137,70,33,104,293,253,547,31,48,79,26,23,52,2670,5170,7843
106021116,core,8,6,8,3,3,5,33,14,42,51,36,83,11,20,33,106,69,179,5,5,6,6,7,9,14,17,30,23,10,36,17,73,88,9,41,53,3,3,8,3,13,14,78,167,253,0,0,0,16,4,23,18,0,22,59,0,57,38,0,38,11,16,29,9,5,16,7,24,25,161,53,214,0,0,0,5,17,24,16,144,156,5,21,27,0,0,7,3,22,23,27,198,232,0,0,0,0,33,39,0,15,15,3,37,40,0,31,38,0,31,37,0,0,5,0,6,11,16,158,169,0,0,0,6,3,6,13,31,39,0,8,10,15,40,59,0,0,0,7,0,8,11,0,11,9,4,14,3,0,3,36,8,38,0,0,0,4,26,32,26,0,26,4,0,4,10,4,17,7,13,22,13,6,17,70,46,119,5,5,18,5,5,10,525,753,1278
106021614,core,7,7,10,26,16,43,5,0,5,133,116,250,173,288,466,339,430,764,3,3,6,16,9,26,99,101,200,45,31,72,113,347,465,113,426,545,27,5,26,45,154,197,458,1071,1528,6,0,6,53,53,110,192,8,203,124,3,124,83,3,86,98,49,144,41,31,71,27,95,119,621,238,863,0,0,0,15,121,136,91,482,573,46,229,273,40,5,42,40,140,176,236,976,1208,0,0,0,22,128,145,0,41,41,12,154,169,18,166,189,30,177,207,39,24,58,25,62,88,148,751,892,0,6,4,31,56,88,307,803,1111,52,166,215,384,1034,1422,0,0,0,50,11,59,25,0,25,83,23,112,31,7,43,192,49,236,15,0,15,68,115,181,36,4,37,8,8,16,19,3,23,129,120,247,143,80,223,407,335,744,28,31,58,23,19,41,2832,4931,7769
