SA1_CODE21,zone_tier,jobs,area_km2,jobs_per_km2,density_weight,price_aud_hr,price_sweep_low,price_sweep_high,price_source
10601110701,core,19.1,0.4799,39.8,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110702,core,102.8,0.329,312.46,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110703,core,83.0,2.8685,28.93,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110704,external,154.2,41.7628,3.69,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110705,external,506.6,68.843,7.36,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110706,core,69.7,33.7724,2.06,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110707,core,2031.5,89.2697,22.76,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110708,core,110.9,38.3597,2.89,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110709,core,436.1,0.6532,667.64,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110710,core,0.0,0.499,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110712,core,149.0,0.3404,437.72,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110713,core,172.5,0.819,210.62,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110714,core,33.8,0.3984,84.84,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110716,external,8.8,4.9388,1.78,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110717,external,29.4,19.3569,1.52,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110718,external,99.8,19.1787,5.2,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110719,core,0.0,0.1857,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110720,core,0.7,0.2212,3.16,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110722,core,132.2,1.0676,123.83,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110723,core,13.9,1.0874,12.78,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110725,core,0.0,0.1755,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110726,core,0.0,0.1193,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110727,core,49.9,1.6907,29.51,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110728,core,221.0,28.2095,7.83,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110729,core,0.7,0.2617,2.67,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110730,core,253.3,9.8573,25.7,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110731,core,74.9,24.8329,3.02,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110732,core,121.9,1.0651,114.45,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110733,core,65.3,1.5678,41.65,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110801,core,0.0,0.2345,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110806,core,0.0,0.1427,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
