building_id,lat,lon,footprint_m2,levels,levels_source,gross_floor_area_m2,building_type,shop,amenity,name,year
b1360243110,-32.9496058,151.7291645,2572.0,2,assumed,5144.1,yes,,,,2026
b216880799,-32.9518589,151.7214199,1062.5,2,assumed,2125.0,yes,,,,2026
b568088752,-32.9435821,151.7253932,185.0,2,assumed,370.0,yes,,,,2026
b568088753,-32.9431766,151.7252872,148.3,2,assumed,296.7,roof,,,,2026
b568088754,-32.9426014,151.7249915,613.8,2,assumed,1227.6,yes,,,,2026
b568088763,-32.9421257,151.7264836,1034.3,2,assumed,2068.6,yes,,,,2026
b568088764,-32.94243,151.7257515,1623.5,2,assumed,3246.9,yes,,,,2026
b568088755,-32.9419348,151.7250645,1818.0,2,assumed,3636.0,yes,,,,2026
b568088758,-32.9417415,151.7258957,1554.2,2,assumed,3108.5,yes,,,,2026
b568088762,-32.9417344,151.7266644,188.8,2,assumed,377.5,yes,,,,2026
b454136080,-32.9358395,151.7251939,2210.2,3.0,osm,6630.5,commercial,,,Newcastle Healthcare,2026
b454136084,-32.9355508,151.7252787,764.6,3,assumed,2293.9,commercial,,veterinary,Brunker Road Veterinary Hospital,2026
b568088756,-32.9413122,151.7251402,534.7,2,assumed,1069.5,yes,,,,2026
b568088757,-32.9413852,151.7259072,228.6,2,assumed,457.2,yes,,,,2026
b568088759,-32.9414384,151.7261734,215.5,2,assumed,431.1,yes,,,,2026
b568088760,-32.9412704,151.7267059,79.4,2,assumed,158.8,yes,,,,2026
b568088761,-32.9412126,151.726319,454.7,2,assumed,909.4,yes,,,,2026
b1281413773,-32.9333162,151.72161,50.1,2,assumed,100.2,yes,,,,2026
b1281413774,-32.9333965,151.7215102,74.0,2,assumed,147.9,yes,,,,2026
b1281413777,-32.9332439,151.7218171,81.0,2,assumed,162.1,yes,,,,2026
b1281413779,-32.9329426,151.7220044,121.1,1,assumed,121.1,house,,,,2026
b1281413780,-32.9331232,151.7220137,30.3,2,assumed,60.7,shed,,,,2026
b1281413781,-32.9330861,151.7221193,90.3,1,assumed,90.3,house,,,,2026
b1281413782,-32.9329378,151.7221548,85.2,1,assumed,85.2,house,,,,2026
b1281413783,-32.9327901,151.7221892,102.1,1,assumed,102.1,house,,,,2026
b1285741817,-32.9334146,151.7217895,163.4,1,assumed,163.4,house,,,,2026
b1285741818,-32.9334375,151.721923,158.8,1,assumed,158.8,house,,,,2026
b405120618,-32.9295427,151.7249534,242.5,2,assumed,485.1,yes,,,,2026
b405120620,-32.9291887,151.7253362,293.0,2,assumed,586.1,yes,,,,2026
b405120623,-32.9305147,151.7237555,152.9,2,assumed,305.8,yes,,,,2026
b405120626,-32.9303749,151.7235896,115.9,2,assumed,231.8,yes,,,,2026
b454130676,-32.9331935,151.7257583,461.7,2,assumed,923.3,yes,,,,2026
b454130677,-32.9330886,151.725956,204.1,1,assumed,204.1,retail,hardware,,Affordable Wardrobes,2026
b454130678,-32.9329863,151.7265328,518.0,2,assumed,1036.0,church,,place_of_worship,Saint Stephen’s Church,2026
b454130679,-32.9339971,151.7255804,517.6,2,assumed,1035.2,church,,place_of_worship,Adamstown Uniting Church,2026
b454369034,-32.9338429,151.7256401,590.6,2,assumed,1181.2,yes,,community_centre,Memorial Hall,2026
b1279856547,-32.9305567,151.7283837,1087.8,3,assumed,3263.4,commercial,,,,2026
b1279856548,-32.930439,151.7281824,128.6,2,assumed,257.1,roof,,,,2026
b1279856549,-32.9304205,151.7284576,92.3,2,assumed,184.6,roof,,,,2026
b1279856552,-32.9302856,151.7286484,996.7,3,assumed,2990.2,commercial,,,,2026
b1284822694,-32.9286976,151.7281278,362.2,2,assumed,724.5,yes,,,,2026
b1284822700,-32.9287039,151.7285919,116.8,1,assumed,116.8,house,,,,2026
b1284822701,-32.9286497,151.7286646,22.5,2,assumed,45.0,roof,,,,2026
b1284822707,-32.9287901,151.7288441,14.4,2,assumed,28.9,roof,,,,2026
b1284822709,-32.9287059,151.7288058,70.2,2,assumed,140.4,garage,,,,2026
b1284822710,-32.9286446,151.7287711,25.8,2,assumed,51.5,yes,,,,2026
b1284822711,-32.9288991,151.7287481,244.7,1,assumed,244.7,house,,,,2026
b1285241827,-32.9289871,151.7282733,66.4,1,assumed,66.4,house,,,,2026
b1285241828,-32.9290352,151.7283278,68.4,1,assumed,68.4,house,,,,2026
b1285241829,-32.9290777,151.728376,56.4,1,assumed,56.4,house,,,,2026
b1285241830,-32.9290093,151.7283577,86.6,2,assumed,173.2,roof,,,,2026
b1285241831,-32.929218,151.7283667,101.6,1,assumed,101.6,house,,,,2026
b1285241832,-32.92916,151.7284703,181.4,1,assumed,181.4,house,,,,2026
b1285241833,-32.9290974,151.7284748,31.8,2,assumed,63.7,roof,,,,2026
b1285241834,-32.9292764,151.7282965,100.7,1,assumed,100.7,house,,,,2026
b1285241835,-32.9291671,151.728216,9.9,2,assumed,19.8,shed,,,,2026
b1285241836,-32.9293577,151.7282239,89.6,1,assumed,89.6,house,,,,2026
b1285241837,-32.9292881,151.7281924,98.9,2,assumed,197.8,roof,,,,2026
b1285241838,-32.9292074,151.7280492,87.4,2,assumed,174.9,yes,,,,2026
b1285241839,-32.9294332,151.7281561,69.7,1,assumed,69.7,house,,,,2026
b1285241840,-32.929465,151.7281956,11.6,2,assumed,23.3,roof,,,,2026
b1285241841,-32.9293512,151.7280841,110.7,2,assumed,221.4,yes,,,,2026
b1285241842,-32.9292572,151.7280224,9.7,2,assumed,19.4,shed,,,,2026
b1285656082,-32.9294621,151.7279889,297.7,1,assumed,297.7,house,,,,2026
b1285656083,-32.9293954,151.7279016,59.2,2,assumed,118.3,roof,,,,2026
b1285656084,-32.9293091,151.7276682,124.9,2,assumed,249.9,shed,,,,2026
b1285656085,-32.9293722,151.7276683,20.3,2,assumed,40.6,roof,,,,2026
b1285656086,-32.9294282,151.7277269,84.7,2,assumed,169.4,shed,,,,2026
b1285656087,-32.9296509,151.7278534,100.2,1,assumed,100.2,house,,,,2026
b1285656088,-32.9295917,151.7277968,56.4,2,assumed,112.8,roof,,,,2026
b1285656089,-32.9295762,151.7279394,31.4,2,assumed,62.8,garage,,,,2026
b1285656090,-32.9295765,151.7276129,86.4,2,assumed,172.9,garage,,,,2026
b1285656091,-32.9297962,151.7277151,104.8,1,assumed,104.8,house,,,,2026
b1285656092,-32.9297474,151.7276483,47.0,2,assumed,94.1,roof,,,,2026
b1285656093,-32.9297218,151.7276009,21.3,2,assumed,42.6,shed,,,,2026
b1285656094,-32.9296337,151.7274769,22.9,2,assumed,45.7,shed,,,,2026
b1285656095,-32.9298083,151.7275768,178.1,1,assumed,178.1,house,,,,2026
b1285656096,-32.9297468,151.7274789,8.4,2,assumed,16.8,roof,,,,2026
b1285656097,-32.9298803,151.7275021,224.5,1,assumed,224.5,house,,,,2026
b1285656098,-32.9299736,151.7274641,108.3,1,assumed,108.3,house,,,,2026
b1285656099,-32.9300347,151.7273824,116.6,1,assumed,116.6,house,,,,2026
b1285741772,-32.9329756,151.7232045,236.8,1,assumed,236.8,house,,,,2026
b1285741773,-32.9328732,151.7233275,191.2,1,assumed,191.2,house,,,,2026
b1285741774,-32.9328886,151.7230552,166.6,1,assumed,166.6,house,,,,2026
b1285741775,-32.9328202,151.7229765,167.0,1,assumed,167.0,house,,,,2026
b1285741776,-32.9327128,151.7235221,164.5,1,assumed,164.5,house,,,,2026
b1285741777,-32.9327793,151.7234415,164.6,1,assumed,164.6,house,,,,2026
b1285741778,-32.9325628,151.7237042,164.5,1,assumed,164.5,house,,,,2026
b1285741779,-32.9326293,151.7236236,164.6,1,assumed,164.6,house,,,,2026
b1285741780,-32.9321959,151.7237656,164.6,1,assumed,164.6,house,,,,2026
b1285741781,-32.9322621,151.7236847,164.6,1,assumed,164.6,house,,,,2026
b1285741782,-32.9320446,151.723949,164.6,1,assumed,164.6,house,,,,2026
b1285741783,-32.9321108,151.723868,164.6,1,assumed,164.6,house,,,,2026
b1285741784,-32.9318943,151.724135,164.6,1,assumed,164.6,house,,,,2026
b1285741785,-32.9319606,151.7240541,164.6,1,assumed,164.6,house,,,,2026
b1285741786,-32.9318209,151.7245928,164.6,1,assumed,164.6,house,,,,2026
b1285741787,-32.9318873,151.7245122,164.6,1,assumed,164.6,house,,,,2026
b1285741788,-32.9326315,151.7232112,196.4,1,assumed,196.4,house,,,,2026
b1285741789,-32.932541,151.7233239,191.1,1,assumed,191.1,house,,,,2026
b1285741790,-32.9320853,151.7242947,196.2,1,assumed,196.2,house,,,,2026
b1285741791,-32.9319864,151.7244135,196.7,1,assumed,196.7,house,,,,2026
b1285741792,-32.9316943,151.7243523,196.7,1,assumed,196.7,house,,,,2026
b1285741793,-32.9317932,151.7242336,196.1,1,assumed,196.1,house,,,,2026
b1285741794,-32.9323766,151.723939,196.7,1,assumed,196.7,house,,,,2026
b1285741795,-32.9324754,151.7238202,196.2,1,assumed,196.2,house,,,,2026
b1285741796,-32.9323428,151.7235651,196.7,1,assumed,196.7,house,,,,2026
b1285741797,-32.9324417,151.7234464,196.2,1,assumed,196.2,house,,,,2026
