frontage_segment_id,street_name,corridor_role,seg_index,length_m,lat,lon,x_mga56,y_mga56,road_edge_id,business_count,n_retail,n_food,n_office,n_civic,n_leisure,n_health,business_categories,attraction_weight_sum,n_buildings,gross_floor_area_m2,retail_floorspace_m2,retail_floorspace_source,active_frontage_pct,vacancy_rate,vacancy_source,awning_coverage_pct,awning_source,year,scenario_variant_ref
HUNTERST_001,Hunter Street,corridor,1,55.2,-32.9098307,151.733458,381560.7,6357997.8,w29417650,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,modelled,0.0,,not_available,,not_available,2026,base2026
HUNTERST_002,Hunter Street,corridor,2,55.2,-32.9097401,151.7328779,381506.4,6358007.2,w29417650,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,modelled,0.0,,not_available,,not_available,2026,base2026
HUNTERST_003,Hunter Street,corridor,3,55.2,-32.9096698,151.7322942,381451.7,6358014.4,w29417650,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,modelled,0.0,,not_available,,not_available,2026,base2026
HUNTERST_004,Hunter Street,corridor,4,55.2,-32.9096896,151.7317055,381396.7,6358011.5,w29417650,0,0,0,0,0,0,0,,0.0,6,451.7,0.0,modelled,0.0,,not_available,,not_available,2026,base2026
HUNTERST_005,Hunter Street,corridor,5,56.1,-32.9221167,151.753459,383447.3,6356658.0,w419699915,1,0,0,0,0,0,0,amenity:parking,0.4,4,947.6,0.0,modelled,44.6,,not_available,,not_available,2026,base2026
HUNTERST_006,Hunter Street,corridor,6,56.1,-32.9224929,151.7538588,383485.2,6356616.7,w419699915,1,0,0,0,0,0,0,amenity:shelter,0.4,6,1655.3,0.0,modelled,44.6,,not_available,,not_available,2026,base2026
HUNTERST_007,Hunter Street,corridor,7,56.1,-32.9228783,151.7542467,383522.0,6356574.4,w419699915,1,0,0,0,0,0,0,amenity:shelter,0.4,5,976.6,0.0,modelled,44.6,,not_available,,not_available,2026,base2026
HUNTERST_008,Hunter Street,corridor,8,56.1,-32.9232378,151.7546661,383561.7,6356535.0,w419699915,0,0,0,0,0,0,0,,0.0,2,378.7,0.0,modelled,0.0,,not_available,,not_available,2026,base2026
HUNTERST_009,Hunter Street,corridor,9,58.6,-32.923518,151.7551806,383610.2,6356504.5,w688558129,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,modelled,0.0,,not_available,,not_available,2026,base2026
HUNTERST_010,Hunter Street,corridor,10,36.8,-32.9237328,151.7556226,383651.8,6356481.2,w773878392,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,modelled,0.0,,not_available,,not_available,2026,base2026
HUNTERST_011,Hunter Street,corridor,11,55.7,-32.9239399,151.7560521,383692.2,6356458.7,w575648841,1,0,0,0,0,0,0,amenity:post_box,0.4,7,1867.3,0.0,modelled,44.9,,not_available,,not_available,2026,base2026
