SA1_CODE21,SA2_CODE21,SA2_NAME21,zone_tier,area_km2,x_mga56,y_mga56,lon,lat,population,dwellings_total,office,retail,food,civic,health,leisure,tourism,amenity,landuse,job_index,jobs_sa2,jobs,jobs_source,attr_HW,attr_HE,attr_HS,attr_HO,attr_WB,attr_NHB
10601110701,106011107,Branxton - Greta - Pokolbin,core,0.4799,348567.8,6384035.7,151.3850026,-32.670974,706,264,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,5.2,4941,19.1,modelled_from_WPP_SA2,19.1,14.620000000000001,0.5,11.0,1.0,1.0
10601110702,106011107,Branxton - Greta - Pokolbin,core,0.329,349277.7,6383211.2,151.3924383,-32.678506,555,241,0.0,0.0,0.0,1.0,0.0,4.0,0.0,5.0,0.0,28.0,4941,102.8,modelled_from_WPP_SA2,102.8,43.6,2.5,28.0,10.0,8.0
10601110703,106011107,Branxton - Greta - Pokolbin,core,2.8685,349522.0,6383771.1,151.3951335,-32.6734907,803,284,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,3.0,22.6,4941,83.0,modelled_from_WPP_SA2,83.0,17.06,1.0,52.0,2.0,2.0
10601110704,106011107,Branxton - Greta - Pokolbin,external,41.7628,340056.2,6389518.7,151.2952007,-32.620333,407,146,0.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,0.0,42.0,4941,154.2,modelled_from_WPP_SA2,154.2,68.64,0.5,30.0,11.0,7.0
10601110705,106011107,Branxton - Greta - Pokolbin,external,68.843,339036.8,6382062.1,151.2830545,-32.68742,372,150,0.0,5.0,6.0,0.0,0.0,18.0,7.0,25.0,0.0,138.0,4941,506.6,modelled_from_WPP_SA2,506.6,19.94,86.5,176.0,25.0,80.0
10601110706,106011107,Branxton - Greta - Pokolbin,core,33.7724,350217.1,6380842.5,151.4020735,-32.6999931,363,146,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,5.0,19.0,4941,69.7,modelled_from_WPP_SA2,69.7,10.26,3.0,36.0,6.0,6.0
10601110707,106011107,Branxton - Greta - Pokolbin,core,89.2697,340067.3,6371359.3,151.2922021,-32.7840749,267,166,1.0,23.0,17.0,2.0,0.0,35.0,29.0,160.0,2.0,553.4,4941,2031.5,modelled_from_WPP_SA2,2031.5,145.34,378.0,559.0,180.0,369.0
10601110708,106011107,Branxton - Greta - Pokolbin,core,38.3597,347681.6,6372676.7,151.3736969,-32.7732777,338,138,0.0,0.0,1.0,0.0,0.0,3.0,3.0,9.0,1.0,30.2,4941,110.9,modelled_from_WPP_SA2,110.9,11.26,8.5,38.0,9.0,14.0
10601110709,106011107,Branxton - Greta - Pokolbin,core,0.6532,345415.5,6385645.1,151.3516625,-32.656025,309,143,0.0,3.0,4.0,4.0,0.0,3.0,1.0,13.0,4.0,118.8,4941,436.1,modelled_from_WPP_SA2,436.1,132.68,52.5,69.0,33.0,60.0
10601110710,106011107,Branxton - Greta - Pokolbin,core,0.499,345976.8,6384753.6,151.3574986,-32.6641417,265,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4941,0.0,modelled_from_WPP_SA2,0.0,5.3,0.0,0.0,0.0,0.0
