road_variant_ref,edge_id,name,corridor_class,fields_changed,field_num_lanes_per_dir_from,field_num_lanes_per_dir_to,num_lanes_observed_source,field_kerbside_use_from,field_kerbside_use_to,kerbside_observed_source,capacity_veh_hr_lane,signal_cycle_s,tram_lane_present,source,sweep_low,sweep_high,rationale
net_base2026_hunter_st_full_capacity,w880437939,Hunter Street,corridor_trunk:base2026;corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,unknown,parking,imputed_rule,1400,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w1224930744,Scott Street,corridor_trunk:base2026;corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,unknown,parking,imputed_rule,1200,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w654397477,Scott Street,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,unknown,parking,imputed_rule,1200,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w80503133,Scott Street,corridor_trunk:base2026;corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,tram_lane,parking,osm,1400,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w630403513,Hunter Street,corridor_trunk:base2026;corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,unknown,parking,imputed_rule,1400,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w630409400,Scott Street,corridor_trunk:base2026;corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,tram_lane,parking,osm,1200,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w630403516,Scott Street,corridor_trunk:base2026;corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,tram_lane,parking,osm,1200,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w859623594,Scott Street,corridor_trunk:base2026;corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,tram_lane,parking,osm,1400,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w1224930742,Scott Street,corridor_trunk:base2026;corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,unknown,parking,imputed_rule,1200,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
net_base2026_hunter_st_full_capacity,w886599916,Scott Street,corridor_trunk:base2026;corridor_trunk:S4;corridor_trunk:S5,num_lanes_per_dir;kerbside_use,1.0,2.0,osm,unknown,parking,imputed_rule,1400,100,0,assumed,1,2,pre-tram reconstruction: road space and kerbside restored. Not observable in a 2026 extract; assumed and swept (DECISIONS 3.4)
