rel_id,restriction,members
12541499,only_straight_on,way:1326381885:from;node:12272206945:via;way:1329246948:to
12541501,only_straight_on,way:1326381886:from;node:12272206945:via;way:1326381883:to
12541502,only_straight_on,way:1326381888:from;node:12272206945:via;way:1326381887:to
18227964,no_u_turn,way:1326381883:from;way:1326381882:to;node:8597607360:via
18227965,no_u_turn,way:1326381890:from;way:1326381891:to;node:12272206960:via
18227966,no_u_turn,way:1326381889:from;way:926492139:to;node:8597607366:via
8220546,no_u_turn,way:581237471:from;node:51647207:via;way:1326381879:to
12541457,only_straight_on,way:1326381879:from;node:105406828:via;way:926478341:to
12541458,only_straight_on,way:581237466:from;node:942123833:via;way:581237471:to
9484576,no_right_turn,way:926487270:from;node:942122549:via;way:80790375:to
12541455,only_right_turn,way:80790455:from;node:105406828:via;way:926478341:to
12541456,only_right_turn,way:926478343:from;node:105406828:via;way:80790454:to
12541459,only_straight_on,way:685799557:from;node:942123833:via;way:80790455:to
12541486,only_right_turn,way:80790375:from;node:775948687:via;way:683689888:to
12541487,only_right_turn,way:926487269:from;node:775948687:via;way:80790377:to
12541488,only_straight_on,way:779708065:from;node:775948687:via;way:683689888:to
17781150,no_left_turn,way:768955283:from;way:683689892:to;node:942122549:via
17704855,,way:411882621:from;way:849569565:to;node:4134705662:via
17734791,no_u_turn,way:184915882:from;way:624878760:to;node:1836634578:via
17734792,no_u_turn,way:411883469:from;way:849569565:via;way:849569566:to
17734664,no_u_turn,way:577262995:from;way:411883472:to;node:618097705:via
17734790,no_left_turn,way:184915882:from;way:411883468:to;node:1836634578:via
17734793,no_u_turn,way:411882621:from;way:849569565:via;way:411883468:to
8186681,no_u_turn,way:577262992:from;way:577262993:via;way:577262991:to
8186682,no_u_turn,way:577262991:from;way:577262994:via;way:577262992:to
17734660,no_u_turn,way:411883473:from;way:1291330525:to;node:51649866:via
17734661,no_left_turn,way:1253785974:from;way:1254220411:to;node:4134710730:via
17734662,no_left_turn,way:1383526610:from;way:1383526611:to;node:4134710729:via
17734663,no_u_turn,way:577262994:from;way:577262992:via;way:577262993:to
10288863,only_straight_on,way:744569746:from;node:6968586143:via;way:744569725:to
10288864,only_straight_on,way:744569725:from;node:6968586143:via;way:172513775:to
10288865,only_left_turn,way:829198326:from;node:6562821114:via;way:744569731:to
10288866,only_straight_on,way:744569731:from;node:6562821114:via;way:832627628:to
10288867,only_straight_on,way:829198324:from;node:6562821153:via;way:751265722:to
10288868,only_straight_on,way:751265722:from;node:6562821153:via;way:744569730:to
10288869,no_left_turn,way:832627638:from;node:6562821086:via;way:744569744:to
10288870,no_u_turn,way:744569747:from;way:698880282:via;way:744569743:to
10356615,only_left_turn,way:698880280:from;node:6562821129:via;way:698880283:to
14258103,no_u_turn,way:744569746:from;node:6968586143:via;way:172513775:to
14258104,no_left_turn,way:751265727:from;node:6968586625:via;way:744569741:to
14258105,no_u_turn,way:744569743:from;way:744569740:via;way:744569747:to
