rel_id,restriction,from_way,via_member,to_way,lat,lon,located_by,source,dist_to_base2026_m,dist_to_S2c_m,dist_to_S4_m,dist_to_S5_m,corridor_flag
13424022,no_u_turn,190524730,630409402,880437935,-32.9269158,151.772968,via_way,osm,4.2,197.2,4.2,4.2,1
12256913,unspecified,630409399,5952824128,1224930744,-32.9273483,151.7857851,via_node,osm,4.5,94.1,4.5,4.5,1
17719842,no_u_turn,1224930742,32776792,1224930744,-32.9273316,151.7857903,via_way,osm,4.8,93.4,4.8,4.8,1
17719843,no_u_turn,654397477,32776792,902502665,-32.9273316,151.7857903,via_way,osm,4.8,93.4,4.8,4.8,1
17719844,no_u_turn,902502665,10167781787,654397477,-32.9274436,151.7863303,via_node,osm,6.7,43.0,6.7,6.7,1
11974215,no_right_turn,415393719,355022066,880437940,-32.9267768,151.7747872,via_node,osm,7.9,166.7,7.9,7.9,1
11974216,no_left_turn,880437939,355022066,880437940,-32.9267768,151.7747872,via_node,osm,7.9,166.7,7.9,7.9,1
11974218,no_right_turn,880437939,355022066,190524730,-32.9267768,151.7747872,via_node,osm,7.9,166.7,7.9,7.9,1
13424021,no_right_turn,1320077081,5952824097,630409402,-32.9268365,151.7729568,via_node,osm,8.4,188.5,8.4,8.4,1
14317931,no_u_turn,327722943,9239464135,380459178,-32.9258523,151.7643138,via_node,osm,25.8,152.9,25.8,25.8,1
8096987,no_u_turn,291699372,2951675354,291699371,-32.9264028,151.7729993,via_node,osm,54.6,140.4,54.6,54.6,0
11845455,only_left_turn,827806695,186656694,867849754,-32.9270306,151.7767561,via_node,osm,59.7,173.2,59.7,59.7,0
17080587,no_right_turn,891085244,5987391092,1000972294,-32.9255359,151.764442,via_node,osm,62.8,116.8,62.8,62.8,0
14317932,no_u_turn,380459178,1848213216,327722943,-32.9267542,151.764048,via_node,osm,76.4,254.2,76.4,76.4,0
13420731,no_u_turn,415482986,1847056835,676281537,-32.9274329,151.7672817,via_node,osm,78.4,301.8,78.4,78.4,0
8172014,no_u_turn,1324584330,3505881,1324584328,-32.9252057,151.7594345,via_way,osm,84.9,122.6,11.0,11.0,0
8172016,no_u_turn,1324848032,3505881,1324848033,-32.9252057,151.7594345,via_way,osm,84.9,122.6,11.0,11.0,0
8172017,no_right_turn,1324848032,1835178730,3505881,-32.9252057,151.7594345,via_node,osm,84.9,122.6,11.0,11.0,0
8172015,no_right_turn,1324584330,17379901,3505881,-32.9251682,151.7593251,via_node,osm,85.7,119.3,0.0,0.0,0
11974222,only_left_turn,862889476,8038576949,880437943,-32.927619,151.7743479,via_node,osm,94.2,263.0,94.2,94.2,0
11845456,no_straight_on,18055301,186643960,867849757,-32.92723,151.7776037,via_node,osm,96.7,196.9,96.7,96.7,0
10603442,no_u_turn,754126909,355022301,31731535,-32.9261929,151.7849454,via_node,osm,100.0,67.5,100.0,100.0,0
17731798,no_u_turn,862889481,5967791212,862889482,-32.9278113,151.7731523,via_node,osm,101.8,294.3,101.8,101.8,0
14108379,no_u_turn,1057570035,1057570034,1057570033,-32.9236187,151.7603206,via_way,osm,109.2,59.7,109.2,109.2,0
8116824,no_right_turn,508425383,17379913,380459181,-32.9262419,151.7615893,via_node,osm,111.5,218.5,111.5,111.5,0
8116825,only_left_turn,380459181,17379913,508425383,-32.9262419,151.7615893,via_node,osm,111.5,218.5,111.5,111.5,0
10603440,no_u_turn,31731541,355022231,31731539,-32.925938,151.784584,via_node,osm,117.6,38.5,117.6,117.6,0
14108377,no_left_turn,1324848040,1835964489,1324848039,-32.9235961,151.7604916,via_node,osm,118.6,63.7,118.6,118.6,0
8172048,no_u_turn,1057570033,347409332,1057570035,-32.9235961,151.7604916,via_way,osm,118.6,63.7,118.6,118.6,0
14108378,no_u_turn,1057570034,1057570033,347409332,-32.9235398,151.7603731,via_way,osm,119.2,69.0,119.2,119.2,0
17731799,no_u_turn,1144986378,734044960,1293396898,-32.9278816,151.7745242,via_node,osm,124.9,290.4,124.9,124.9,0
11811355,only_left_turn,676281534,8038576927,865288027,-32.9279634,151.7737959,via_node,osm,125.8,305.6,125.9,125.9,0
15475749,no_left_turn,538437625,356990750,1293396898,-32.9279278,151.7741823,via_node,osm,126.3,298.5,126.3,126.3,0
17731800,no_left_turn,863181950,356990750,1324584339,-32.9279278,151.7741823,via_node,osm,126.3,298.5,126.3,126.3,0
11787846,only_left_turn,862889479,8038576958,684683287,-32.9279984,151.7741452,via_node,osm,133.6,306.5,133.6,133.6,0
11787847,only_straight_on,684683287,8038576958,863181950,-32.9279984,151.7741452,via_node,osm,133.6,306.5,133.6,133.6,0
10603441,no_u_turn,31731542,355022318,754126910,-32.9258095,151.7852879,via_node,osm,149.6,27.1,149.6,149.6,0
12022290,only_straight_on,173254594,1840986597,575648842,-32.9244451,151.7571294,via_node,osm,158.5,158.5,0.0,0.0,0
11851468,only_straight_on,868132215,7007863500,902860725,-32.9288564,151.787701,via_node,osm,161.5,161.5,161.5,161.5,0
20286355,no_right_turn,862889474,8038576921,676281534,-32.9283727,151.7739423,via_node,osm,172.4,349.5,172.4,172.4,0
8172304,no_u_turn,575648841,1835178769,72369560,-32.9240626,151.7563122,via_node,osm,228.4,228.4,0.0,0.0,0
8172019,no_u_turn,862909832,575626885,508425394,-32.9272421,151.7608268,via_way,osm,239.0,335.0,239.0,239.0,0
8172020,no_u_turn,1324584334,575626885,1324584332,-32.9272421,151.7608268,via_way,osm,239.0,335.0,239.0,239.0,0
17719845,no_left_turn,532942998,1840986782,1324584332,-32.9273605,151.7607147,via_node,osm,254.6,349.0,254.6,254.6,0
17719846,no_u_turn,508425402,1087917664,1292591716,-32.9260098,151.7570385,via_way,osm,270.4,270.4,164.4,164.4,0
