parking_facility_id,lat,lon,type,osm_parking,capacity_spaces,capacity_source,fee,charge,max_stay_min,access,operator,surface,levels,name,scenario_variant_ref
pn11406817061,-32.9038304,150.7520063,onstreet,street_side,,imputed,,,,,,fine_gravel,,,base2026
pw331956753,-32.9802333,151.0143182,offstreet_public,,,imputed,,,,,,,,,base2026
pw331956754,-32.9776451,151.0213322,offstreet_public,,,imputed,,,,,,,,,base2026
pw675562163,-32.9222107,151.119704,offstreet_public,,,imputed,,,,,,,,,base2026
pn7099414388,-33.2321597,151.2167953,offstreet_private,surface,,imputed,,,,private,,,,,base2026
pn4943388144,-33.2477885,151.4580561,offstreet_public,,,imputed,,,,,,,,,base2026
pn4943388147,-33.2481122,151.4572281,offstreet_public,,,imputed,,,,,,,,,base2026
pn5062015622,-33.2066892,151.4986932,offstreet_public,surface,,imputed,no,,,yes,,,,,base2026
pn993414587,-33.0763765,151.4534211,offstreet_public,,,imputed,,,,,,,,,base2026
pn11244843085,-33.0779596,151.4492956,offstreet_public,,,imputed,no,,,,,,,,base2026
pn11244843091,-33.0769936,151.4479594,offstreet_public,,,imputed,no,,,,,,,,base2026
pn1893123622,-33.1091438,151.4857252,offstreet_public,underground,,imputed,,,,,,,,,base2026
pn1261492436,-33.0215983,151.4567561,offstreet_public,,,imputed,no,,,,HMBA,dirt,,Carpark 2,base2026
pn6052332085,-33.0236047,151.4560978,offstreet_public,,,imputed,,,,,HMBA,dirt,,Carpark 3,base2026
pn6052332086,-33.021826,151.4565466,offstreet_public,surface,,imputed,,,,,HMBA,dirt,,Shuttle Point,base2026
pn7357400820,-33.0248371,151.4576867,offstreet_public,,,imputed,no,,,,HMBA,dirt,,,base2026
pn7357400821,-33.0252059,151.4580515,offstreet_public,,,imputed,no,,,,,dirt,,,base2026
pn7178951878,-32.9813689,151.4549138,offstreet_public,surface,,imputed,,,,,,gravel,,,base2026
pw203194449,-33.2188829,151.1232506,offstreet_public,,,imputed,,,,,,,,,base2026
pw498123251,-33.2255197,151.2232513,offstreet_public,,,imputed,,,,,,,,,base2026
pw498123252,-33.2253052,151.22338,offstreet_public,,,imputed,,,,,,,,,base2026
pw498123254,-33.2250997,151.2226799,offstreet_public,,,imputed,,,,,,,,,base2026
pw580004071,-33.2556642,151.401656,offstreet_private,surface,,imputed,no,,,customers,,asphalt,,Truck Parking,base2026
pw69358417,-33.2554749,151.4026834,offstreet_private,surface,,imputed,no,,,customers,,asphalt,,,base2026
pw186975337,-33.2541773,151.4049243,offstreet_public,surface,,imputed,no,,,yes,,asphalt,,,base2026
