day_type,hour,share
SAT,0,0.015622
SAT,1,0.01414
SAT,2,0.01569
SAT,3,0.018454
SAT,4,0.023173
SAT,5,0.032248
SAT,6,0.045316
SAT,7,0.055414
SAT,8,0.061918
SAT,9,0.069602
SAT,10,0.072545
SAT,11,0.071435
SAT,12,0.067655
SAT,13,0.062981
SAT,14,0.060305
SAT,15,0.057504
SAT,16,0.055199
SAT,17,0.0494
SAT,18,0.037429
SAT,19,0.029136
SAT,20,0.02374
SAT,21,0.023092
SAT,22,0.021251
SAT,23,0.016749
SUN,0,0.013392
SUN,1,0.009713
SUN,2,0.007894
SUN,3,0.007596
SUN,4,0.011929
SUN,5,0.017561
SUN,6,0.022223
SUN,7,0.031283
SUN,8,0.04023
SUN,9,0.054653
SUN,10,0.065559
SUN,11,0.07008
SUN,12,0.069158
SUN,13,0.068021
SUN,14,0.070053
SUN,15,0.070317
SUN,16,0.06798
SUN,17,0.062791
SUN,18,0.054405
SUN,19,0.048878
SUN,20,0.044393
SUN,21,0.039135
SUN,22,0.030479
SUN,23,0.022277
WEEKDAY,0,0.010116
WEEKDAY,1,0.010253
WEEKDAY,2,0.012572
WEEKDAY,3,0.015514
WEEKDAY,4,0.024333
WEEKDAY,5,0.041317
WEEKDAY,6,0.068076
WEEKDAY,7,0.069188
WEEKDAY,8,0.066123
WEEKDAY,9,0.064564
WEEKDAY,10,0.063492
WEEKDAY,11,0.064491
WEEKDAY,12,0.063456
WEEKDAY,13,0.063841
WEEKDAY,14,0.065855
WEEKDAY,15,0.066771
WEEKDAY,16,0.058256
WEEKDAY,17,0.046923
WEEKDAY,18,0.033081
WEEKDAY,19,0.025115
WEEKDAY,20,0.021425
WEEKDAY,21,0.018485
WEEKDAY,22,0.015069
WEEKDAY,23,0.011685
