day_type,hour,share
SAT,0,0.008266
SAT,1,0.005203
SAT,2,0.003966
SAT,3,0.003934
SAT,4,0.00762
SAT,5,0.016123
SAT,6,0.025151
SAT,7,0.038316
SAT,8,0.054997
SAT,9,0.069951
SAT,10,0.079732
SAT,11,0.083411
SAT,12,0.080536
SAT,13,0.075505
SAT,14,0.074143
SAT,15,0.071629
SAT,16,0.069003
SAT,17,0.064389
SAT,18,0.04642
SAT,19,0.032613
SAT,20,0.025633
SAT,21,0.02482
SAT,22,0.022655
SAT,23,0.015984
SUN,0,0.011138
SUN,1,0.007003
SUN,2,0.005115
SUN,3,0.004385
SUN,4,0.006563
SUN,5,0.012278
SUN,6,0.017982
SUN,7,0.027022
SUN,8,0.041758
SUN,9,0.065433
SUN,10,0.080756
SUN,11,0.090351
SUN,12,0.086984
SUN,13,0.08228
SUN,14,0.08431
SUN,15,0.083965
SUN,16,0.078656
SUN,17,0.066287
SUN,18,0.046737
SUN,19,0.034499
SUN,20,0.026024
SUN,21,0.019638
SUN,22,0.013188
SUN,23,0.007645
WEEKDAY,0,0.003934
WEEKDAY,1,0.002489
WEEKDAY,2,0.002252
WEEKDAY,3,0.003514
WEEKDAY,4,0.012934
WEEKDAY,5,0.033628
WEEKDAY,6,0.056779
WEEKDAY,7,0.071447
WEEKDAY,8,0.072115
WEEKDAY,9,0.05849
WEEKDAY,10,0.054523
WEEKDAY,11,0.055495
WEEKDAY,12,0.056424
WEEKDAY,13,0.058603
WEEKDAY,14,0.067337
WEEKDAY,15,0.080631
WEEKDAY,16,0.085344
WEEKDAY,17,0.081001
WEEKDAY,18,0.050091
WEEKDAY,19,0.031247
WEEKDAY,20,0.022925
WEEKDAY,21,0.018515
WEEKDAY,22,0.012873
WEEKDAY,23,0.007409
