Year_Month,Location,Card_type,Trip
2019-02,Civic Light Rail,Adult,4379
2019-02,Civic Light Rail,CTP,274
2019-02,Civic Light Rail,Child/Youth,319
2019-02,Civic Light Rail,Concession,642
2019-02,Civic Light Rail,Employee,7
2019-02,Civic Light Rail,Free Travel,23
2019-02,Civic Light Rail,School Student,45
2019-02,Civic Light Rail,Senior/Pensioner,1019
2019-02,Civic Light Rail,Sgl Trip LR Adult,58
2019-02,Civic Light Rail,Sgl Trip LR Child/Youth,18
2019-02,Crown Street Light Rail,Adult,1776
2019-02,Crown Street Light Rail,CTP,188
2019-02,Crown Street Light Rail,Child/Youth,169
2019-02,Crown Street Light Rail,Concession,128
2019-02,Crown Street Light Rail,Employee,23
2019-02,Crown Street Light Rail,Free Travel,14
2019-02,Crown Street Light Rail,School Student,30
2019-02,Crown Street Light Rail,Senior/Pensioner,743
2019-02,Crown Street Light Rail,Sgl Trip LR Adult,38
2019-02,Crown Street Light Rail,Sgl Trip LR Child/Youth,14
2019-02,Honeysuckle Light Rail,Adult,2880
2019-02,Honeysuckle Light Rail,CTP,216
2019-02,Honeysuckle Light Rail,Child/Youth,207
2019-02,Honeysuckle Light Rail,Concession,257
2019-02,Honeysuckle Light Rail,Employee,16
2019-02,Honeysuckle Light Rail,Free Travel,33
2019-02,Honeysuckle Light Rail,School Student,104
2019-02,Honeysuckle Light Rail,Senior/Pensioner,892
2019-02,Honeysuckle Light Rail,Sgl Trip LR Adult,52
2019-02,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,31
2019-02,Newcastle Beach Light Rail,Adult,4174
2019-02,Newcastle Beach Light Rail,CTP,472
2019-02,Newcastle Beach Light Rail,Child/Youth,582
2019-02,Newcastle Beach Light Rail,Concession,239
2019-02,Newcastle Beach Light Rail,Employee,16
2019-02,Newcastle Beach Light Rail,Free Travel,58
2019-02,Newcastle Beach Light Rail,School Student,67
2019-02,Newcastle Beach Light Rail,Senior/Pensioner,2578
2019-02,Newcastle Beach Light Rail,Sgl Trip LR Adult,151
2019-02,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,55
2019-02,Newcastle Interchange Light Rail,Adult,9696
2019-02,Newcastle Interchange Light Rail,CTP,612
2019-02,Newcastle Interchange Light Rail,Child/Youth,994
2019-02,Newcastle Interchange Light Rail,Concession,918
2019-02,Newcastle Interchange Light Rail,Employee,99
2019-02,Newcastle Interchange Light Rail,Free Travel,93
2019-02,Newcastle Interchange Light Rail,School Student,147
2019-02,Newcastle Interchange Light Rail,Senior/Pensioner,4600
2019-02,Newcastle Interchange Light Rail,Sgl Trip LR Adult,241
2019-02,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,79
2019-02,Queens Wharf Light Rail,Adult,3196
2019-02,Queens Wharf Light Rail,CTP,295
2019-02,Queens Wharf Light Rail,Child/Youth,338
2019-02,Queens Wharf Light Rail,Concession,221
2019-02,Queens Wharf Light Rail,Day Pass without SAF,1
2019-02,Queens Wharf Light Rail,Employee,16
2019-02,Queens Wharf Light Rail,Free Travel,63
2019-02,Queens Wharf Light Rail,School Student,248
2019-02,Queens Wharf Light Rail,Senior/Pensioner,2083
2019-02,Queens Wharf Light Rail,Sgl Trip LR Adult,118
2019-02,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,28
2019-03,Civic Light Rail,Adult,11016
2019-03,Civic Light Rail,CTP,943
2019-03,Civic Light Rail,Child/Youth,859
2019-03,Civic Light Rail,Concession,2973
2019-03,Civic Light Rail,Day Pass without SAF,2
2019-03,Civic Light Rail,Employee,40
2019-03,Civic Light Rail,Free Travel,92
2019-03,Civic Light Rail,School Student,95
2019-03,Civic Light Rail,Senior/Pensioner,3435
2019-03,Civic Light Rail,Sgl Trip LR Adult,160
2019-03,Civic Light Rail,Sgl Trip LR Child/Youth,52
2019-03,Crown Street Light Rail,Adult,4472
2019-03,Crown Street Light Rail,CTP,518
