sweep_id,beta_transfer_penalty_min,dwell_charging_s,is_baseline
SW0001,3.0,0.0,0
SW0002,3.0,10.0,0
SW0003,3.0,20.0,0
SW0004,3.0,35.0,0
SW0005,5.0,0.0,0
SW0006,5.0,10.0,0
SW0007,5.0,20.0,0
SW0008,5.0,35.0,0
SW0009,6.5,0.0,0
SW0010,6.5,10.0,0
SW0011,6.5,20.0,0
SW0012,6.5,35.0,0
SW0013,8.0,0.0,0
SW0014,8.0,10.0,0
SW0015,8.0,20.0,1
SW0016,8.0,35.0,0
SW0017,10.0,0.0,0
SW0018,10.0,10.0,0
SW0019,10.0,20.0,0
SW0020,10.0,35.0,0
SW0021,12.0,0.0,0
SW0022,12.0,10.0,0
SW0023,12.0,20.0,0
SW0024,12.0,35.0,0
SW0025,15.0,0.0,0
SW0026,15.0,10.0,0
SW0027,15.0,20.0,0
SW0028,15.0,35.0,0
