SA1_CODE_2021,zone_tier,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
10601110701,core,4,13,51,43,30,13,0,0,0,143,5,0,7,7,3,4,0,0,0,27,3,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,16,13,61,46,34,18,0,0,0,189,4,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,5,15,18,60,53,34,15,0,0,0,195,11,0,8,6,5,8,12,7,6,58,0,0,5,0,0,0,0,0,0,8,29,17,65,62,39,29,12,14,6,271,0,12,22,18,10,9,0,0,0,70,11,5,25,14,7,7,0,0,0,68,0,0,14,9,7,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,15,13,58,36,24,14,4,0,0,161,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5
10601110702,core,5,10,33,19,15,21,0,0,0,103,6,0,7,3,0,7,0,0,0,26,3,0,0,4,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,15,7,39,29,24,28,0,0,0,145,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,4,0,3,0,5,0,0,0,0,9,13,7,41,30,25,28,0,0,0,156,3,9,5,6,5,16,14,12,6,62,0,0,0,0,0,7,3,0,0,14,23,14,46,34,27,44,23,12,6,225,0,3,18,11,5,5,0,0,0,48,7,8,17,20,16,11,4,0,0,70,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,8,39,28,22,15,5,0,0,122,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10
10601110703,core,7,9,52,40,35,24,0,0,0,176,0,8,10,4,0,3,3,0,0,25,0,4,0,8,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,6,9,21,58,51,35,32,3,0,0,212,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,13,17,63,51,35,38,3,0,0,220,4,0,0,0,5,4,19,12,0,54,0,0,0,0,4,0,0,3,0,9,16,24,63,55,48,45,17,12,0,286,0,7,26,23,11,11,0,0,0,81,14,12,22,24,24,15,0,0,0,117,0,3,4,5,0,0,0,0,0,17,0,0,3,0,0,0,0,0,0,3,14,21,61,52,38,28,4,0,0,217,0,5,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,7
10601110704,external,0,6,16,20,21,25,7,0,0,100,3,3,0,0,3,6,0,0,0,21,0,0,3,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,4,15,10,18,20,31,31,12,0,0,129,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,12,10,18,20,32,35,12,0,0,134,0,0,0,3,5,9,13,6,0,34,0,0,0,0,0,0,0,0,0,0,12,10,18,24,31,41,23,3,0,172,0,3,3,13,18,18,4,0,0,61,0,5,6,9,15,7,3,0,0,47,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,15,18,24,35,27,6,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10601110705,external,0,0,8,15,20,16,6,0,0,72,10,0,0,3,6,4,6,0,0,24,0,0,0,4,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,4,9,0,8,18,27,22,14,0,0,105,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,10,18,27,25,14,0,0,108,3,0,0,0,0,3,12,8,0,36,0,0,0,0,0,0,0,0,0,3,12,0,11,21,27,32,25,11,0,148,0,0,3,9,9,11,4,0,0,38,0,0,6,11,16,16,0,0,0,49,0,3,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,3,7,14,21,21,25,4,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10601110706,core,3,0,9,16,24,8,5,0,0,71,0,0,0,7,0,0,3,0,0,10,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,4,14,23,23,12,9,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,14,23,23,12,9,0,0,89,12,0,0,0,0,3,18,15,4,53,0,0,0,0,0,0,0,0,0,6,14,5,11,20,28,14,29,15,4,145,0,0,7,11,12,7,0,0,0,36,10,3,8,13,4,8,4,0,0,42,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,4,13,4,12,17,26,17,4,0,0,99,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
10601110707,core,0,0,7,18,3,12,13,0,0,54,0,0,0,3,4,5,5,4,0,19,0,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,4,0,4,7,17,7,20,18,5,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,17,7,20,18,5,0,82,3,0,0,0,0,5,12,3,4,35,0,0,0,0,0,0,3,0,0,3,3,10,9,21,13,26,34,10,0,119,0,0,5,4,7,7,4,0,0,32,0,0,0,5,10,10,5,0,0,27,6,5,0,3,0,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,4,11,12,13,19,7,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10601110708,core,0,3,10,12,13,7,5,0,0,54,0,0,7,0,3,9,6,0,0,23,0,0,0,0,3,4,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,11,12,18,22,18,9,0,0,85,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,12,19,22,18,9,0,0,89,8,4,3,3,0,6,18,10,0,44,0,0,0,0,6,0,3,0,0,8,9,12,14,17,26,23,25,7,0,138,0,0,4,0,0,3,3,0,0,21,5,5,6,6,10,4,0,0,0,40,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,14,10,14,6,6,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10601110709,core,0,5,11,17,8,5,3,0,0,46,3,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,3,3,5,13,17,20,7,3,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,17,21,7,3,0,0,65,0,0,0,0,3,5,20,5,0,38,0,0,0,0,0,0,0,0,0,8,9,7,14,22,23,12,20,5,0,108,0,0,4,4,10,8,0,0,0,28,5,6,6,8,6,3,4,0,0,33,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,3,18,12,16,10,6,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
10601110710,core,0,6,20,14,4,7,0,0,0,56,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,7,21,19,5,7,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,4,5,7,21,19,5,8,0,0,0,68,5,0,0,0,0,3,10,3,0,33,0,0,0,0,0,0,0,0,0,3,12,7,26,20,5,15,15,8,0,106,0,4,17,4,10,3,0,0,0,38,0,0,5,0,3,9,0,0,0,20,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,3,18,13,13,6,3,0,0,59,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
