SA1_CODE_2021,zone_tier,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
10601110701,core,18,15,55,38,24,14,4,0,0,170,3,9,10,11,9,12,22,3,0,68,0,0,4,4,0,0,0,0,0,11,24,23,69,54,29,27,26,4,0,251,8,22,69,59,42,18,0,0,0,214,21,8,28,19,15,7,0,0,0,97,3,0,10,11,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,5,30,31,113,87,61,26,4,0,0,354,4,3,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,10,6,3,0,0,0,0,0,0,0,17,36,31,114,87,61,29,4,0,0,364,18,11,13,16,13,24,34,12,3,134,0,0,7,9,0,3,0,3,0,19,53,41,134,114,75,51,34,18,3,522
10601110702,core,9,11,36,30,26,15,5,0,0,132,4,0,12,7,9,17,24,11,0,73,0,0,3,0,0,0,0,0,0,12,18,13,45,37,31,27,28,13,0,216,3,9,51,28,27,23,4,0,0,151,14,8,20,20,12,16,0,0,0,95,3,0,3,6,0,0,0,0,0,19,0,0,0,3,0,0,0,0,0,3,24,19,75,55,44,39,7,0,0,266,0,0,0,0,6,0,0,0,0,7,5,0,0,0,0,0,0,0,0,12,6,0,5,4,3,0,0,0,0,16,25,22,78,61,47,39,7,0,0,280,9,4,11,13,6,25,39,25,7,144,4,0,5,0,0,5,8,0,0,23,36,28,93,74,52,72,51,21,7,441
10601110703,core,18,29,61,52,38,29,4,0,0,222,4,9,13,5,13,12,13,11,0,85,0,0,0,0,0,0,0,0,0,8,25,33,79,64,50,39,18,10,0,314,11,19,78,64,41,33,0,0,0,258,12,21,33,28,25,19,3,0,0,141,0,8,9,5,6,5,0,0,0,31,0,0,3,0,0,0,0,0,0,3,25,45,121,102,76,57,4,0,0,433,0,7,0,0,0,3,0,0,0,11,3,0,0,0,0,0,0,0,0,3,5,7,0,0,0,7,0,0,0,20,32,47,124,104,76,60,4,0,0,446,16,4,14,5,17,21,31,19,0,134,0,0,3,3,5,0,0,3,0,13,45,52,140,115,98,83,44,23,0,598
10601110704,external,8,15,18,24,35,27,6,0,0,119,5,0,3,0,5,8,14,5,0,42,0,0,0,0,0,0,0,0,0,4,13,15,17,23,35,38,19,6,4,166,4,13,18,31,42,40,12,3,0,163,3,7,10,11,16,11,8,0,0,71,3,0,6,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,4,19,26,32,37,67,56,12,3,0,246,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,19,26,32,37,63,58,12,3,0,253,8,0,3,0,4,15,32,8,5,77,0,0,0,0,4,0,0,0,0,9,24,27,40,43,71,74,45,12,3,334
10601110705,external,3,7,14,21,21,25,4,0,0,95,4,5,0,7,3,6,19,3,0,51,0,0,0,4,5,0,0,0,0,8,11,10,12,31,30,28,26,3,0,154,0,3,11,25,31,25,6,0,0,105,4,0,6,11,15,24,6,0,0,75,0,3,0,3,0,0,0,0,0,17,4,0,4,0,0,0,0,0,0,5,13,9,19,42,50,47,19,5,0,205,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,9,20,42,50,47,19,5,0,207,10,5,0,10,5,13,36,13,0,81,0,0,0,9,5,0,3,0,0,14,23,14,21,57,60,59,53,13,0,305
10601110706,core,16,4,12,16,26,19,4,0,0,103,6,0,0,8,0,5,15,12,3,50,0,0,0,0,0,0,0,4,0,5,15,4,17,25,31,24,23,15,4,156,3,5,11,28,37,19,3,4,0,110,11,4,8,10,7,9,5,0,0,56,0,0,4,0,5,3,4,0,0,13,0,0,3,0,0,0,0,0,0,3,19,7,27,39,47,30,14,4,0,188,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,7,27,38,47,31,14,4,0,189,12,3,0,5,5,9,30,28,5,98,0,0,0,0,0,0,0,3,0,11,30,10,29,46,59,41,52,28,8,300
10601110707,core,5,4,11,12,14,19,7,0,0,72,0,0,0,0,0,7,17,5,0,36,0,0,0,0,0,4,0,0,0,3,5,10,14,13,14,27,25,7,0,120,0,0,10,20,12,19,17,0,0,89,0,3,0,8,6,12,9,4,0,51,6,5,0,4,0,8,3,0,0,19,0,0,0,0,0,0,4,0,0,5,5,7,16,30,18,39,27,6,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,16,30,22,39,27,6,0,158,3,4,3,0,3,8,29,7,4,68,0,0,0,0,0,4,3,0,0,9,7,13,26,33,24,55,60,16,3,239
10601110708,core,0,5,14,10,14,6,6,0,0,67,3,0,0,3,3,5,14,6,5,51,0,0,0,0,3,0,6,0,0,11,7,8,16,13,23,19,26,9,5,125,0,12,12,18,16,12,10,0,0,75,5,9,9,7,18,12,4,0,0,59,0,0,4,4,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,7,14,24,28,35,29,12,0,0,156,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,14,24,28,39,29,12,0,0,159,6,4,5,6,7,12,29,16,5,94,0,0,0,4,3,0,9,0,0,14,16,22,32,34,48,43,45,19,5,267
10601110709,core,3,3,15,12,16,10,6,0,0,68,6,0,7,3,0,4,18,10,5,58,0,0,0,0,3,0,0,0,5,4,13,8,21,12,19,16,22,15,12,139,0,3,18,24,26,8,3,0,0,80,9,7,13,4,4,6,4,0,0,41,0,0,5,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,3,9,8,30,27,35,14,3,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,9,30,27,36,14,3,0,0,137,9,0,7,4,3,12,34,18,12,97,0,0,0,0,4,0,0,3,5,13,21,16,37,34,39,30,39,24,8,249
10601110710,core,7,4,18,13,13,6,3,0,0,67,7,0,0,0,0,8,10,8,0,37,0,0,3,0,0,0,0,0,0,3,9,9,26,10,20,15,11,8,0,103,0,11,30,18,15,7,0,0,0,91,3,3,5,5,3,9,0,0,0,26,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,15,37,23,21,15,0,0,0,122,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,8,13,16,37,23,22,12,0,0,0,134,6,0,4,0,3,10,27,10,6,67,0,0,4,0,0,0,0,0,0,4,21,18,43,31,28,26,29,11,6,208
