SA1_CODE_2021,zone_tier,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
10601110701,core,0,0,8,0,0,12,0,6,0,30,4,4,10,10,0,6,4,6,0,31,4,14,27,10,6,14,16,12,0,113,9,14,16,12,8,5,20,7,0,87,9,10,11,3,7,6,8,9,0,61,0,7,7,3,3,0,10,0,0,26,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,43,77,41,24,33,69,49,3,354
10601110702,core,0,0,3,4,4,5,0,5,0,24,0,0,4,4,0,0,3,0,0,19,16,4,17,3,13,8,10,11,0,75,8,3,9,10,11,6,6,5,0,55,0,6,9,8,5,3,7,4,0,44,7,5,0,4,0,0,11,10,0,39,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,58,38,30,29,42,39,0,266
10601110703,core,0,0,6,0,0,10,0,8,0,25,4,4,3,14,3,0,11,5,0,45,9,10,28,18,14,4,21,13,0,121,9,23,12,17,10,11,18,13,0,102,18,13,13,17,4,6,10,3,0,76,0,6,8,9,8,7,10,3,0,57,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,60,76,69,46,31,69,37,4,433
10601110704,external,0,0,0,5,0,3,0,9,0,19,3,0,4,4,4,0,0,4,0,26,3,6,6,0,0,0,4,4,0,32,4,7,5,5,6,0,10,4,0,37,12,8,10,4,3,6,8,9,0,67,17,7,5,0,15,0,10,5,0,56,6,0,0,0,0,0,3,0,0,12,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,51,37,45,11,24,12,38,32,3,246
10601110705,external,4,0,4,0,0,0,0,5,0,13,0,0,0,0,0,3,0,0,0,9,5,0,3,0,0,0,9,0,0,19,6,5,5,10,3,0,5,5,0,42,9,10,10,0,5,0,6,3,0,50,15,8,15,0,6,6,5,0,0,47,3,3,0,0,5,0,0,0,0,19,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,47,30,32,20,20,7,23,18,5,205
10601110706,core,0,0,5,0,0,5,0,0,0,19,0,0,0,4,0,0,0,0,0,7,0,5,9,4,4,0,5,0,8,27,13,9,8,4,3,0,0,3,0,39,12,6,9,3,6,8,0,5,0,47,4,3,5,3,10,0,0,4,0,30,6,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,34,23,38,21,23,15,7,21,10,188
10601110707,core,0,0,0,5,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,7,5,3,0,0,0,0,0,0,0,16,11,4,4,4,3,0,6,9,0,30,5,3,0,0,0,0,0,0,0,18,20,9,0,0,0,6,0,0,0,39,16,10,0,0,0,0,0,0,0,27,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,59,28,15,13,15,10,4,11,0,160
10601110708,core,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,4,0,14,3,3,3,4,0,0,0,7,0,24,7,7,3,3,4,0,5,3,0,28,8,3,3,4,9,7,8,5,0,35,4,12,5,0,0,0,4,5,0,29,10,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,31,19,17,18,9,17,12,0,156
10601110709,core,0,0,0,0,0,6,0,3,0,9,4,0,3,0,0,0,3,0,0,8,0,3,6,3,0,8,5,3,0,30,6,9,8,0,4,0,0,0,0,27,4,5,6,3,5,0,3,9,0,35,3,4,0,0,4,0,0,3,0,14,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,26,12,13,15,12,16,0,135
10601110710,core,0,0,0,0,0,8,0,0,0,5,0,0,5,0,0,0,3,0,0,15,6,10,9,7,3,3,6,3,0,37,4,3,3,4,0,0,5,3,0,23,4,4,4,3,0,0,0,0,0,21,0,0,4,6,5,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,24,14,8,13,21,13,5,122
