POW_SA2_CODE_2021,zone_tier,M_15_19_EWFT,M_15_19_EWPT,M_15_19_EAFW,M_15_19_EHW_NS,M_15_19_Tot,M_20_24_EWFT,M_20_24_EWPT,M_20_24_EAFW,M_20_24_EHW_NS,M_20_24_Tot,M_25_29_EWFT,M_25_29_EWPT,M_25_29_EAFW,M_25_29_EHW_NS,M_25_29_Tot,M_30_34_EWFT,M_30_34_EWPT,M_30_34_EAFW,M_30_34_EHW_NS,M_30_34_Tot,M_35_39_EWFT,M_35_39_EWPT,M_35_39_EAFW,M_35_39_EHW_NS,M_35_39_Tot,M_40_44_EWFT,M_40_44_EWPT,M_40_44_EAFW,M_40_44_EHW_NS,M_40_44_Tot,M_45_49_EWFT,M_45_49_EWPT,M_45_49_EAFW,M_45_49_EHW_NS,M_45_49_Tot,M_50_54_EWFT,M_50_54_EWPT,M_50_54_EAFW,M_50_54_EHW_NS,M_50_54_Tot,M_55_59_EWFT,M_55_59_EWPT,M_55_59_EAFW,M_55_59_EHW_NS,M_55_59_Tot,M_60_64_EWFT,M_60_64_EWPT,M_60_64_EAFW,M_60_64_EHW_NS,M_60_64_Tot,M_65_69_EWFT,M_65_69_EWPT,M_65_69_EAFW,M_65_69_EHW_NS,M_65_69_Tot,M_70_74_EWFT,M_70_74_EWPT,M_70_74_EAFW,M_70_74_EHW_NS,M_70_74_Tot,M_75ov_EWFT,M_75ov_EWPT,M_75ov_EAFW,M_75ov_EHW_NS,M_75ov_Tot,M_Tot_EWFT,M_Tot_EWPT,M_Tot_EAFW,M_Tot_EHW_NS,M_Tot_Tot,F_15_19_EWFT,F_15_19_EWPT,F_15_19_EAFW,F_15_19_EHW_NS,F_15_19_Tot,F_20_24_EWFT,F_20_24_EWPT,F_20_24_EAFW,F_20_24_EHW_NS,F_20_24_Tot,F_25_29_EWFT,F_25_29_EWPT,F_25_29_EAFW,F_25_29_EHW_NS,F_25_29_Tot,F_30_34_EWFT,F_30_34_EWPT,F_30_34_EAFW,F_30_34_EHW_NS,F_30_34_Tot,F_35_39_EWFT,F_35_39_EWPT,F_35_39_EAFW,F_35_39_EHW_NS,F_35_39_Tot,F_40_44_EWFT,F_40_44_EWPT,F_40_44_EAFW,F_40_44_EHW_NS,F_40_44_Tot,F_45_49_EWFT,F_45_49_EWPT,F_45_49_EAFW,F_45_49_EHW_NS,F_45_49_Tot,F_50_54_EWFT,F_50_54_EWPT,F_50_54_EAFW,F_50_54_EHW_NS,F_50_54_Tot,F_55_59_EWFT,F_55_59_EWPT,F_55_59_EAFW,F_55_59_EHW_NS,F_55_59_Tot,F_60_64_EWFT,F_60_64_EWPT,F_60_64_EAFW,F_60_64_EHW_NS,F_60_64_Tot,F_65_69_EWFT,F_65_69_EWPT,F_65_69_EAFW,F_65_69_EHW_NS,F_65_69_Tot,F_70_74_EWFT,F_70_74_EWPT,F_70_74_EAFW,F_70_74_EHW_NS,F_70_74_Tot,F_75ov_EWFT,F_75ov_EWPT,F_75ov_EAFW,F_75ov_EHW_NS,F_75ov_Tot,F_Tot_EWFT,F_Tot_EWPT,F_Tot_EAFW,F_Tot_EHW_NS,F_Tot_Tot,P_15_19_EWFT,P_15_19_EWPT,P_15_19_EAFW,P_15_19_EHW_NS,P_15_19_Tot,P_20_24_EWFT,P_20_24_EWPT,P_20_24_EAFW,P_20_24_EHW_NS,P_20_24_Tot,P_25_29_EWFT,P_25_29_EWPT,P_25_29_EAFW,P_25_29_EHW_NS,P_25_29_Tot,P_30_34_EWFT,P_30_34_EWPT,P_30_34_EAFW,P_30_34_EHW_NS,P_30_34_Tot,P_35_39_EWFT,P_35_39_EWPT,P_35_39_EAFW,P_35_39_EHW_NS,P_35_39_Tot,P_40_44_EWFT,P_40_44_EWPT,P_40_44_EAFW,P_40_44_EHW_NS,P_40_44_Tot,P_45_49_EWFT,P_45_49_EWPT,P_45_49_EAFW,P_45_49_EHW_NS,P_45_49_Tot,P_50_54_EWFT,P_50_54_EWPT,P_50_54_EAFW,P_50_54_EHW_NS,P_50_54_Tot,P_55_59_EWFT,P_55_59_EWPT,P_55_59_EAFW,P_55_59_EHW_NS,P_55_59_Tot,P_60_64_EWFT,P_60_64_EWPT,P_60_64_EAFW,P_60_64_EHW_NS,P_60_64_Tot,P_65_69_EWFT,P_65_69_EWPT,P_65_69_EAFW,P_65_69_EHW_NS,P_65_69_Tot,P_70_74_EWFT,P_70_74_EWPT,P_70_74_EAFW,P_70_74_EHW_NS,P_70_74_Tot
106011107,core,45,72,51,7,179,98,93,47,10,252,150,85,24,4,264,156,49,27,0,230,156,53,16,13,230,154,53,13,5,228,124,40,14,3,180,161,57,14,5,233,101,46,16,4,164,105,58,13,0,183,50,30,13,4,98,24,24,4,0,56,6,18,9,0,29,1324,689,263,49,2324,39,130,79,3,247,94,110,98,5,313,98,130,64,5,295,96,136,69,8,305,85,145,41,3,273,93,131,32,3,261,82,132,23,5,246,78,110,42,5,235,63,75,31,6,180,39,80,26,0,142,16,36,9,0,64,12,20,0,5,34,8,7,3,0,19,802,1235,528,42,2613,82,201,135,6,424,188,207,146,20,562,250,207,93,8,557,246,182,103,12,537,241,197,61,13,507,245,187,42,9,482,211,173,42,6,428,243,166,58,8,470,170,122,51,7,342,146,144,37,3,326,67,64,21,4,161,28,49,8,4,92
106011108,core,51,167,16,4,237,142,114,11,3,264,214,86,11,11,322,227,45,15,6,289,215,49,20,9,287,187,34,13,0,241,224,55,10,5,301,218,65,17,6,305,201,51,21,3,276,157,63,20,9,245,46,31,11,0,96,14,21,6,4,43,5,14,4,0,25,1898,794,190,52,2941,54,269,27,12,350,172,188,22,4,390,223,201,48,9,484,202,242,39,14,491,211,254,32,10,507,241,181,30,0,456,258,209,24,0,491,254,215,29,3,505,155,178,30,9,375,101,157,22,6,282,33,78,15,5,128,10,25,6,0,46,3,4,0,0,3,1924,2211,318,63,4519,109,431,39,10,588,315,299,26,12,651,437,284,60,16,808,424,292,54,16,786,424,305,54,15,795,430,220,44,11,694,482,263,36,10,796,475,277,51,9,810,357,234,55,13,653,259,219,46,11,530,82,117,28,5,222,27,46,12,0,90
106011109,core,11,13,4,0,30,44,24,0,0,69,60,16,7,0,78,50,12,5,7,73,78,17,8,3,92,81,10,3,0,101,82,18,4,0,110,77,20,6,0,107,69,32,5,0,104,52,20,10,0,81,18,23,0,0,44,11,18,0,3,29,10,16,0,0,18,636,243,51,12,945,5,22,4,0,26,22,25,9,4,49,29,21,4,5,58,25,38,4,0,71,31,55,5,0,94,35,28,0,0,63,40,43,3,4,83,52,23,4,0,79,39,34,10,0,87,19,43,0,0,64,7,26,7,0,37,4,6,0,0,14,0,3,0,0,9,308,369,57,14,745,17,35,9,0,59,61,49,9,4,119,91,32,10,5,141,72,50,10,7,140,106,65,5,3,190,115,39,3,0,171,128,54,10,4,198,123,49,14,0,182,111,68,13,0,193,74,64,11,0,148,21,53,9,3,85,15,27,4,3,50
106011110,external,29,50,0,0,79,41,30,5,0,75,58,15,0,0,77,73,12,3,0,93,73,14,7,0,95,73,8,0,5,87,72,19,0,5,97,75,30,10,6,118,94,42,5,4,142,69,48,6,0,118,43,46,6,4,98,19,16,0,0,37,25,25,3,0,49,740,359,53,24,1172,10,53,5,0,76,29,42,0,0,71,33,29,14,0,73,36,63,9,0,112,43,56,9,3,109,68,64,5,0,131,56,67,5,4,135,73,85,5,4,161,66,75,3,0,145,50,64,12,0,126,14,38,3,0,62,3,15,0,5,24,4,19,0,0,24,474,677,66,22,1242,34,104,7,0,158,75,72,3,0,148,91,39,13,0,151,107,82,9,6,199,115,75,13,4,204,136,71,4,0,219,128,94,8,5,228,145,111,11,7,278,152,117,8,3,287,112,108,17,0,243,57,83,10,0,157,25,35,6,8,61
106011111,core,53,112,18,4,183,106,72,7,3,185,140,45,5,5,190,142,35,6,3,190,126,22,10,3,164,129,32,0,4,161,155,30,0,6,195,146,29,4,0,185,115,35,7,3,166,80,36,4,0,126,28,25,0,0,62,5,12,0,0,25,6,6,0,0,7,1231,501,65,33,1832,14,145,15,0,177,72,109,16,3,205,100,82,18,0,202,77,117,16,3,214,101,139,10,5,261,114,119,6,0,242,113,134,10,4,266,109,119,10,0,237,76,108,11,0,200,33,84,9,0,133,14,38,0,0,57,0,12,0,0,8,0,6,0,0,8,824,1214,134,31,2200,63,261,31,5,363,182,177,26,4,390,238,132,23,6,397,221,148,25,9,398,225,165,22,6,416,244,145,6,8,402,269,166,15,10,461,253,151,17,4,425,192,142,25,8,364,120,120,12,5,254,40,65,3,0,116,9,20,0,0,36
106011112,external,264,203,17,17,498,452,107,22,14,596,469,59,14,13,557,451,61,16,9,535,398,35,15,9,454,352,44,9,5,417,343,33,8,3,393,298,46,15,11,367,280,48,24,11,352,165,55,7,3,232,53,33,4,4,100,21,26,0,0,49,4,17,0,0,25,3549,769,163,98,4589,55,263,29,3,351,194,180,22,8,405,251,146,30,11,440,182,216,44,8,448,153,244,34,8,441,162,187,17,5,370,223,222,14,3,468,198,209,17,5,427,168,178,19,0,362,96,125,18,3,234,28,51,7,0,81,8,15,4,5,29,0,6,0,0,14,1713,2042,254,69,4083,316,466,50,26,857,652,289,45,14,1000,718,208,43,30,994,631,269,61,22,988,547,280,51,19,899,509,234,26,14,790,569,261,27,7,863,497,256,29,13,792,439,227,38,11,717,260,182,26,4,468,84,85,12,9,182,36,39,9,5,84
106011113,external,78,28,0,0,106,269,21,4,7,307,580,50,21,12,661,792,56,34,13,892,892,53,43,12,1002,808,75,31,6,925,779,54,42,20,884,663,49,45,14,770,520,48,36,6,609,285,39,41,10,372,72,31,13,0,118,23,12,0,5,40,11,19,0,0,30,5780,520,312,116,6724,14,26,0,0,45,63,31,6,8,105,129,38,21,0,191,152,38,25,0,219,114,56,22,0,191,105,39,16,9,167,117,36,15,5,174,81,36,14,3,131,60,31,5,0,97,27,21,3,0,57,11,15,0,0,27,6,10,0,0,20,3,3,0,4,9,870,375,138,41,1427,92,45,7,0,148,333,53,7,19,418,711,88,38,11,851,945,93,58,18,1112,1004,113,64,18,1194,912,110,48,16,1087,891,86,53,27,1059,747,81,57,15,905,574,74,46,8,705,312,67,43,10,431,84,43,15,0,145,29,19,8,5,57
106021114,core,47,153,22,8,233,135,104,7,8,253,216,63,13,10,301,211,58,9,12,287,236,42,8,7,297,203,48,10,5,271,202,23,10,3,244,190,41,9,4,244,162,41,8,0,206,127,49,19,0,199,56,33,4,0,90,13,17,0,0,26,10,0,3,0,13,1800,688,128,62,2670,51,253,35,7,339,240,217,25,8,493,301,211,53,4,566,253,263,71,5,591,248,277,51,7,581,294,234,31,0,561,347,250,9,3,609,294,227,29,7,554,210,178,31,3,424,117,162,25,3,305,40,55,11,4,108,8,15,3,0,27,6,0,0,0,13,2400,2338,368,63,5170,100,406,55,12,569,378,322,29,16,746,512,275,65,17,870,462,317,86,15,884,487,320,61,12,875,494,285,36,11,832,551,268,23,11,857,485,269,36,11,798,375,219,35,9,634,244,215,37,3,504,90,93,20,0,202,20,28,3,0,52
106021116,core,25,21,0,0,48,45,9,0,3,61,36,8,0,0,45,30,12,0,0,47,41,7,0,0,46,30,4,0,0,35,31,6,0,0,39,42,7,5,0,55,43,17,0,0,59,25,19,0,0,45,12,15,0,0,21,4,11,0,0,14,0,7,0,0,9,364,144,11,5,525,14,29,11,3,49,24,50,5,0,80,25,19,4,0,54,19,45,7,3,70,26,36,3,0,72,32,51,0,0,90,36,35,3,0,76,43,40,5,0,91,38,32,4,0,74,29,33,3,0,64,4,12,3,0,21,0,5,0,0,11,0,0,0,0,4,284,405,51,14,753,42,51,11,0,106,69,53,8,5,135,64,30,4,0,97,48,55,7,3,112,64,46,3,0,112,60,59,0,0,120,65,40,9,0,119,85,51,9,0,144,79,48,5,0,139,49,56,3,3,109,14,30,3,0,49,3,12,0,0,26
106021614,core,60,254,49,6,363,176,194,18,9,401,174,98,9,6,280,221,62,4,11,300,198,60,14,4,270,152,44,9,6,210,187,42,7,0,241,202,38,14,3,263,152,39,9,4,199,112,48,11,3,173,39,32,4,0,75,5,20,0,0,31,9,5,5,0,17,1697,929,141,60,2832,44,431,76,5,554,194,335,57,6,589,225,268,60,13,560,209,264,56,3,534,184,302,39,3,529,176,209,18,0,406,238,234,28,4,510,206,207,23,0,436,162,212,30,3,401,93,162,22,0,281,21,58,10,4,90,6,17,5,0,27,0,8,0,0,9,1759,2712,417,41,4931,113,681,121,10,919,372,529,71,21,990,398,364,68,14,845,431,336,64,17,835,380,359,48,8,797,329,254,26,7,619,429,273,39,6,745,412,251,43,3,704,313,245,36,3,604,200,209,33,3,452,61,89,18,4,172,10,41,6,0,57
