POW_SA2_CODE_2021,zone_tier,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
106011107,core,19,4,4,12,0,0,0,4,0,4,182,46,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,3,3,9,0,0,0,4,10,14,0,7,7,4,6,11,18,18,33,0,0,0,0,0,0,22,31,50,20,30,57,0,0,0,42,53,97,7,6,12,47,61,111,0,0,0,21,41,64,42,108,150,66,148,215,0,0,0,3,20,22,0,0,5,8,4,16,14,26,39,0,0,3,20,179,200,0,0,0,9,21,36,28,209,240,0,4,4,0,6,6,15,70,80,8,0,11,4,104,108,27,173,205,6,3,5,3,7,10,5,12,15,25,18,46,7,3,5,44,38,81,0,0,0,32,9,44,6,81,87,0,0,0,42,95,142,82,59,142,30,30,58,2324,2613,4941
106011108,core,3,23,35,56,0,4,4,3,0,3,156,74,227,0,0,0,0,4,5,3,0,3,0,0,0,0,0,0,4,5,4,4,0,0,0,3,3,9,11,21,0,0,0,11,48,62,4,10,17,5,14,19,24,73,96,0,0,0,8,3,13,28,56,83,33,62,100,0,0,0,49,126,173,5,9,12,57,131,187,0,0,0,23,59,85,51,59,105,73,117,192,0,0,0,257,312,567,0,0,0,543,323,868,804,636,1438,0,9,10,187,630,817,13,29,43,7,18,25,207,686,891,3,14,12,40,199,236,67,240,304,73,381,452,57,291,345,235,1123,1355,0,3,6,8,16,24,4,5,11,21,31,50,3,0,6,43,56,96,0,0,0,95,27,122,47,144,192,0,0,0,145,177,321,74,55,128,55,45,95,2941,4519,7459
106011109,core,0,3,0,3,4,0,4,0,0,0,59,18,82,0,0,0,0,3,10,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,17,0,0,0,0,4,0,3,3,11,7,6,11,10,11,22,0,0,0,0,5,5,8,9,15,8,12,19,0,0,0,42,41,80,11,6,21,52,51,104,0,0,0,10,13,19,25,22,49,31,38,72,0,0,0,5,0,6,0,0,0,7,0,7,15,9,14,0,0,0,18,88,107,3,9,12,8,19,25,27,115,141,0,3,5,0,0,0,0,16,12,4,5,10,8,33,41,17,50,64,0,0,0,6,3,11,7,4,9,11,10,19,0,0,0,25,12,35,0,0,0,13,0,13,3,16,18,0,3,3,17,20,34,39,22,63,15,14,25,945,745,1688
106011110,external,0,11,8,20,0,0,0,0,0,0,68,23,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13,3,0,6,0,13,10,0,6,7,7,0,7,6,13,24,0,0,0,0,0,0,10,15,23,7,14,25,0,0,0,38,67,109,5,0,9,41,65,114,0,0,0,8,15,19,16,19,34,25,31,57,0,0,0,61,48,109,0,0,0,5,0,7,66,46,114,0,6,3,55,219,274,8,7,12,9,17,24,68,250,311,0,3,3,4,31,33,17,43,64,9,77,86,9,51,60,38,203,246,0,0,0,5,0,3,0,11,12,6,0,4,0,0,0,3,12,20,0,0,0,43,9,52,11,32,48,0,0,0,53,47,97,36,33,66,16,20,37,1172,1242,2412
106011111,core,0,11,13,20,3,0,3,4,0,3,67,27,91,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,12,0,0,0,5,17,16,0,4,3,4,0,0,12,16,25,0,0,0,22,5,26,14,30,43,36,32,67,0,0,0,69,46,119,33,8,38,100,53,159,0,0,0,8,17,30,64,45,105,70,61,136,0,0,0,11,37,51,0,0,0,3,5,7,11,46,56,0,6,4,61,356,414,36,46,85,5,9,18,106,413,515,0,4,4,29,194,221,35,131,162,11,140,158,38,230,270,117,705,821,0,0,3,0,0,0,0,3,3,20,35,56,0,0,0,21,38,61,0,0,0,66,15,74,18,86,106,0,0,0,82,100,182,97,29,127,37,20,54,1832,2200,4034
106011112,external,0,44,28,76,15,3,20,6,0,6,217,74,289,0,0,4,4,9,10,5,3,3,0,0,0,0,0,0,3,3,10,0,3,7,0,0,0,16,18,31,0,0,0,9,33,40,6,16,25,6,14,19,20,65,86,0,0,0,22,9,32,12,64,73,35,70,102,0,0,4,144,161,307,0,3,4,151,165,314,0,0,0,231,165,396,71,125,199,304,293,591,0,0,0,122,142,265,615,50,661,55,35,88,790,220,1014,3,5,6,98,473,566,7,15,23,14,31,46,116,523,645,0,12,18,10,135,146,65,239,299,18,193,215,22,211,239,124,787,911,0,0,0,0,0,0,6,4,8,29,34,59,0,0,0,31,37,69,0,0,0,238,47,286,26,130,156,0,4,4,259,181,444,145,67,214,59,50,107,4589,4083,8664
106011113,external,0,3,0,4,17,4,16,0,0,0,64,17,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,4,6,0,0,0,3,3,4,0,0,0,15,0,19,23,5,27,0,0,0,15,5,19,11,3,17,27,13,40,0,0,0,49,24,71,3,0,11,52,27,80,0,0,0,241,108,348,22,44,61,266,146,414,0,0,0,12,4,16,5,0,9,36,9,43,55,13,72,0,0,0,12,41,49,0,0,4,4,13,11,16,59,68,0,0,3,0,0,0,3,5,3,0,0,0,5,7,13,7,12,19,0,0,0,4,7,8,0,0,0,6,4,9,0,0,0,11,9,22,0,0,0,121,22,141,7,18,22,0,0,0,130,39,163,100,39,141,47,33,79,6724,1427,8152
106021114,core,0,13,9,21,17,5,21,5,0,6,65,33,96,0,0,0,3,11,14,6,4,12,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,9,22,34,0,0,0,33,65,100,13,8,24,24,44,71,69,121,188,0,0,0,9,4,18,50,76,125,66,83,148,0,0,0,119,223,337,14,0,13,126,222,354,0,0,0,116,268,384,43,68,107,155,340,493,0,3,4,323,583,909,4,4,3,119,75,190,449,664,1108,3,13,15,128,385,519,4,6,9,8,29,30,139,429,574,10,27,36,199,866,1062,101,381,481,28,187,220,122,560,684,462,2015,2476,0,0,4,0,3,6,0,9,7,30,32,55,0,0,0,28,42,74,0,0,0,78,16,92,48,173,218,0,0,0,127,184,311,70,59,132,46,39,80,2670,5170,7843
106021116,core,0,6,3,9,0,0,0,0,0,0,9,4,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,5,7,0,0,0,0,0,0,0,0,0,4,9,8,3,10,15,0,0,0,0,0,0,3,3,6,3,7,12,0,0,0,30,43,71,10,4,8,41,42,83,0,0,0,0,7,5,10,11,21,11,17,31,0,0,0,31,44,76,0,0,0,0,6,5,34,49,80,3,8,5,21,97,118,11,29,39,5,10,17,36,139,179,0,0,0,0,0,0,19,63,82,4,60,71,17,127,138,39,256,298,0,0,0,0,0,0,5,3,4,0,0,0,0,0,0,10,6,13,0,0,0,4,3,6,0,28,32,0,0,0,10,31,42,8,15,23,8,10,15,525,753,1278
106021614,core,0,42,28,73,3,9,15,8,4,10,64,49,118,0,0,0,0,0,3,7,18,28,0,0,0,0,0,0,16,9,27,0,0,5,0,4,4,35,32,63,0,0,0,36,110,142,6,19,20,16,20,35,55,146,206,0,0,0,0,3,3,40,90,133,40,93,136,0,0,0,78,131,212,15,8,22,96,135,225,0,0,0,19,48,59,54,57,107,70,101,173,0,0,0,111,106,220,3,5,3,49,19,66,165,128,295,0,4,5,141,533,667,43,52,98,17,50,67,199,636,839,4,15,14,61,365,433,142,502,645,29,135,162,76,392,468,309,1412,1728,0,0,0,0,0,0,3,3,9,21,23,43,0,0,0,23,29,56,0,0,0,144,35,182,46,212,254,0,0,0,190,243,434,77,58,131,49,34,81,2832,4931,7769
