POW_SA2_CODE_2021,zone_tier,M_M2_BusTot_15_24,M_M2_BusTot_25_34,M_M2_BusTot_35_44,M_M2_BusTot_45_54,M_M2_BusTot_55_64,M_M2_BusTot_65_74,M_M2_BusTot_75ov,M_M2_BusTot_Tot,M_M2_Other_M2_15_24,M_M2_Other_M2_25_34,M_M2_Other_M2_35_44,M_M2_Other_M2_45_54,M_M2_Other_M2_55_64,M_M2_Other_M2_65_74,M_M2_Other_M2_75ov,M_M2_Other_M2_Tot,M_M2_Tot_M2_15_24,M_M2_Tot_M2_25_34,M_M2_Tot_M2_35_44,M_M2_Tot_M2_45_54,M_M2_Tot_M2_55_64,M_M2_Tot_M2_65_74,M_M2_Tot_M2_75ov,M_M2_Tot_M2_Tot,M_M3_Trn_and_2_oth_Ms_15_24,M_M3_Trn_and_2_oth_Ms_25_34,M_M3_Trn_and_2_oth_Ms_35_44,M_M3_Trn_and_2_oth_Ms_45_54,M_M3_Trn_and_2_oth_Ms_55_64,M_M3_Trn_and_2_oth_Ms_65_74,M_M3_Trn_and_2_oth_Ms_75ov,M_M3_Trn_and_2_oth_Ms_Tot,M_M3_Bus2othMs_ex_tn_15_24,M_M3_Bus2othMs_ex_tn_25_34,M_M3_Bus2othMs_ex_tn_35_44,M_M3_Bus2othMs_ex_tn_45_54,M_M3_Bus2othMs_ex_tn_55_64,M_M3_Bus2othMs_ex_tn_65_74,M_M3_Bus2othMs_ex_tn_75ov,M_M3_Bus2othMs_ex_tn_Tot,M_M3_Other_M3_15_24,M_M3_Other_M3_25_34,M_M3_Other_M3_35_44,M_M3_Other_M3_45_54,M_M3_Other_M3_55_64,M_M3_Other_M3_65_74,M_M3_Other_M3_75ov,M_M3_Other_M3_Tot,M_M3_Tot_M3_15_24,M_M3_Tot_M3_25_34,M_M3_Tot_M3_35_44,M_M3_Tot_M3_45_54,M_M3_Tot_M3_55_64,M_M3_Tot_M3_65_74,M_M3_Tot_M3_75ov,M_M3_Tot_M3_Tot,M_Wkd_at_home_15_24,M_Wkd_at_home_25_34,M_Wkd_at_home_35_44,M_Wkd_at_home_45_54,M_Wkd_at_home_55_64,M_Wkd_at_home_65_74,M_Wkd_at_home_75ov,M_Wkd_at_home_Tot,M_Did_not_go_to_work_15_24,M_Did_not_go_to_work_25_34,M_Did_not_go_to_work_35_44,M_Did_not_go_to_work_45_54,M_Did_not_go_to_work_55_64,M_Did_not_go_to_work_65_74,M_Did_not_go_to_work_75ov,M_Did_not_go_to_work_Tot,M_MT_NS_15_24,M_MT_NS_25_34,M_MT_NS_35_44,M_MT_NS_45_54,M_MT_NS_55_64,M_MT_NS_65_74,M_MT_NS_75ov,M_MT_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75ov,M_Tot_Tot,F_M1_Train_15_24,F_M1_Train_25_34,F_M1_Train_35_44,F_M1_Train_45_54,F_M1_Train_55_64,F_M1_Train_65_74,F_M1_Train_75ov,F_M1_Train_Tot,F_M1_Bus_15_24,F_M1_Bus_25_34,F_M1_Bus_35_44,F_M1_Bus_45_54,F_M1_Bus_55_64,F_M1_Bus_65_74,F_M1_Bus_75ov,F_M1_Bus_Tot,F_M1_Ferry_15_24,F_M1_Ferry_25_34,F_M1_Ferry_35_44,F_M1_Ferry_45_54,F_M1_Ferry_55_64,F_M1_Ferry_65_74,F_M1_Ferry_75ov,F_M1_Ferry_Tot,F_M1_Tram_or_LR_15_24,F_M1_Tram_or_LR_25_34,F_M1_Tram_or_LR_35_44,F_M1_Tram_or_LR_45_54,F_M1_Tram_or_LR_55_64,F_M1_Tram_or_LR_65_74,F_M1_Tram_or_LR_75ov,F_M1_Tram_or_LR_Tot,F_M1_Taxi_or_RSS_15_24,F_M1_Taxi_or_RSS_25_34,F_M1_Taxi_or_RSS_35_44,F_M1_Taxi_or_RSS_45_54,F_M1_Taxi_or_RSS_55_64,F_M1_Taxi_or_RSS_65_74,F_M1_Taxi_or_RSS_75ov,F_M1_Taxi_or_RSS_Tot,F_M1_CarAsDriv_15_24,F_M1_CarAsDriv_25_34,F_M1_CarAsDriv_35_44,F_M1_CarAsDriv_45_54,F_M1_CarAsDriv_55_64,F_M1_CarAsDriv_65_74,F_M1_CarAsDriv_75ov,F_M1_CarAsDriv_Tot,F_M1_CarAsPas_15_24,F_M1_CarAsPas_25_34,F_M1_CarAsPas_35_44,F_M1_CarAsPas_45_54,F_M1_CarAsPas_55_64,F_M1_CarAsPas_65_74,F_M1_CarAsPas_75ov,F_M1_CarAsPas_Tot,F_M1_Truck_15_24,F_M1_Truck_25_34,F_M1_Truck_35_44,F_M1_Truck_45_54,F_M1_Truck_55_64,F_M1_Truck_65_74,F_M1_Truck_75ov,F_M1_Truck_Tot,F_M1_MBikeScoot_15_24,F_M1_MBikeScoot_25_34,F_M1_MBikeScoot_35_44,F_M1_MBikeScoot_45_54,F_M1_MBikeScoot_55_64,F_M1_MBikeScoot_65_74,F_M1_MBikeScoot_75ov,F_M1_MBikeScoot_Tot,F_M1_Bicycle_15_24,F_M1_Bicycle_25_34,F_M1_Bicycle_35_44,F_M1_Bicycle_45_54,F_M1_Bicycle_55_64,F_M1_Bicycle_65_74,F_M1_Bicycle_75ov,F_M1_Bicycle_Tot,F_M1_Other_15_24,F_M1_Other_25_34,F_M1_Other_35_44,F_M1_Other_45_54,F_M1_Other_55_64,F_M1_Other_65_74,F_M1_Other_75ov,F_M1_Other_Tot,F_M1_WlkOnly_15_24,F_M1_WlkOnly_25_34,F_M1_WlkOnly_35_44,F_M1_WlkOnly_45_54,F_M1_WlkOnly_55_64,F_M1_WlkOnly_65_74,F_M1_WlkOnly_75ov,F_M1_WlkOnly_Tot,F_M1_Tot_M1_15_24,F_M1_Tot_M1_25_34,F_M1_Tot_M1_35_44,F_M1_Tot_M1_45_54,F_M1_Tot_M1_55_64,F_M1_Tot_M1_65_74,F_M1_Tot_M1_75ov,F_M1_Tot_M1_Tot,F_M2_TrnBus_15_24,F_M2_TrnBus_25_34,F_M2_TrnBus_35_44,F_M2_TrnBus_45_54,F_M2_TrnBus_55_64,F_M2_TrnBus_65_74,F_M2_TrnBus_75ov,F_M2_TrnBus_Tot
106011107,core,0,0,0,0,0,0,0,0,6,3,0,5,0,0,0,9,3,3,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,4,8,36,47,63,54,44,8,255,133,95,76,67,49,27,9,453,3,0,4,0,0,0,0,14,428,490,457,412,350,159,29,2324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,298,255,218,146,34,5,1171,52,16,9,10,0,6,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,9,5,3,6,9,10,3,47,295,315,268,237,157,44,11,1330,0,0,0,0,0,0,0,0
106011108,core,0,0,0,0,0,0,0,4,0,4,6,0,0,0,0,12,6,10,7,0,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,3,0,0,0,0,0,0,8,16,40,53,52,48,16,3,229,112,85,58,66,73,35,6,440,7,0,0,7,0,7,0,22,507,611,531,608,526,138,25,2941,0,0,0,0,0,0,0,0,7,0,6,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,401,613,605,627,397,98,4,2736,114,25,9,26,14,3,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,4,0,0,0,11,13,16,8,22,14,8,0,82,536,658,627,683,422,105,4,3044,0,0,0,0,0,0,0,0
106011109,core,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,45,67,65,48,7,267,12,15,21,18,14,8,4,87,0,0,3,0,0,0,0,4,97,151,197,212,188,78,18,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,55,65,54,47,7,0,261,7,3,4,4,5,0,0,21,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,9,4,9,8,0,29,51,60,71,62,57,13,0,320,0,0,0,0,0,0,0,0
106011110,external,0,0,0,0,0,0,0,3,0,0,3,4,3,0,0,6,0,0,3,4,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,45,37,66,46,29,249,24,13,12,11,19,15,0,100,0,0,0,3,0,0,0,8,153,169,185,218,259,136,49,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,99,112,162,124,28,0,612,19,10,4,5,4,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,14,19,10,0,46,101,113,127,182,154,37,5,713,0,0,0,0,0,0,0,0
106011111,core,0,0,0,0,0,0,0,3,9,5,0,0,0,0,0,9,11,4,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,10,37,35,52,28,14,0,173,73,30,20,33,28,10,0,192,0,0,0,0,0,0,0,5,371,382,323,380,291,83,7,1832,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,225,307,295,198,37,0,1254,56,0,4,4,8,5,0,83,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,7,0,0,0,0,10,4,7,3,12,13,5,0,35,250,237,327,307,220,50,0,1401,0,0,0,0,0,0,0,0
106011112,external,0,0,0,0,0,0,0,0,10,8,3,5,0,6,0,31,10,13,3,9,0,6,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,0,0,12,39,66,70,71,60,17,0,325,132,105,63,59,58,20,0,439,6,3,7,0,3,3,0,24,1102,1098,871,755,582,149,25,4589,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,387,519,475,560,391,62,6,2408,114,26,16,19,10,8,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,6,0,4,6,4,0,0,11,26,9,15,17,14,9,0,77,537,557,513,602,418,84,8,2713,0,0,0,0,0,0,0,0
106011113,external,0,0,0,0,0,0,0,0,8,20,12,12,4,0,0,58,8,20,12,12,4,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,40,88,59,72,35,14,311,45,259,391,308,184,28,3,1211,3,6,0,6,8,3,0,24,420,1553,1923,1654,980,159,30,6724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,239,185,166,75,6,0,774,11,11,10,13,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,13,0,0,3,6,6,8,0,17,113,256,202,189,81,14,3,865,0,0,0,0,0,0,0,0
106021114,core,0,0,0,0,0,0,0,0,0,3,6,0,7,0,0,19,5,8,3,4,7,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,3,0,0,0,0,0,0,6,29,127,137,127,83,27,0,529,121,73,64,54,48,23,6,390,5,0,0,0,3,0,0,9,488,589,567,491,407,121,13,2670,6,6,0,8,0,0,0,17,3,0,4,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,406,602,599,648,395,76,4,2738,73,14,14,18,19,6,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,5,0,0,0,0,0,12,13,8,8,10,12,3,0,59,509,639,634,695,433,87,6,3003,0,0,0,0,0,0,0,4
106021116,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,26,33,28,17,5,133,14,8,3,10,8,5,0,49,0,0,0,0,0,0,0,0,105,94,78,94,107,39,9,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,62,79,74,69,7,0,359,15,0,0,6,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,6,4,0,0,14,81,63,92,90,74,12,0,405,0,0,0,0,0,0,0,0
106021614,core,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,14,11,3,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,4,0,0,0,8,21,49,86,88,52,27,5,318,223,66,55,47,39,22,7,457,8,0,9,0,0,0,0,18,766,583,483,500,370,110,17,2832,0,0,0,0,0,0,0,3,16,3,4,8,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,590,523,526,411,48,5,2587,150,29,8,14,15,5,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,5,3,10,0,0,0,17,13,10,11,11,15,4,0,62,666,641,548,571,441,59,5,2932,4,0,0,0,0,0,0,8
