geography,source_file,FINANCIAL_YEAR,HH_LGA_ID,area_name,TRAVEL_MODE,TRIPS_BY_MODE,PCT_OF_TOTAL_TRIPS,MODE_SHARE,DISTANCE_BY_MODE,PCT_OF_TOTAL_DISTANCE,TRIP_AVG_DISTANCE,TRIP_AVG_TIME,HH_SA3_ID
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,1720.0,Cessnock,Other**,2000,1.2,1.2,3000,0.1,1.6,8.2,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,1720.0,Cessnock,Public transport**,2000,1.4,1.4,33000,1.5,13.6,23.5,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,1720.0,Cessnock,Vehicle driver,117000,67.5,68.9,1893000,83.7,16.2,19.9,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,1720.0,Cessnock,Vehicle passenger,31000,17.9,18.3,325000,14.4,10.5,15.2,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,1720.0,Cessnock,Walk linked**,4000,2.1,0.0,2000,0.1,0.5,10.2,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,1720.0,Cessnock,Walk only*,17000,9.9,10.1,5000,0.2,0.3,3.8,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,4650.0,Lake Macquarie,Other*,9000,1.1,1.2,44000,0.6,5.1,18.0,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,4650.0,Lake Macquarie,Public transport,38000,4.8,5.2,731000,10.0,19.4,30.5,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,4650.0,Lake Macquarie,Vehicle driver,434000,55.7,60.7,4890000,67.2,11.3,18.0,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,4650.0,Lake Macquarie,Vehicle passenger,153000,19.6,21.3,1478000,20.3,9.7,16.1,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,4650.0,Lake Macquarie,Walk linked*,63000,8.1,0.0,73000,1.0,1.2,13.6,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,4650.0,Lake Macquarie,Walk only,83000,10.6,11.6,62000,0.9,0.7,13.0,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,5050.0,Maitland,Other*,4000,1.0,1.0,19000,0.5,4.8,20.9,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,5050.0,Maitland,Public transport**,4000,1.0,1.0,35000,0.9,9.5,20.3,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,5050.0,Maitland,Vehicle driver,204000,53.8,54.4,2709000,71.2,13.3,19.0,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,5050.0,Maitland,Vehicle passenger*,123000,32.3,32.7,1019000,26.8,8.3,15.3,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,5050.0,Maitland,Walk linked*,5000,1.2,0.0,3000,0.1,0.7,7.0,
