geography,source_file,FINANCIAL_YEAR,HH_LGA_ID,area_name,TRAVEL_PURPOSE,JOURNEYS_BY_MODE,PCT_OF_TOTAL_JOURNEYS,DISTANCE_BY_PURPOSE,PCT_OF_TOTAL_DISTANCE,JOURNEY_AVG_DISTANCE,JOURNEY_AVG_TIME,HH_SA3_ID
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,1720.0,Cessnock,Commute*,32000,19.1,861000,38.1,26.7,29.9,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,1720.0,Cessnock,Education/childcare*,19000,11.5,135000,6.0,7.0,12.6,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,1720.0,Cessnock,Other**,5000,2.8,14000,0.6,2.9,7.2,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,1720.0,Cessnock,Personal business*,11000,6.3,102000,4.5,9.5,20.8,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,1720.0,Cessnock,Serve passenger*,33000,19.5,342000,15.1,10.4,13.2,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,1720.0,Cessnock,Shopping*,38000,22.3,343000,15.2,9.1,12.1,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,1720.0,Cessnock,Social/recreation,25000,14.9,304000,13.4,12.1,18.3,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,1720.0,Cessnock,Work related business**,6000,3.8,162000,7.2,25.5,26.5,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,4650.0,Lake Macquarie,Commute,96000,13.7,1839000,25.3,19.2,27.7,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,4650.0,Lake Macquarie,Education/childcare,73000,10.5,525000,7.2,7.2,18.2,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,4650.0,Lake Macquarie,Other*,6000,0.8,38000,0.5,6.5,14.5,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,4650.0,Lake Macquarie,Personal business,62000,8.9,527000,7.3,8.5,15.7,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,4650.0,Lake Macquarie,Serve passenger,94000,13.5,724000,10.0,7.7,15.2,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,4650.0,Lake Macquarie,Shopping,123000,17.6,889000,12.3,7.2,14.0,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,4650.0,Lake Macquarie,Social/recreation,203000,28.9,1810000,24.9,8.9,21.0,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,4650.0,Lake Macquarie,Work related business*,43000,6.1,905000,12.5,21.2,29.0,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,5050.0,Maitland,Commute,40000,10.7,786000,20.7,19.6,25.4,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,5050.0,Maitland,Education/childcare,28000,7.6,128000,3.4,4.5,10.6,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,5050.0,Maitland,Other*,4000,1.1,44000,1.1,10.9,17.0,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,5050.0,Maitland,Personal business,23000,6.1,162000,4.3,7.1,13.6,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,5050.0,Maitland,Serve passenger*,88000,23.6,673000,17.7,7.7,13.9,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,5050.0,Maitland,Shopping,66000,17.7,483000,12.7,7.3,13.5,
