SA2_CODE21,AgFF_Tot_P,Min_Tot_P,Mnf_Tot_P,EGWWS_Tot_P,Const_Tot_P,WST_Tot_P,RetT_Tot_P,AcFd_Tot_P,TPW_Tot_P,IMT_Tot_P,FinIns_Tot_P,RHRE_Tot_P,ProSTS_Tot_P,AdSup_Tot_P,PubAS_Tot_P,EdTrn_Tot_P,HC_SA_Tot_P,ArtsR_Tot_P,OthSvs_Tot_P,jobs_sa2,year
106011107,186,107,751,9,391,41,433,1458,228,9,33,57,111,215,39,240,205,81,142,4941,2021
106011108,19,38,137,30,265,59,1092,667,227,21,96,100,187,192,1438,891,1355,96,321,7459,2021
106011109,179,117,283,19,236,14,50,101,82,17,22,19,104,72,14,141,64,35,34,1688,2021
106011110,410,19,65,33,253,28,244,157,89,13,24,25,114,57,114,311,246,20,97,2412,2021
106011111,20,105,347,57,406,55,338,397,91,12,25,67,159,136,56,515,821,61,182,4034,2021
106011112,105,922,359,89,585,160,976,653,289,31,86,102,314,591,1014,645,911,69,444,8664,2021
106011113,305,5339,332,34,369,448,51,75,82,6,27,40,80,414,72,68,19,22,163,8152,2021
106021114,41,94,66,16,269,50,745,491,96,34,188,148,354,493,1108,574,2476,74,311,7843,2021
106021116,69,16,22,3,218,11,68,78,16,7,15,12,83,31,80,179,298,13,42,1278,2021
106021614,14,119,156,18,328,41,1750,868,118,63,206,136,225,173,295,839,1728,56,434,7769,2021
106021615,66,28,68,8,224,33,468,413,54,7,47,6,87,74,32,559,662,14,124,3048,2021
106021616,38,406,778,168,934,346,631,84,281,10,16,58,148,167,74,300,272,36,551,5648,2021
106021617,20,14,32,3,180,13,152,189,28,5,22,5,98,39,47,442,195,26,43,1606,2021
106021618,42,154,515,99,1002,198,312,322,505,17,42,129,371,216,139,359,724,19,240,5760,2021
106031119,27,7,32,0,178,4,73,140,104,0,7,7,53,52,38,92,75,38,72,1058,2021
106031120,42,0,29,4,77,5,146,135,27,0,19,24,38,48,19,80,159,11,60,947,2021
106031121,43,4,193,18,576,61,1188,1358,173,35,111,158,352,258,264,614,1168,146,311,7303,2021
106031122,42,336,2464,264,1261,1044,1063,648,447,39,84,97,269,217,857,633,817,51,449,11626,2021
106031123,79,48,34,7,177,5,20,27,82,3,8,8,41,32,10,86,46,15,43,808,2021
106031124,27,8,37,9,99,22,152,195,27,11,18,36,40,39,29,69,265,37,40,1222,2021
106031125,106,95,540,23,420,28,322,401,321,20,39,58,801,140,2839,420,318,73,161,7307,2021
106041126,83,2513,199,814,541,263,561,457,189,27,52,99,195,300,403,458,693,64,385,8603,2021
106041127,461,955,82,0,82,18,54,75,45,3,0,4,29,129,21,69,88,13,21,2206,2021
106041128,175,12,393,20,171,56,319,225,91,8,37,22,182,72,199,269,421,102,112,2989,2021
106041129,1042,17,35,14,143,21,108,152,71,3,12,13,51,44,78,262,145,72,51,2442,2021
111011206,10,63,330,31,943,33,1241,760,178,19,116,82,247,125,295,600,1504,71,306,7190,2021
111011207,12,5,39,0,105,16,57,134,23,6,16,5,29,25,14,100,86,18,34,742,2021
111011208,18,70,353,69,838,134,1871,916,95,94,513,214,762,589,516,975,3604,147,587,12724,2021
111011209,35,159,1180,60,1215,393,1647,770,414,71,166,98,426,394,209,936,1876,77,745,11372,2021
111011210,0,6,21,6,94,3,452,166,20,0,49,7,64,41,30,166,588,10,73,1827,2021
111011211,0,54,127,24,324,14,50,67,17,5,10,14,51,21,22,48,281,16,56,1260,2021
111011212,4,4,48,8,312,17,341,386,40,11,70,50,125,83,51,294,261,21,98,2310,2021
111011213,4,9,19,8,174,14,81,56,9,7,44,22,134,33,20,185,288,24,54,1230,2021
111011214,16,25,296,21,683,179,966,794,153,29,203,154,412,129,1047,524,1218,251,388,7765,2021
111021215,0,18,79,10,265,21,66,36,51,8,17,10,153,50,31,356,636,8,47,1949,2021
111021216,3,7,17,0,192,13,112,117,24,14,25,17,71,41,11,94,297,22,48,1157,2021
111021217,12,59,313,141,571,44,426,303,351,17,123,43,238,124,71,282,701,27,111,4144,2021
111021218,121,831,356,396,1043,142,702,404,242,51,79,113,202,155,163,678,1249,71,286,7568,2021
111021219,14,127,140,23,474,39,515,465,176,14,115,71,216,140,203,572,1061,46,215,4790,2021
111021220,3,277,115,9,167,13,113,116,40,9,28,22,80,48,16,151,93,14,66,1436,2021
111021221,6,48,62,0,178,9,59,85,20,3,10,7,54,45,64,255,129,8,69,1149,2021
111031222,0,7,131,10,422,197,2217,817,94,61,152,58,309,147,358,675,953,108,349,7269,2021
111031223,405,355,1661,214,1625,607,448,283,709,67,28,180,175,220,166,335,137,20,424,8579,2021
111031224,9,41,425,29,848,230,949,1010,803,124,950,250,1425,305,1478,1210,2533,402,631,14182,2021
111031225,4,45,252,12,436,136,469,716,176,44,111,76,393,285,157,773,7069,86,326,11905,2021
111031226,9,16,102,9,210,79,265,121,122,28,36,16,110,69,26,349,340,27,93,2100,2021
111031227,11,154,1342,56,877,175,742,538,1066,77,59,84,1245,293,257,558,1815,145,414,10357,2021
111031228,10,15,55,10,304,20,359,562,52,22,159,121,403,99,50,338,1148,68,197,4087,2021
111031229,23,329,123,452,834,82,1004,2150,337,484,3264,399,3381,633,2774,1030,2892,181,473,21415,2021
111031230,10,50,904,95,268,151,18,40,1054,0,0,31,80,41,62,11,20,0,50,3070,2021
111031231,59,13,237,71,460,257,539,430,364,55,34,28,133,163,73,3157,748,89,184,7339,2021
111031232,10,12,28,0,116,0,93,159,32,8,19,21,77,33,42,123,353,27,32,1227,2021
111031233,0,6,119,522,292,47,548,479,70,23,128,61,281,172,294,624,1787,62,269,5946,2021
111031234,11,17,369,130,363,13,372,221,87,10,39,36,151,162,502,823,3258,28,141,6892,2021
111031235,20,56,312,39,676,305,438,397,678,66,111,167,643,199,172,655,911,63,394,6680,2021
