Year_Month,Card_type,Contract_region,Trip
Jul-2017,Adult,NISC 1,109623
Jul-2017,Adult Single Bus Trip 1,NISC 1,8231
Jul-2017,Adult Single Bus Trip 2,NISC 1,7706
Jul-2017,Adult Single Bus Trip 3,NISC 1,2067
Jul-2017,Child/Youth,NISC 1,29492
Jul-2017,Child/Youth Single Bus Trip 1,NISC 1,2722
Jul-2017,Child/Youth Single Bus Trip 2,NISC 1,3098
Jul-2017,Child/Youth Single Bus Trip 3,NISC 1,976
Jul-2017,Concession,NISC 1,30151
Jul-2017,Employee,NISC 1,3030
Jul-2017,Free Travel,NISC 1,1368
Jul-2017,School Student,NISC 1,47977
Jul-2017,Senior/Pensioner,NISC 1,133791
Aug-2017,Adult,NISC 1,119724
Aug-2017,Adult Single Bus Trip 1,NISC 1,8030
Aug-2017,Adult Single Bus Trip 2,NISC 1,7267
Aug-2017,Adult Single Bus Trip 3,NISC 1,1826
Aug-2017,Child/Youth,NISC 1,24265
Aug-2017,Child/Youth Single Bus Trip 1,NISC 1,1731
Aug-2017,Child/Youth Single Bus Trip 2,NISC 1,1665
Aug-2017,Child/Youth Single Bus Trip 3,NISC 1,506
Aug-2017,Concession,NISC 1,43817
Aug-2017,Employee,NISC 1,3123
Aug-2017,Free Travel,NISC 1,1498
Aug-2017,School Student,NISC 1,113964
Aug-2017,Senior/Pensioner,NISC 1,140307
Sep-2017,Adult,NISC 1,109085
Sep-2017,Adult Single Bus Trip 1,NISC 1,7332
Sep-2017,Adult Single Bus Trip 2,NISC 1,6533
Sep-2017,Adult Single Bus Trip 3,NISC 1,1698
Sep-2017,Child/Youth,NISC 1,26485
Sep-2017,Child/Youth Single Bus Trip 1,NISC 1,2036
Sep-2017,Child/Youth Single Bus Trip 2,NISC 1,2443
Sep-2017,Child/Youth Single Bus Trip 3,NISC 1,869
Sep-2017,Concession,NISC 1,34513
Sep-2017,Day Pass without SAF,NISC 1,5
Sep-2017,Employee,NISC 1,3046
Sep-2017,Free Travel,NISC 1,1293
Sep-2017,School Student,NISC 1,72123
