Year_Month,Card_type,Line,Trip
Feb-19,Sgl Trip LR Adult,Newcastle Light Rail,115
Feb-19,Employee,Newcastle Light Rail,5
Feb-19,Senior/Pensioner,Newcastle Light Rail,1025
Feb-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,76
Feb-19,Free Travel,Newcastle Light Rail,26
Feb-19,Adult,Newcastle Light Rail,2520
Feb-19,CTP,Newcastle Light Rail,333
Feb-19,Child/Youth,Newcastle Light Rail,692
Feb-19,Concession,Newcastle Light Rail,91
Feb-19,Sgl Trip LR Adult,Newcastle Light Rail,32
Feb-19,Employee,Newcastle Light Rail,24
Feb-19,Senior/Pensioner,Newcastle Light Rail,1124
Feb-19,School Student,Newcastle Light Rail,77
Feb-19,Free Travel,Newcastle Light Rail,26
Feb-19,Adult,Newcastle Light Rail,2045
Feb-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,6
Feb-19,CTP,Newcastle Light Rail,91
Feb-19,Child/Youth,Newcastle Light Rail,104
Feb-19,Concession,Newcastle Light Rail,145
Feb-19,Sgl Trip LR Adult,Newcastle Light Rail,34
Feb-19,Employee,Newcastle Light Rail,16
Feb-19,Senior/Pensioner,Newcastle Light Rail,973
Feb-19,School Student,Newcastle Light Rail,62
Feb-19,Free Travel,Newcastle Light Rail,14
Feb-19,Adult,Newcastle Light Rail,2279
Feb-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,5
Feb-19,CTP,Newcastle Light Rail,129
Feb-19,Child/Youth,Newcastle Light Rail,159
Feb-19,Concession,Newcastle Light Rail,315
Feb-19,Sgl Trip LR Adult,Newcastle Light Rail,48
Feb-19,Employee,Newcastle Light Rail,22
Feb-19,Senior/Pensioner,Newcastle Light Rail,1237
Feb-19,School Student,Newcastle Light Rail,63
Feb-19,Free Travel,Newcastle Light Rail,26
Feb-19,Adult,Newcastle Light Rail,2422
Feb-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,5
Feb-19,CTP,Newcastle Light Rail,167
Feb-19,Child/Youth,Newcastle Light Rail,138
Feb-19,Concession,Newcastle Light Rail,166
Feb-19,Sgl Trip LR Adult,Newcastle Light Rail,54
Feb-19,Employee,Newcastle Light Rail,14
Feb-19,Senior/Pensioner,Newcastle Light Rail,1175
Feb-19,School Student,Newcastle Light Rail,82
Feb-19,Free Travel,Newcastle Light Rail,27
Feb-19,Adult,Newcastle Light Rail,2450
Feb-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,4
Feb-19,CTP,Newcastle Light Rail,132
Feb-19,Child/Youth,Newcastle Light Rail,169
Feb-19,Concession,Newcastle Light Rail,360
Feb-19,Sgl Trip LR Adult,Newcastle Light Rail,41
Feb-19,Employee,Newcastle Light Rail,19
Feb-19,Senior/Pensioner,Newcastle Light Rail,1112
Feb-19,School Student,Newcastle Light Rail,84
Feb-19,Free Travel,Newcastle Light Rail,29
Feb-19,Adult,Newcastle Light Rail,2402
Feb-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,6
Feb-19,CTP,Newcastle Light Rail,159
Feb-19,Child/Youth,Newcastle Light Rail,191
Feb-19,Concession,Newcastle Light Rail,345
Feb-19,Day Pass without SAF,Newcastle Light Rail,1
Feb-19,Sgl Trip LR Adult,Newcastle Light Rail,40
Feb-19,Employee,Newcastle Light Rail,17
Feb-19,Senior/Pensioner,Newcastle Light Rail,1124
Feb-19,School Student,Newcastle Light Rail,59
Feb-19,Free Travel,Newcastle Light Rail,35
Feb-19,Adult,Newcastle Light Rail,2134
Feb-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,10
Feb-19,CTP,Newcastle Light Rail,131
Feb-19,Child/Youth,Newcastle Light Rail,127
Feb-19,Concession,Newcastle Light Rail,166
Feb-19,Sgl Trip LR Adult,Newcastle Light Rail,102
Feb-19,Employee,Newcastle Light Rail,24
Feb-19,Sgl Trip LR Adult,Newcastle Light Rail,107
Feb-19,Employee,Newcastle Light Rail,9
Feb-19,Senior/Pensioner,Newcastle Light Rail,1231
Feb-19,School Student,Newcastle Light Rail,80
Feb-19,Free Travel,Newcastle Light Rail,24
Feb-19,Senior/Pensioner,Newcastle Light Rail,776
Feb-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,78
Feb-19,Free Travel,Newcastle Light Rail,24
Feb-19,Adult,Newcastle Light Rail,2381
Feb-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,10
Feb-19,Adult,Newcastle Light Rail,2343
Feb-19,CTP,Newcastle Light Rail,207
Feb-19,Child/Youth,Newcastle Light Rail,128
Feb-19,CTP,Newcastle Light Rail,346
Feb-19,Concession,Newcastle Light Rail,170
Feb-19,Child/Youth,Newcastle Light Rail,555
Feb-19,Concession,Newcastle Light Rail,121
Feb-19,Sgl Trip LR Adult,Newcastle Light Rail,25
Feb-19,Employee,Newcastle Light Rail,11
Feb-19,Senior/Pensioner,Newcastle Light Rail,1036
Feb-19,School Student,Newcastle Light Rail,82
Feb-19,Free Travel,Newcastle Light Rail,26
Feb-19,Adult,Newcastle Light Rail,2331
Feb-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,12
Feb-19,CTP,Newcastle Light Rail,128
Feb-19,Child/Youth,Newcastle Light Rail,155
Feb-19,Concession,Newcastle Light Rail,329
Feb-19,Sgl Trip LR Adult,Newcastle Light Rail,60
Feb-19,Employee,Newcastle Light Rail,16
Feb-19,Senior/Pensioner,Newcastle Light Rail,1101
Feb-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,13
Feb-19,Free Travel,Newcastle Light Rail,27
Feb-19,School Student,Newcastle Light Rail,52
Feb-19,Adult,Newcastle Light Rail,2794
Feb-19,CTP,Newcastle Light Rail,234
Feb-19,Child/Youth,Newcastle Light Rail,191
Feb-19,Concession,Newcastle Light Rail,197
Feb-19,Senior/Pensioner,Newcastle Light Rail,1
Mar-19,Senior/Pensioner,Newcastle Light Rail,984
Mar-19,School Student,Newcastle Light Rail,68
Mar-19,Free Travel,Newcastle Light Rail,14
Mar-19,Sgl Trip LR Adult,Newcastle Light Rail,18
Mar-19,Adult,Newcastle Light Rail,1988
Mar-19,Sgl Trip LR Child/Youth,Newcastle Light Rail,2
Mar-19,CTP,Newcastle Light Rail,170
Mar-19,Child/Youth,Newcastle Light Rail,126
Mar-19,Concession,Newcastle Light Rail,422
Mar-19,Employee,Newcastle Light Rail,10
