MonthYear,Station,Station_Type,Entry_Exit,Trip
2024-10-01 00:00:00.000,Adamstown  Station,Train,Entry,2618
2024-10-01 00:00:00.000,Adamstown  Station,Train,Exit,2627
2024-10-01 00:00:00.000,Awaba  Station,Train,Entry,524
2024-10-01 00:00:00.000,Awaba  Station,Train,Exit,452
2024-10-01 00:00:00.000,Booragul  Station,Train,Entry,797
2024-10-01 00:00:00.000,Booragul  Station,Train,Exit,769
2024-10-01 00:00:00.000,Broadmeadow  Station,Train,Entry,22379
2024-10-01 00:00:00.000,Broadmeadow  Station,Train,Exit,20873
2024-10-01 00:00:00.000,Cardiff  Station,Train,Entry,23283
2024-10-01 00:00:00.000,Cardiff  Station,Train,Exit,21459
2024-10-01 00:00:00.000,Cockle Creek  Station,Train,Entry,1257
2024-10-01 00:00:00.000,Cockle Creek  Station,Train,Exit,1363
2024-10-01 00:00:00.000,Dora Creek  Station,Train,Entry,972
2024-10-01 00:00:00.000,Dora Creek  Station,Train,Exit,864
2024-10-01 00:00:00.000,East Maitland  Station,Train,Entry,592
2024-10-01 00:00:00.000,East Maitland  Station,Train,Exit,533
2024-10-01 00:00:00.000,Fassifern  Station,Train,Entry,10378
2024-10-01 00:00:00.000,Fassifern  Station,Train,Exit,9451
2024-10-01 00:00:00.000,Hamilton  Station,Train,Entry,17003
2024-10-01 00:00:00.000,Hamilton  Station,Train,Exit,17057
2024-10-01 00:00:00.000,Hexham  Station,Train,Entry,233
2024-10-01 00:00:00.000,Hexham  Station,Train,Exit,229
2024-10-01 00:00:00.000,Kotara  Station,Train,Entry,1442
2024-10-01 00:00:00.000,Kotara  Station,Train,Exit,1735
2024-10-01 00:00:00.000,Maitland  Station,Train,Entry,10064
2024-10-01 00:00:00.000,Maitland  Station,Train,Exit,9342
2024-10-01 00:00:00.000,Metford  Station,Train,Entry,1915
2024-10-01 00:00:00.000,Metford  Station,Train,Exit,1766
2024-10-01 00:00:00.000,Morisset  Station,Train,Entry,17864
2024-10-01 00:00:00.000,Morisset  Station,Train,Exit,16219
2024-10-01 00:00:00.000,Newcastle Interchange Light Rail,Light rail,Entry,30755
2024-10-01 00:00:00.000,Newcastle Interchange Light Rail,Light rail,Exit,25007
2024-10-01 00:00:00.000,Newcastle Interchange Station,Train,Entry,46849
2024-10-01 00:00:00.000,Newcastle Interchange Station,Train,Exit,47147
2024-10-01 00:00:00.000,Sandgate  Station,Train,Entry,454
2024-10-01 00:00:00.000,Sandgate  Station,Train,Exit,337
2024-10-01 00:00:00.000,Tarro  Station,Train,Entry,157
2024-10-01 00:00:00.000,Tarro  Station,Train,Exit,133
2024-10-01 00:00:00.000,Teralba  Station,Train,Entry,1270
2024-10-01 00:00:00.000,Teralba  Station,Train,Exit,1122
2024-10-01 00:00:00.000,Thornton  Station,Train,Entry,6300
2024-10-01 00:00:00.000,Thornton  Station,Train,Exit,5624
2024-10-01 00:00:00.000,Victoria Street  Station,Train,Entry,7269
2024-10-01 00:00:00.000,Victoria Street  Station,Train,Exit,6844
2024-10-01 00:00:00.000,Warabrook  Station,Train,Entry,4831
2024-10-01 00:00:00.000,Warabrook  Station,Train,Exit,4742
2024-10-01 00:00:00.000,Waratah  Station,Train,Entry,4271
2024-10-01 00:00:00.000,Waratah  Station,Train,Exit,3970
2024-10-01 00:00:00.000,Waratah Mills Light Rail,Light rail,Entry,5393
2024-10-01 00:00:00.000,Waratah Mills Light Rail,Light rail,Exit,4903
2024-10-01 00:00:00.000,Wyee  Station,Train,Entry,6401
2024-10-01 00:00:00.000,Wyee  Station,Train,Exit,5621
2024-11-01 00:00:00.000,Adamstown  Station,Train,Entry,2401
2024-11-01 00:00:00.000,Adamstown  Station,Train,Exit,2416
2024-11-01 00:00:00.000,Awaba  Station,Train,Entry,411
2024-11-01 00:00:00.000,Awaba  Station,Train,Exit,341
2024-11-01 00:00:00.000,Booragul  Station,Train,Entry,659
2024-11-01 00:00:00.000,Booragul  Station,Train,Exit,640
2024-11-01 00:00:00.000,Broadmeadow  Station,Train,Entry,21874
2024-11-01 00:00:00.000,Broadmeadow  Station,Train,Exit,19326
2024-11-01 00:00:00.000,Cardiff  Station,Train,Entry,21128
2024-11-01 00:00:00.000,Cardiff  Station,Train,Exit,19061
2024-11-01 00:00:00.000,Cockle Creek  Station,Train,Entry,1212
2024-11-01 00:00:00.000,Cockle Creek  Station,Train,Exit,1188
2024-11-01 00:00:00.000,Dora Creek  Station,Train,Entry,852
2024-11-01 00:00:00.000,Dora Creek  Station,Train,Exit,862
2024-11-01 00:00:00.000,East Maitland  Station,Train,Entry,567
2024-11-01 00:00:00.000,East Maitland  Station,Train,Exit,501
2024-11-01 00:00:00.000,Fassifern  Station,Train,Entry,9106
2024-11-01 00:00:00.000,Fassifern  Station,Train,Exit,8199
2024-11-01 00:00:00.000,Hamilton  Station,Train,Entry,15444
2024-11-01 00:00:00.000,Hamilton  Station,Train,Exit,15084
2024-11-01 00:00:00.000,Hexham  Station,Train,Entry,288
2024-11-01 00:00:00.000,Hexham  Station,Train,Exit,241
2024-11-01 00:00:00.000,Kotara  Station,Train,Entry,1192
2024-11-01 00:00:00.000,Kotara  Station,Train,Exit,1503
2024-11-01 00:00:00.000,Maitland  Station,Train,Entry,8811
2024-11-01 00:00:00.000,Maitland  Station,Train,Exit,8088
2024-11-01 00:00:00.000,Metford  Station,Train,Entry,1562
2024-11-01 00:00:00.000,Metford  Station,Train,Exit,1444
2024-11-01 00:00:00.000,Morisset  Station,Train,Entry,16181
2024-11-01 00:00:00.000,Morisset  Station,Train,Exit,14721
2024-11-01 00:00:00.000,Newcastle Interchange Light Rail,Light rail,Entry,25967
2024-11-01 00:00:00.000,Newcastle Interchange Light Rail,Light rail,Exit,21615
2024-11-01 00:00:00.000,Newcastle Interchange Station,Train,Entry,40969
2024-11-01 00:00:00.000,Newcastle Interchange Station,Train,Exit,41065
2024-11-01 00:00:00.000,Sandgate  Station,Train,Entry,402
2024-11-01 00:00:00.000,Sandgate  Station,Train,Exit,313
2024-11-01 00:00:00.000,Tarro  Station,Train,Entry,117
2024-11-01 00:00:00.000,Tarro  Station,Train,Exit,96
2024-11-01 00:00:00.000,Teralba  Station,Train,Entry,1143
2024-11-01 00:00:00.000,Teralba  Station,Train,Exit,991
2024-11-01 00:00:00.000,Thornton  Station,Train,Entry,5403
2024-11-01 00:00:00.000,Thornton  Station,Train,Exit,4839
2024-11-01 00:00:00.000,Victoria Street  Station,Train,Entry,6362
2024-11-01 00:00:00.000,Victoria Street  Station,Train,Exit,5832
2024-11-01 00:00:00.000,Warabrook  Station,Train,Entry,3304
2024-11-01 00:00:00.000,Warabrook  Station,Train,Exit,3249
2024-11-01 00:00:00.000,Waratah  Station,Train,Entry,4002
2024-11-01 00:00:00.000,Waratah  Station,Train,Exit,3906
2024-11-01 00:00:00.000,Waratah Mills Light Rail,Light rail,Entry,4079
2024-11-01 00:00:00.000,Waratah Mills Light Rail,Light rail,Exit,3612
2024-11-01 00:00:00.000,Wyee  Station,Train,Entry,5992
2024-11-01 00:00:00.000,Wyee  Station,Train,Exit,5045
2024-12-01 00:00:00.000,Adamstown  Station,Train,Entry,2200
2024-12-01 00:00:00.000,Adamstown  Station,Train,Exit,2128
2024-12-01 00:00:00.000,Awaba  Station,Train,Entry,419
2024-12-01 00:00:00.000,Awaba  Station,Train,Exit,339
2024-12-01 00:00:00.000,Booragul  Station,Train,Entry,539
2024-12-01 00:00:00.000,Booragul  Station,Train,Exit,490
2024-12-01 00:00:00.000,Broadmeadow  Station,Train,Entry,19677
2024-12-01 00:00:00.000,Broadmeadow  Station,Train,Exit,17931
2024-12-01 00:00:00.000,Cardiff  Station,Train,Entry,20157
2024-12-01 00:00:00.000,Cardiff  Station,Train,Exit,18893
2024-12-01 00:00:00.000,Cockle Creek  Station,Train,Entry,966
