the_geom,cartodb_id,the_geom_webmercator,record_id,station_key,station_id,traffic_direction_seq,traffic_direction_name,cardinal_direction_seq,cardinal_direction_name,classification_seq,classification_type,count_type,year,period,partial_year,latest_date,traffic_count,data_start_date,data_end_date,data_duration,data_availability,data_reliability,data_quality_indicator,publish,md5,updated_on
,670961,,,56077,05571,0,COUNTER,3,EAST,0,UNCLASSIFIED,TRAFFIC COUNT,2017,WEEKENDS,False,,10480,,,,-1,-1,0,1,6c28805edf623dfbdc4ce7757d7f0ad0,2018-01-09 22:39:10.806238+00
,670963,,,55783,05098,1,PRESCRIBED,1,NORTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,OFF PEAK,False,,10383,,,,71,96,0,1,ad437f4a717c2b43a65e9740be31d310,2018-12-14 05:33:24.64657+00
,670964,,,55712,05002,0,COUNTER,5,SOUTH,0,UNCLASSIFIED,TRAFFIC COUNT,2017,PUBLIC HOLIDAYS,False,,8890,,,,38,100,0,1,065ff3b523bbb06ce899a33ef77647ae,2018-01-09 22:39:10.806238+00
,670965,,,55712,05002,2,PRESCRIBED AND COUNTER,9,NORTHBOUND AND SOUTHBOUND,0,UNCLASSIFIED,TRAFFIC COUNT,2017,OFF PEAK,False,,8705,,,,-1,-1,0,1,2257fb7c4ec1517be0bf9dcd1a7f1870,2018-01-09 22:39:10.806238+00
,670967,,,55781,05097,1,PRESCRIBED,1,NORTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,ALL DAYS,False,,1678,,,,33,92,0,1,3f77fae0df37fc0b28b696b8e65c3cae,2018-12-14 05:33:24.64657+00
,671008,,,55783,05098,1,PRESCRIBED,1,NORTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,WEEKDAYS,False,,20793,,,,-1,-1,0,1,0a873b6c9e5b056645ee1987cd565516,2018-12-14 05:33:24.64657+00
,671017,,,55781,05097,0,COUNTER,5,SOUTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,WEEKENDS,False,,1808,,,,-1,-1,0,1,ad13a1aa2ced36d74dbc99ce44c21bb8,2018-12-14 05:33:24.64657+00
,671023,,,55781,05097,0,COUNTER,5,SOUTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,AM PEAK,False,,580,,,,30,87,0,1,d843b646cdbceaae118d16c68228fc91,2018-12-14 05:33:24.64657+00
,671047,,,55860,05194,0,COUNTER,1,NORTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,PM PEAK,False,,2521,,,,55,97,0,1,a65efbaebcc7c69216af428ce79ee134,2018-12-14 05:33:24.64657+00
,671058,,,55781,05097,0,COUNTER,5,SOUTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,WEEKDAYS,False,,1950,,,,-1,-1,0,1,cb03dfada6dd8d7dfd4de1d5b2f5810b,2018-12-14 05:33:24.64657+00
,671059,,,55876,05206,0,COUNTER,3,EAST,0,UNCLASSIFIED,TRAFFIC COUNT,2017,ALL DAYS,False,,7795,,,,11,100,0,1,74ced1868667ff5aa31d7fe35524e928,2018-01-09 22:39:10.806238+00
,671091,,,55783,05098,1,PRESCRIBED,1,NORTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,PM PEAK,False,,4927,,,,71,95,0,1,6185b089830a9eb3d35dc18d6e777174,2018-12-14 05:33:24.64657+00
,671105,,,55783,05098,1,PRESCRIBED,1,NORTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,WEEKENDS,False,,18019,,,,-1,-1,0,1,7726215f24663383341ac91a4f592e1b,2018-12-14 05:33:24.64657+00
,671115,,,55781,05097,1,PRESCRIBED,1,NORTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,OFF PEAK,False,,730,,,,31,92,0,1,dfe0268c0deaa280efed7bada79965d5,2018-12-14 05:33:24.64657+00
,671124,,,55712,05002,0,COUNTER,5,SOUTH,0,UNCLASSIFIED,TRAFFIC COUNT,2017,WEEKENDS,False,,9003,,,,-1,-1,0,1,a42621afc65b37430020de8286c5a166,2018-01-09 22:39:10.806238+00
,671130,,,55783,05098,0,COUNTER,5,SOUTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,WEEKENDS,False,,16907,,,,-1,-1,0,1,fc8028c7ec03d52388efcb00a0b95362,2018-12-14 05:33:24.64657+00
,671149,,,55781,05097,1,PRESCRIBED,1,NORTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,AM PEAK,False,,427,,,,31,80,0,1,7770ffffcf8d99e8ace9472001760c0a,2018-12-14 05:33:24.64657+00
,671150,,,55783,05098,0,COUNTER,5,SOUTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,WEEKDAYS,False,,17634,,,,-1,-1,0,1,480b625a315f95655c0cc67013716426,2018-12-14 05:33:24.64657+00
,671151,,,55860,05194,1,PRESCRIBED,5,SOUTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,WEEKDAYS,False,,8923,,,,-1,-1,0,1,c9f796579fd67e093816db652b67883c,2018-12-14 05:33:24.64657+00
,671174,,,55781,05097,1,PRESCRIBED,1,NORTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,PM PEAK,False,,619,,,,31,84,0,1,21bd49d9ccb806f39b676ef096742a6a,2018-12-14 05:33:24.64657+00
,671178,,,55860,05194,1,PRESCRIBED,5,SOUTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,PM PEAK,False,,2665,,,,56,97,0,1,b9b2df9cf18d94c7afc9ba6a22af9f77,2018-12-14 05:33:24.64657+00
,671197,,,55860,05194,0,COUNTER,1,NORTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,OFF PEAK,False,,4157,,,,55,97,0,1,e9fd64089c4eaf697942235201ed292f,2018-12-14 05:33:24.64657+00
,671226,,,55860,05194,1,PRESCRIBED,5,SOUTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,AM PEAK,False,,2272,,,,55,94,0,1,2f05808fe709bab47326fe22997d6ee3,2018-12-14 05:33:24.64657+00
,671228,,,55876,05206,1,PRESCRIBED,7,WEST,0,UNCLASSIFIED,TRAFFIC COUNT,2017,WEEKDAYS,False,,7663,,,,-1,-1,0,1,02211aaf0647d75bce9523ea581c94a8,2018-01-09 22:39:10.806238+00
,671250,,,55781,05097,2,PRESCRIBED AND COUNTER,9,BOTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,WEEKDAYS,False,,3726,,,,-1,-1,0,1,4b25eec22e2a2d804a3494256ef3dec7,2018-12-14 05:33:24.64657+00
,671253,,,55781,05097,1,PRESCRIBED,1,NORTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,WEEKDAYS,False,,1776,,,,-1,-1,0,1,4f8e320cd1b38beb6bff40e080729cdd,2018-12-14 05:33:24.64657+00
,671257,,,55712,05002,2,PRESCRIBED AND COUNTER,9,NORTHBOUND AND SOUTHBOUND,0,UNCLASSIFIED,TRAFFIC COUNT,2017,PUBLIC HOLIDAYS,False,,16917,,,,-1,-1,0,1,5b1457da7dda78334abbac614b56e47a,2018-01-09 22:39:10.806238+00
,671296,,,55883,05210,1,PRESCRIBED,1,NORTH,0,UNCLASSIFIED,TRAFFIC COUNT,2020,AM PEAK,False,,1550,,,,40,90,0,1,f4d4c47ef5f86536c0e9b848541832b7,2020-09-03 01:24:31.45111+00
,671304,,,55783,05098,1,PRESCRIBED,1,NORTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,AM PEAK,False,,5483,,,,70,93,0,1,deed872ace1dba44c762f5a269f6e744,2018-12-14 05:33:24.64657+00
,671326,,,55712,05002,0,COUNTER,5,SOUTH,0,UNCLASSIFIED,TRAFFIC COUNT,2017,WEEKDAYS,False,,10258,,,,-1,-1,0,1,cb00adbb6f54b10737134d9b0ede4a3d,2018-01-09 22:39:10.806238+00
,671328,,,55781,05097,0,COUNTER,5,SOUTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,ALL DAYS,False,,1878,,,,33,90,0,1,1c58d4187bccbf005c6673fdce46db44,2018-12-14 05:33:24.64657+00
,671336,,,55860,05194,0,COUNTER,1,NORTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,WEEKDAYS,False,,8949,,,,-1,-1,0,1,95376f6758b5db84fc28894552b05cec,2018-12-14 05:33:24.64657+00
,671345,,,55781,05097,2,PRESCRIBED AND COUNTER,9,BOTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,AM PEAK,False,,1007,,,,-1,-1,0,1,3abc47d466ced6e9132bc01b02ed1a91,2018-12-14 05:33:24.64657+00
,671360,,,55860,05194,2,PRESCRIBED AND COUNTER,9,BOTH,0,UNCLASSIFIED,TRAFFIC COUNT,2018,OFF PEAK,False,,8143,,,,-1,-1,0,1,72be33e0c696e5f50a50463009aca594,2018-12-14 05:33:24.64657+00
,683032,,,55883,05210,0,COUNTER,5,SOUTH,0,UNCLASSIFIED,TRAFFIC COUNT,2008,ALL DAYS,False,,4530,,,,5,93,0,1,641402b148fb0dcefc97d998cadd292f,
