the_geom,cartodb_id,the_geom_webmercator,record_id,station_key,station_id,name,road_name,full_name,common_road_name,secondary_name,road_name_base,road_name_type,intersection,distance_to_intersection,road_number,link_number,mab_way_type,mab_way_number,mab_identifier,road_functional_hierarchy,road_on_type,lane_count,road_classification_type,road_classification_admin,rms_region,lga,suburb,post_code,device_type,heavy_vehicle_checking_station,permanent_station,vehicle_classifier,lambert_easting,lambert_northing,wgs84_latitude,wgs84_longitude,direction_seq,quality_rating,publish,md5,updated_on
,5557,,,15828002,7211,Lily Lane,Lily Lane,"Lily Lane, South of Fern Circuit",Lily Lane,South of Fern Circuit,Lily,Lane,Fern Circuit,40,-10,-10,,,,Local Road,OnGround,OneLane,Lane,Local,Hunter,Newcastle,Adamstown,2289.0,Tirtl,False,1,1,9740191,4524353.5,-32.940571,151.71312,7,5,True,be6e76534a9cbe57941a6971d910a6eb,2018-06-12 02:48:41.978017+00
,5561,,,56098,05622,Hanbury Street,Hanbury Street,"Hanbury Street, East of Waratah Street",Hanbury Street,East of Waratah Street,Hanbury,Street,Waratah Street,20,326,130,B,63.0,B63,Arterial Road,OnGround,TwoOrMoreLanes,Street,State,Hunter,Newcastle,Mayfield,2304.0,Trafficorder Tube Axlepair Counter,False,0,0,9742526,4528977.0,-32.897934,151.73584,9,5,True,b5b01373fb1bc06495989748e45e918b,2018-06-12 02:48:41.978017+00
,5571,,,56202,05957,Grandview Road,Grandview Road,"Grandview Road, West of Lookout Road",Grandview Road,West of Lookout Road,Grandview,Road,Lookout Road,130,-10,-10,,,,Distributor Road,OnGround,TwoOrMoreLanes,Road,Local,Hunter,Newcastle,New Lambton Heights,2305.0,Trafficorder Tube Axlepair Counter,False,0,0,9737935,4525282.5,-32.933109,151.688553,10,5,True,33c56956f8a9a90e6400e7be7eeb53c2,2018-06-12 02:48:41.978017+00
,5596,,,15370002,7213,Griffiths Road,Griffiths Road,"Griffiths Road, West of Turton Road","Griffiths.griffiths Rd, Lambton East",West of Turton Road,Griffiths,Road,Turton Road,20,82,70,A,15.0,A15,Arterial Road,OnGround,TwoOrMoreLanes,Road,State,Hunter,Newcastle,Lambton,2299.0,Tirtl,False,1,1,9741467,4527138.5,-32.914944,151.725403,3,5,True,53273f55e15b4ba3c06801d34d2e4f88,2018-06-12 02:48:41.978017+00
,5607,,,56173,05865,Hillsborough Road,Hillsborough Road,"Hillsborough Road, East of Macquarie Road",Hillsborough Road,East of Macquarie Road,Hillsborough,Road,Macquarie Road,120,674,150,B,57.0,B57,Sub-Arterial Road,OnGround,TwoOrMoreLanes,Road,State,Hunter,Lake Macquarie,Warners Bay,2282.0,Trafficorder Tube Axlepair Counter,False,0,0,9734521,4521740.0,-32.966431,151.653732,10,5,True,b7fd64f4f8297f9d6efd2ab7999ae13a,2018-06-12 02:48:41.978017+00
,5627,,,56111,05647,Richardson Road,Richardson Road,"Richardson Road, East of Adelaide Street",Richardson Road,East of Adelaide Street,Richardson,Road,Adelaide Street,50,104,117,,,,Arterial Road,OnGround,TwoOrMoreLanes,Road,State,Hunter,Port Stephens,Raymond Terrace,2324.0,Trafficorder Tube Axlepair Counter,False,0,0,9745402,4544776.0,-32.754311,151.758881,10,5,True,880f3fc584441e1c4143d6ab65f7cc9f,2018-06-12 02:48:41.978017+00
,5643,,,15934005,T0293,Pacific Highway,Pacific Highway Hvcs,"Pacific Highway, West of Twelve Mile Creek Road","Pacific.pacific Highway, Raymond Terrace",West of Twelve Mile Creek Road,Pacific,Highway,Twelve Mile Creek Road,720,10,1810,A,1.0,A1,Primary Road,OnGround,TwoOrMoreLanes,Highway,State,Hunter,Port Stephens,Twelve Mile Creek,2324.0,Tirtl,True,1,1,9754492,4555185.5,-32.656689,151.850708,5,5,True,99240e228996518b11c2c23957ba9490,2018-06-12 02:48:41.978017+00
,5645,,,55761,05056,William Bailey Street,William Bailey Street,"William Bailey Street, North of Adelaide Street",William Bailey Street,North of Adelaide Street,William Bailey,Street,Adelaide Street,110,104,130,,,,Arterial Road,OnGround,TwoOrMoreLanes,Street,State,Hunter,Port Stephens,Raymond Terrace,2324.0,Trafficorder Tube Axlepair Counter,False,0,0,9744539,4544299.0,-32.758965,151.749908,10,5,True,ee84cd52fcf7df80d6ff3a786c0ba569,2018-06-12 02:48:41.978017+00
,5648,,,55740,05030,New England Highway,New England Highway,"New England Highway, West of Oswald Road",New England Highway,West of Oswald Road,New England,Highway,Oswald Road,490,9,320,A,43.0,A43,Primary Road,OnGround,TwoOrMoreLanes,Highway,State,Hunter,Maitland,Harpers Hill,2321.0,Trafficorder Tube Axlepair Counter,False,0,1,9713871,4551388.0,-32.707191,151.419418,9,5,True,83089debbeecfa5fa04664d17d3c9d87,2018-06-12 02:48:41.978017+00
,5676,,,55763,05057,New England Highway,New England Highway,"New England Highway, North of Enterprise Drive",New England Highway,North of Enterprise Drive,New England,Highway,Enterprise Drive,460,9,113,A,43.0,A43,Primary Road,OnGround,TwoOrMoreLanes,Highway,State,Hunter,Newcastle,Beresfield,2322.0,Trafficorder Tube Axlepair Counter,False,0,1,9734048,4540067.0,-32.801376,151.639969,9,5,True,893b957ce20bc707eff90b312eca88a5,2018-06-12 02:48:41.978017+00
,5689,,,56057,05543,Vincent Street,Vincent Street,"Vincent Street, North of Edward Street",Vincent Street,North of Edward Street,Vincent,Street,Edward Street,60,220,160,B,82.0,B82,Arterial Road,OnGround,TwoOrMoreLanes,Street,State,Hunter,Cessnock,Cessnock,2325.0,Trafficorder Tube Axlepair Counter,False,0,0,9707418,4537711.5,-32.832958,151.356674,9,5,True,613239f4bdf9c77a965efe357000acc0,2018-06-12 02:48:41.978017+00
,5691,,,55922,05279,Maitland Road,Maitland Road,"Maitland Road, North of Daniel Street",Maitland Road,North of Daniel Street,Maitland,Road,Daniel Street,30,464,70,,,,Primary Road,OnGround,TwoOrMoreLanes,Road,Regional,Hunter,Newcastle,Islington,2296.0,Trafficorder Tube Axlepair Counter,False,0,0,9743667,4526882.5,-32.916351,151.749054,9,5,True,0870e1cbfac29a524aa63129ff526c6f,2018-06-12 02:48:41.978017+00
