route_id,mode,route_short_name,route_long_name,vehicle_type_id,contract_area,franchise_operator,valid_from,valid_to,source_feed
nisc001:3000_10X,other,10X,Charlestown to Newcastle Interchange (Express Service),BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_11,other,11,Charlestown to Newcastle via Jesmond,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_12,other,12,Maryland to Merewether Beach via Wallsend and Newcastle Interchange,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_13,other,13,Glendale to Newcastle via Cardiff & John Hunter Hospital,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_14,other,14,"Swansea Heads to Newcastle via Belmont, Charlestown & Kotara",BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_21,other,21,Broadmeadow to Newcastle via Merewether,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_22,other,22,Charlestown to Newcastle West via Merewether,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_23,other,23,Wallsend to Newcastle East via Lambton & Newcastle Interchange,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_24,other,24,Wallsend to Marketown via Mayfield,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_25,other,25,Charlestown to Broadmeadow via Kotara,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_26,other,26,Wallsend to Newcastle West via Kotara & Newcastle Interchange,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_27,other,27,Wallsend to Broadmeadow via Newcastle University,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_28,other,28,Mount Hutton to Newcastle West via Broadmeadow & Newcastle Interchange,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_29,other,29,Swansea North to Glendale via Belmont & Cardiff,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_41,other,41,Belmont to Charlestown via Croudace Bay & Mount Hutton,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_42,other,42,Wallsend to John Hunter Hospital,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_43,other,43,Belmont to Charlestown via Floraville & Mount Hutton,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_44,other,44,"Warners Bay to Kotara via Glendale, Cardiff & Macquarie Hills",BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_46,other,46,Glendale to Wallsend,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_47,other,47,Jesmond to Marketown via Warabrook,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_48,other,48,Belmont to Warners Bay via Redhead & Charlestown,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_500,other,500,Belmont North to Belmont,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_501,other,501,Jewells to Belmont,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_502,other,502,Jewells to Belmont High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_504,other,504,Belmont Depot to Jewells,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_507,other,507,Jewells to Belmont,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_508,other,508,Kahibah - Belmont Christian College,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_522,other,522,"Newcastle West to Belmont via Broadmeadow, Kahibah & Charlestown",BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_526,other,526,Jesmond to Broadmeadow via Waratah & Georgetown,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_549,other,549,"City West, Stewart Ave to Swansea North",BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_550,other,550,Swansea Heads to Newcastle West via Adamstown & Newcastle Interchange,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_551,other,551,Broadmeadow to Belmont North via Adamstown & Jewels,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_55N,other,55N,Stockton to Newcastle (Night Service),BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_563,other,563,Broadmeadow to Warners Bay via Glendale & Speers Point,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_570,other,570,Swansea Heads to Newcastle West via Adamstown & Newcastle Interchange,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_700,other,700,Warabrook to Mayfield,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_701,other,701,Adamstown Heights to Adamstown Primary,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_702,other,702,Birmingham Gardens to Shortland Primary,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_704,other,704,Charlestown to New Lambton South Primary,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_705,other,705,Mayfield East to Lambton High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_706,other,706,Warabrook to Merewether High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_707,other,707,Whitebridge to St Josephs Primary,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_708,other,708,Redhead to St Josephs Primary,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_710,other,710,Newcastle Interchange to Callaghan College,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_711,other,711,Adamstown Hts to Belair Primary,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_712,other,712,Glebe to Holy Family School,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_714,other,714,Merewether High to Hamilton,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_715,other,715,Cooks Hill to Merewether High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_718,other,718,Carrington to Hunter School of Performing Arts,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_719,other,719,Newcastle Station to Newcastle High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_720,other,720,Belmont Depot to Whitebridge High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_721,other,721,Belmont Depot to Hunter Sports High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_723,other,723,St Pauls to Redhead Bluff,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_724,other,724,Highfields to Whitebridge High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_725,other,725,Highfields to Whitebridge High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_726,other,726,St Francis Xavier to Hunter Sports High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_727,other,727,Speers Point to Hunter Sports High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_728,other,728,Redhead Bluff to Whitebridge High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_729,other,729,Jesmond to Trinity Catholic College,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_730,other,730,Jesmond to Kotara High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_731,other,731,Merewether Heights to St Phillips College,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_732,other,732,St Phillips College to Newcastle station,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_733,other,733,Waratah Callahan College - Kotara High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_734,other,734,Merewether High to Cardiff High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_735,other,735,Cooks Hill to Hunter Christian School,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_736,other,736,Cardiff to Cardiff South Primary,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_737,other,737,St Phillips College to Broadmeadow Station,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_739,other,739,Warabrook to Wallsend Campus Callaghan College,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_741,other,741,Mount Hutton to St Marys Gateshead,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_743,other,743,Hunter School Of Performing Arts to The Junction,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_744,other,744,Windale Shops to Gateshead Primary,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_747,other,747,Pelican to Swansea High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_748,other,748,Swansea Heads to St Patricks,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_749,other,749,Marks Point to Swansea High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_751,other,751,Charlestown to St Josephs Primary,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_753,other,753,Warabrook to Corpus Christi School,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_755,other,755,Waratah West to San Clemente,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_756,other,756,Hillsborough to Whitebridge High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_757,other,757,Charlestown to Hunter Sports High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_758,other,758,Charlestown to Warners Bay High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_759,other,759,Hunter Sports High to Charlestown,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_760,other,760,Elermore Vale to New Lambton Primary,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_761,other,761,Lambton High School to Grinsell St near Carnley Av,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_763,other,763,Charlestown to Glendale High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_765,other,765,New Lambton Heights to Lambton High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_767,other,767,Blacksmiths to St Marys School Gateshead,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_768,other,768,New Lambton Heights to Wallsend South Primary,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_770,other,770,Wallsend to Lambton High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_771,other,771,Dudley to Hunter Sports High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_772,other,772,Caves Beach to St Marys Gateshead,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_773,other,773,Charlestown to Trinity Catholic College,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_774,other,774,Shortland to Callaghan College Waratah Campus,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_775,other,775,Swansea Heads to St Marys Gateshead,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_776,other,776,New Lambton Primary to Kotara High,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_778,other,778,St James Primary to Kotara South,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
nisc001:3000_779,other,779,St Marys School to Blacksmiths,BUS_RIGID_12M,NISC 1,Keolis Downer Hunter (Newcastle Transport),2017-07-01,,nisc001
