stop_id,stop_name,stop_lat,stop_lon,modes_served,n_routes,location_type,parent_station,platform_geom,shelter,seating,real_time_info,step_free,platform_height_mm,interchange_group_id,attribute_source
nisc001:228013,Pacific Hwy at Docker St,-33.062499,151.651677,other,11,,,,-1,-1,-1,-1,0,,assumed
nisc001:228014,Pacific Hwy before Docker St,-33.060084,151.651843,other,11,,,,-1,-1,-1,-1,0,,assumed
nisc001:228015,Pacific Hwy at Marks Point Rd,-33.057212,151.653227,other,11,,,,-1,-1,-1,-1,0,,assumed
nisc001:228016,Pacific Hwy before Emily St,-33.05555,151.654402,other,10,,,,-1,-1,-1,-1,0,,assumed
nisc001:228017,Pacific St at Arthur St,-33.051919,151.6546,other,10,,,,-1,-1,-1,-1,0,,assumed
nisc001:228018,Pacific Hwy opp Beach St,-33.04846,151.655065,other,12,,,,-1,-1,-1,-1,0,,assumed
nisc001:228019,Pacific Hwy at Bellevue Rd,-33.044755,151.65593,other,11,,,,-1,-1,-1,-1,0,,assumed
nisc001:228020,Pacific Hwy opp Alick St,-33.042007,151.657056,other,11,,,,-1,-1,-1,-1,0,,assumed
nisc001:228022,Pacific Hwy before Macquarie St,-33.036392,151.660176,other,18,,,,-1,-1,-1,-1,0,,assumed
nisc001:228023,Pacific Hwy after Maude St,-33.032565,151.660733,other,16,,,,-1,-1,-1,-1,0,,assumed
nisc001:228024,Pacific Hwy opp Stanley St,-33.028727,151.661153,other,23,,,,-1,-1,-1,-1,0,,assumed
nisc001:228025,Pacific Hwy opp Cobbin Pde,-33.025548,151.662058,other,24,,,,-1,-1,-1,-1,0,,assumed
nisc001:228026,Pacific Hwy at York Cres,-33.023685,151.663492,other,20,,,,-1,-1,-1,-1,0,,assumed
nisc001:228027,Pacific Hwy opp Old Belmont Rd,-33.020315,151.667745,other,6,,,,-1,-1,-1,-1,0,,assumed
nisc001:228028,Pacific Hwy at Avonlea St,-33.016025,151.669188,other,3,,,,-1,-1,-1,-1,0,,assumed
nisc001:228029,Pacific Hwy after Avonlea St,-33.01172,151.670447,other,3,,,,-1,-1,-1,-1,0,,assumed
