from_stop,to_stop,from_name,to_name,from_modes,to_modes,straight_distance_m,walk_distance_m,walk_time_s,is_sheltered,requires_road_crossing,signalised_crossing_delay_s,total_transfer_time_s,in_interchange_group,source
nisc001:228013,nisc001:228049,Pacific Hwy at Docker St,Pacific Hwy at Docker St,other,other,72.1,90.1,72.1,0,1,22,94.1,0,modelled
nisc001:228014,nisc001:228048,Pacific Hwy before Docker St,Pacific Hwy opp Docker St,other,other,41.0,51.3,41.0,0,0,0,41.0,0,modelled
nisc001:228015,nisc001:228047,Pacific Hwy at Marks Point Rd,Pacific Hwy opp Marks Point Rd,other,other,71.4,89.2,71.4,0,1,22,93.4,0,modelled
nisc001:228015,nisc001:2280294,Pacific Hwy at Marks Point Rd,Marks Point Rd after Pacific Hwy,other,other,47.6,59.5,47.6,0,0,0,47.6,0,modelled
nisc001:228015,nisc001:2280297,Pacific Hwy at Marks Point Rd,Marks Point Rd before Pacific Hwy,other,other,54.7,68.4,54.7,0,0,0,54.7,0,modelled
nisc001:228016,nisc001:228046,Pacific Hwy before Emily St,Pacific Hwy after Thompson St,other,other,112.7,140.9,112.7,0,1,22,134.7,0,modelled
nisc001:228017,nisc001:228045,Pacific St at Arthur St,Pacific Hwy at Clara St,other,other,108.8,136.0,108.8,0,1,22,130.8,0,modelled
nisc001:228018,nisc001:228043,Pacific Hwy opp Beach St,Pacific Hwy at Robert St,other,other,142.9,178.7,142.9,0,1,22,164.9,0,modelled
nisc001:228018,nisc001:228044,Pacific Hwy opp Beach St,Pacific Hwy at Beach St,other,other,36.4,45.4,36.4,0,0,0,36.4,0,modelled
nisc001:228020,nisc001:2280281,Pacific Hwy opp Alick St,Alick St opp Spinnakers Leisure Park,other,other,64.7,80.8,64.7,0,1,22,86.7,0,modelled
nisc001:228022,nisc001:228040,Pacific Hwy before Macquarie St,Pacific Hwy opp Macquarie St,other,other,28.5,35.7,28.5,0,0,0,28.5,0,modelled
nisc001:228022,nisc001:2280276,Pacific Hwy before Macquarie St,"Belmont Citi Centre, Macquarie St",other,other,65.5,81.9,65.5,0,1,22,87.5,0,modelled
nisc001:228023,nisc001:2280259,Pacific Hwy after Maude St,Pacific Hwy at Merleview St,other,other,91.3,114.1,91.3,0,1,22,113.3,0,modelled
nisc001:228024,nisc001:228039,Pacific Hwy opp Stanley St,Pacific Hwy after Livingstone St,other,other,136.5,170.6,136.5,0,1,22,158.5,0,modelled
nisc001:228024,nisc001:2280244,Pacific Hwy opp Stanley St,Evans St at Pacific Hwy,other,other,59.7,74.7,59.7,0,0,0,59.7,0,modelled
nisc001:228024,nisc001:2280246,Pacific Hwy opp Stanley St,"Belmont High School, Henry St",other,other,122.0,152.6,122.0,0,1,22,144.0,0,modelled
nisc001:228026,nisc001:228037,Pacific Hwy at York Cres,Pacific Hwy at Patrick St,other,other,101.1,126.4,101.1,0,1,22,123.1,0,modelled
nisc001:228027,nisc001:228036,Pacific Hwy opp Old Belmont Rd,Pacific Hwy at Old Belmont Rd,other,other,48.1,60.1,48.1,0,0,0,48.1,0,modelled
nisc001:228027,nisc001:228071,Pacific Hwy opp Old Belmont Rd,Wommara Ave after Pacific Hwy,other,other,149.4,186.7,149.4,0,1,22,171.4,0,modelled
nisc001:228027,nisc001:228095,Pacific Hwy opp Old Belmont Rd,Old Belmont Rd opp Belmont Neighbourhood Centre,other,other,140.3,175.4,140.3,0,1,22,162.3,0,modelled
nisc001:228027,nisc001:228096,Pacific Hwy opp Old Belmont Rd,"Belmont Neighbourhood Centre, Old Belmont Rd",other,other,110.4,138.1,110.4,0,1,22,132.4,0,modelled
nisc001:228028,nisc001:228035,Pacific Hwy at Avonlea St,Pacific Hwy opp Avonlea St,other,other,40.4,50.6,40.4,0,0,0,40.4,0,modelled
nisc001:228029,nisc001:228034,Pacific Hwy after Avonlea St,Pacific Hwy before Avonlea St,other,other,22.2,27.7,22.2,0,0,0,22.2,0,modelled
nisc001:228030,nisc001:228054,Pacific Hwy after Ntaba Rd,Pacific Hwy opp Ntaba Rd,other,other,59.7,74.7,59.7,0,0,0,59.7,0,modelled
nisc001:228031,nisc001:228053,Pacific Hwy opp 120,120 Pacific Hwy,other,other,54.1,67.6,54.1,0,0,0,54.1,0,modelled
nisc001:228032,nisc001:228052,Pacific Hwy before Dalrymple St,Pacific Hwy opp Dalrymple St,other,other,54.0,67.5,54.0,0,0,0,54.0,0,modelled
nisc001:228036,nisc001:228095,Pacific Hwy at Old Belmont Rd,Old Belmont Rd opp Belmont Neighbourhood Centre,other,other,101.0,126.2,101.0,0,1,22,123.0,0,modelled
nisc001:228036,nisc001:228096,Pacific Hwy at Old Belmont Rd,"Belmont Neighbourhood Centre, Old Belmont Rd",other,other,69.6,87.0,69.6,0,1,22,91.6,0,modelled
nisc001:228056,nisc001:229040,Pacific Hwy at South St,Pacific Hwy opp South St,other,other,113.2,141.5,113.2,0,1,22,135.2,0,modelled
nisc001:228059,nisc001:228078,Railway Cres after Kalaroo Rd,Wommara Ave at Railway Cres,other,other,103.0,128.7,103.0,0,1,22,125.0,0,modelled
nisc001:228059,nisc001:228079,Railway Cres after Kalaroo Rd,Railway Cres before Kalaroo Rd,other,other,22.5,28.1,22.5,0,0,0,22.5,0,modelled
nisc001:228060,nisc001:228062,Railway Cres after Wommara Ave,Wommara Ave after Railway Cres,other,other,78.0,97.4,78.0,0,1,22,100.0,0,modelled
nisc001:228060,nisc001:228074,Railway Cres after Wommara Ave,Wommara Ave before Warrior St,other,other,81.2,101.5,81.2,0,1,22,103.2,0,modelled
nisc001:228062,nisc001:228074,Wommara Ave after Railway Cres,Wommara Ave before Warrior St,other,other,103.4,129.2,103.4,0,1,22,125.4,0,modelled
nisc001:228063,nisc001:228064,Wommara Ave after Prince St,Wommara Ave at Golding Ave,other,other,76.8,96.0,76.8,0,1,22,98.8,0,modelled
nisc001:228066,nisc001:228072,Wommara Ave before Chief St,Wommara Ave opp Master St,other,other,49.6,62.0,49.6,0,0,0,49.6,0,modelled
nisc001:228067,nisc001:228068,"Belmont Christian College, John Fisher Rd","Belmont Christian College, John Fisher Rd",other,other,11.3,14.1,11.3,0,0,0,11.3,0,modelled
nisc001:228067,nisc001:228069,"Belmont Christian College, John Fisher Rd","Belmont Christian College, John Fisher Rd",other,other,44.4,55.5,44.4,0,0,0,44.4,0,modelled
nisc001:228067,nisc001:228070,"Belmont Christian College, John Fisher Rd","Belmont Christian College, John Fisher Rd",other,other,62.4,78.0,62.4,0,1,22,84.4,0,modelled
nisc001:228068,nisc001:228069,"Belmont Christian College, John Fisher Rd","Belmont Christian College, John Fisher Rd",other,other,33.4,41.7,33.4,0,0,0,33.4,0,modelled
nisc001:228068,nisc001:228070,"Belmont Christian College, John Fisher Rd","Belmont Christian College, John Fisher Rd",other,other,51.2,64.0,51.2,0,0,0,51.2,0,modelled
nisc001:228069,nisc001:228070,"Belmont Christian College, John Fisher Rd","Belmont Christian College, John Fisher Rd",other,other,18.4,22.9,18.4,0,0,0,18.4,0,modelled
nisc001:228074,nisc001:228078,Wommara Ave before Warrior St,Wommara Ave at Railway Cres,other,other,111.9,139.9,111.9,0,1,22,133.9,0,modelled
nisc001:228075,nisc001:228076,"Holy Family Anglican Church, Ntaba Rd",Ntaba Rd opp Holy Family Anglican Church,other,other,20.4,25.5,20.4,0,0,0,20.4,0,modelled
nisc001:228075,nisc001:228084,"Holy Family Anglican Church, Ntaba Rd","Holy Family Anglican Church, Harrison St",other,other,79.0,98.8,79.0,0,1,22,101.0,0,modelled
nisc001:228076,nisc001:228084,Ntaba Rd opp Holy Family Anglican Church,"Holy Family Anglican Church, Harrison St",other,other,94.4,118.0,94.4,0,1,22,116.4,0,modelled
nisc001:228078,nisc001:228079,Wommara Ave at Railway Cres,Railway Cres before Kalaroo Rd,other,other,112.3,140.4,112.3,0,1,22,134.3,0,modelled
nisc001:228088,nisc001:228091,Harrison St at Somerset St,Old Belmont Rd before Harlo St,other,other,146.9,183.6,146.9,0,1,22,168.9,0,modelled
nisc001:228092,nisc001:228099,Old Belmont Rd at Arlington St,Old Belmont Rd after Leicester Ave,other,other,78.4,98.0,78.4,0,1,22,100.4,0,modelled
nisc001:228093,nisc001:228098,Old Belmont Rd at Bangalla St,Old Belmont Rd opp Bangalla St,other,other,24.6,30.7,24.6,0,0,0,24.6,0,modelled
nisc001:228094,nisc001:228097,"Belmont North Public School, Old Belmont Rd",Old Belmont Rd opp Belmont North Public School,other,other,20.4,25.5,20.4,0,0,0,20.4,0,modelled
