SA1_CODE21,zone_tier,lga_name,lga_code
10601110701,core,Cessnock,11720
10601110702,core,Cessnock,11720
10601110703,core,Cessnock,11720
10601110704,external,Singleton,17000
10601110705,external,Singleton,17000
10601110706,core,Maitland,15050
10601110707,core,Cessnock,11720
10601110708,core,Cessnock,11720
10601110709,core,Cessnock,11720
10601110710,core,Cessnock,11720
10601110712,core,Cessnock,11720
10601110713,core,Cessnock,11720
10601110714,core,Cessnock,11720
10601110716,external,Singleton,17000
10601110717,external,Singleton,17000
10601110718,external,Singleton,17000
10601110719,core,Cessnock,11720
10601110720,core,Cessnock,11720
10601110722,core,Cessnock,11720
10601110723,core,Cessnock,11720
10601110725,core,Cessnock,11720
10601110726,core,Cessnock,11720
10601110727,core,Cessnock,11720
10601110728,core,Cessnock,11720
10601110729,core,Cessnock,11720
10601110730,core,Cessnock,11720
10601110731,core,Cessnock,11720
10601110732,core,Cessnock,11720
10601110733,core,Cessnock,11720
10601110801,core,Cessnock,11720
10601110806,core,Cessnock,11720
10601110807,core,Cessnock,11720
10601110808,core,Cessnock,11720
10601110809,core,Cessnock,11720
10601110810,core,Cessnock,11720
10601110811,core,Cessnock,11720
10601110812,core,Cessnock,11720
10601110813,core,Cessnock,11720
10601110814,core,Cessnock,11720
10601110815,core,Cessnock,11720
10601110816,core,Cessnock,11720
10601110817,core,Cessnock,11720
10601110818,core,Cessnock,11720
10601110819,core,Cessnock,11720
10601110820,core,Cessnock,11720
10601110821,core,Cessnock,11720
10601110822,core,Cessnock,11720
10601110823,core,Cessnock,11720
10601110824,core,Cessnock,11720
10601110825,core,Cessnock,11720
10601110826,core,Cessnock,11720
10601110827,core,Cessnock,11720
10601110828,core,Cessnock,11720
10601110829,core,Cessnock,11720
10601110830,core,Cessnock,11720
10601110831,core,Cessnock,11720
10601110832,core,Cessnock,11720
10601110833,core,Cessnock,11720
10601110834,core,Cessnock,11720
10601110835,core,Cessnock,11720
10601110836,core,Cessnock,11720
10601110837,core,Cessnock,11720
10601110838,core,Cessnock,11720
10601110839,core,Cessnock,11720
10601110840,core,Cessnock,11720
10601110841,core,Cessnock,11720
10601110842,core,Cessnock,11720
10601110843,core,Cessnock,11720
10601110844,core,Cessnock,11720
10601110845,core,Cessnock,11720
10601110847,core,Cessnock,11720
10601110848,core,Cessnock,11720
10601110850,core,Cessnock,11720
10601110852,core,Cessnock,11720
10601110855,core,Cessnock,11720
10601110858,core,Cessnock,11720
10601110859,core,Cessnock,11720
10601110860,core,Cessnock,11720
10601110861,core,Cessnock,11720
10601110862,core,Cessnock,11720
10601110863,core,Cessnock,11720
10601110864,core,Cessnock,11720
10601110865,core,Cessnock,11720
10601110866,core,Cessnock,11720
10601110901,core,Cessnock,11720
10601110902,core,Cessnock,11720
10601110903,core,Cessnock,11720
10601110904,core,Cessnock,11720
10601110905,core,Cessnock,11720
10601110906,core,Cessnock,11720
10601110907,core,Cessnock,11720
10601110908,core,Cessnock,11720
10601110909,core,Cessnock,11720
10601110911,core,Cessnock,11720
10601110912,core,Cessnock,11720
10601110913,core,Cessnock,11720
10601110914,core,Cessnock,11720
10601110915,core,Cessnock,11720
10601110916,core,Cessnock,11720
10601110917,core,Cessnock,11720
10601110918,core,Cessnock,11720
10601110920,core,Cessnock,11720
