DZN_CODE21,SA2_CODE21,SA2_NAME21,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM21,LOCI_URI21,SHAPE_Leng,SHAPE_Area,area_km2,x_mga56,y_mga56,lon,lat,zone_tier,zone_id
110306044,102011030,Calga - Kulnura,1,New South Wales,AUS,Australia,315.789,http://linked.data.gov.au/dataset/asgsed3/DZN/110306044,1.13488504175,0.0305522216241,315.7635,331700.6,6319632.3,151.1934092,-33.2491895,external,110306044
110450001,102021045,Blue Haven - San Remo,1,New South Wales,AUS,Australia,16.1735,http://linked.data.gov.au/dataset/asgsed3/DZN/110450001,0.246573321604,0.00156400351978,16.1681,362518.7,6325074.6,151.5249402,-33.2044816,external,110450001
110496297,102021049,Jilliby - Yarramalong,1,New South Wales,AUS,Australia,157.5843,http://linked.data.gov.au/dataset/asgsed3/DZN/110496297,0.922323452987,0.0152410822976,157.5486,348729.2,6323931.1,151.3768498,-33.2129503,external,110496297
110496298,102021049,Jilliby - Yarramalong,1,New South Wales,AUS,Australia,189.1819,http://linked.data.gov.au/dataset/asgsed3/DZN/110496298,0.8656205694,0.0182810771543,189.1494,340161.2,6331760.9,151.286324,-33.141123,external,110496298
110506443,102021050,Lake Munmorah - Mannering Park,1,New South Wales,AUS,Australia,18.1863,http://linked.data.gov.au/dataset/asgsed3/DZN/110506443,0.25331419428,0.00175826837389,18.1794,370016.1,6327673.9,151.6057316,-33.18197,external,110506443
110506444,102021050,Lake Munmorah - Mannering Park,1,New South Wales,AUS,Australia,14.3865,http://linked.data.gov.au/dataset/asgsed3/DZN/110506444,0.222615229137,0.00139084007802,14.3821,364212.3,6329128.0,151.5437115,-33.1681453,external,110506444
110738261,103031073,Mudgee Surrounds - East,1,New South Wales,AUS,Australia,2714.8442,http://linked.data.gov.au/dataset/asgsed3/DZN/110738261,4.99118586574,0.261208911241,2717.8679,224539.1,6375477.3,150.0608943,-32.7240999,external,110738261
110748256,103031074,Mudgee Surrounds - West,1,New South Wales,AUS,Australia,2558.3237,http://linked.data.gov.au/dataset/asgsed3/DZN/110748256,3.68216428122,0.24476105934,2562.332,190116.6,6429633.6,149.711908,-32.2272167,external,110748256
110758273,103031075,Wollangambe - Wollemi,1,New South Wales,AUS,Australia,2448.7276,http://linked.data.gov.au/dataset/asgsed3/DZN/110758273,4.76184744027,0.236688390892,2450.3657,263918.8,6330724.3,150.4692207,-33.136545,external,110758273
110998751,105031099,Coonabarabran,1,New South Wales,AUS,Australia,3029.9438,http://linked.data.gov.au/dataset/asgsed3/DZN/110998751,4.60225522305,0.288026720132,3034.8663,191963.0,6495355.3,149.7523728,-31.6357512,external,110998751
111077020,106011107,Branxton - Greta - Pokolbin,1,New South Wales,AUS,Australia,128.9262,http://linked.data.gov.au/dataset/asgsed3/DZN/111077020,0.674137880196,0.0124076377141,128.9043,338840.8,6372753.6,151.2793519,-32.7713233,core,111077020
111077021,106011107,Branxton - Greta - Pokolbin,1,New South Wales,AUS,Australia,38.3686,http://linked.data.gov.au/dataset/asgsed3/DZN/111077021,0.361709210098,0.00369236751519,38.3597,347681.6,6372676.7,151.3736969,-32.7732777,core,111077021
111077022,106011107,Branxton - Greta - Pokolbin,1,New South Wales,AUS,Australia,154.1084,http://linked.data.gov.au/dataset/asgsed3/DZN/111077022,0.742430346177,0.0148120719093,154.0803,339505.7,6384408.0,151.2884576,-32.6663356,external,111077022
111077023,106011107,Branxton - Greta - Pokolbin,1,New South Wales,AUS,Australia,65.8457,http://linked.data.gov.au/dataset/asgsed3/DZN/111077023,0.434185212603,0.00633202122445,65.8307,347563.3,6380912.0,151.3737833,-32.6990028,core,111077023
111077024,106011107,Branxton - Greta - Pokolbin,1,New South Wales,AUS,Australia,5.0373,http://linked.data.gov.au/dataset/asgsed3/DZN/111077024,0.146871045201,0.0004841939149,5.0362,345878.7,6384825.7,151.3564649,-32.663478,core,111077024
111080001,106011108,Cessnock,1,New South Wales,AUS,Australia,20.5349,http://linked.data.gov.au/dataset/asgsed3/DZN/111080001,0.330863427441,0.00197802019261,20.5301,350286.3,6364548.6,151.400184,-32.8469278,core,111080001
111080002,106011108,Cessnock,1,New South Wales,AUS,Australia,2.457,http://linked.data.gov.au/dataset/asgsed3/DZN/111080002,0.0784311909095,0.000236629114574,2.4565,348020.9,6365852.2,151.376199,-32.8348609,core,111080002
111087055,106011108,Cessnock,1,New South Wales,AUS,Australia,8.0573,http://linked.data.gov.au/dataset/asgsed3/DZN/111087055,0.144908118128,0.000776180789054,8.0562,342635.4,6363508.5,151.3182807,-32.8552341,core,111087055
