SA1_CODE21,CHG_FLAG21,CHG_LBL21,SA2_CODE21,SA2_NAME21,SA3_CODE21,SA3_NAME21,SA4_CODE21,SA4_NAME21,GCC_CODE21,GCC_NAME21,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM21,LOCI_URI21,area_km2,x_mga56,y_mga56,lon,lat,zone_tier,zone_id
10601110701,0,No change,106011107,Branxton - Greta - Pokolbin,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.48,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110701,0.4799,348567.8,6384035.7,151.3850026,-32.670974,core,10601110701
10601110702,0,No change,106011107,Branxton - Greta - Pokolbin,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.3289,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110702,0.329,349277.7,6383211.2,151.3924383,-32.678506,core,10601110702
10601110703,0,No change,106011107,Branxton - Greta - Pokolbin,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,2.8692,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110703,2.8685,349522.0,6383771.1,151.3951335,-32.6734907,core,10601110703
10601110704,0,No change,106011107,Branxton - Greta - Pokolbin,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,41.77,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110704,41.7628,340056.2,6389518.7,151.2952007,-32.620333,external,10601110704
10601110705,0,No change,106011107,Branxton - Greta - Pokolbin,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,68.8539,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110705,68.843,339036.8,6382062.1,151.2830545,-32.68742,external,10601110705
10601110706,0,No change,106011107,Branxton - Greta - Pokolbin,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,33.7806,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110706,33.7724,350217.1,6380842.5,151.4020735,-32.6999931,core,10601110706
10601110707,0,No change,106011107,Branxton - Greta - Pokolbin,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,89.2841,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110707,89.2697,340067.3,6371359.3,151.2922021,-32.7840749,core,10601110707
10601110708,0,No change,106011107,Branxton - Greta - Pokolbin,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,38.3686,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110708,38.3597,347681.6,6372676.7,151.3736969,-32.7732777,core,10601110708
10601110709,0,No change,106011107,Branxton - Greta - Pokolbin,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.6533,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110709,0.6532,345415.5,6385645.1,151.3516625,-32.656025,core,10601110709
10601110710,0,No change,106011107,Branxton - Greta - Pokolbin,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.499,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110710,0.499,345976.8,6384753.6,151.3574986,-32.6641417,core,10601110710
