SA2_CODE21,SA2_NAME21,CHG_FLAG21,CHG_LBL21,SA3_CODE21,SA3_NAME21,SA4_CODE21,SA4_NAME21,GCC_CODE21,GCC_NAME21,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM21,LOCI_URI21,area_km2,x_mga56,y_mga56,lon,lat,zone_tier,zone_id
106011107,Branxton - Greta - Pokolbin,0,No change,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,392.2862,http://linked.data.gov.au/dataset/asgsed3/SA2/106011107,392.2113,343760.6,6379612.0,151.3330125,-32.7101926,core,106011107
106011108,Cessnock,0,No change,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,68.9812,http://linked.data.gov.au/dataset/asgsed3/SA2/106011108,68.9668,347347.4,6366412.5,151.3690984,-32.8297155,core,106011108
106011109,Cessnock Surrounds,3,Name change,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,1570.4345,http://linked.data.gov.au/dataset/asgsed3/SA2/106011109,1570.2999,336902.9,6351893.8,151.25499,-32.9591179,core,106011109
106011110,Dungog,0,No change,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,2249.9983,http://linked.data.gov.au/dataset/asgsed3/SA2/106011110,2249.1602,370405.9,6420265.2,151.6228304,-32.3470206,external,106011110
106011111,Kurri Kurri - Abermain,0,No change,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,90.6145,http://linked.data.gov.au/dataset/asgsed3/SA2/106011111,90.5875,356408.1,6369459.2,151.4663412,-32.8034658,core,106011111
106011112,Singleton,0,No change,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,127.2317,http://linked.data.gov.au/dataset/asgsed3/SA2/106011112,127.2209,326458.1,6393704.6,151.1510996,-32.5805413,external,106011112
106011113,Singleton Surrounds,3,Name change,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,4067.2348,http://linked.data.gov.au/dataset/asgsed3/SA2/106011113,4067.5205,306601.6,6390675.6,150.9390378,-32.6045587,external,106011113
106021114,Maitland,0,No change,10602,Maitland,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,32.0793,http://linked.data.gov.au/dataset/asgsed3/SA2/106021114,32.0679,362869.9,6374332.6,151.536058,-32.760345,core,106021114
106021116,Maitland - North,0,No change,10602,Maitland,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,70.5478,http://linked.data.gov.au/dataset/asgsed3/SA2/106021116,70.5218,366135.2,6383447.9,151.5722179,-32.6785458,core,106021116
106021614,East Maitland - Metford,1,New,10602,Maitland,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,21.6762,http://linked.data.gov.au/dataset/asgsed3/SA2/106021614,21.6685,368101.1,6373898.6,151.5918274,-32.7648985,core,106021614
