sweep_id,beta_transfer_penalty_min,walk_decay_beta_per_m,dwell_charging_s,is_baseline
SW0001,3.0,0.001,0.0,0
SW0002,3.0,0.001,10.0,0
SW0003,3.0,0.001,20.0,0
SW0004,3.0,0.001,35.0,0
SW0005,3.0,0.0014,0.0,0
SW0006,3.0,0.0014,10.0,0
SW0007,3.0,0.0014,20.0,0
SW0008,3.0,0.0014,35.0,0
SW0009,3.0,0.0018,0.0,0
SW0010,3.0,0.0018,10.0,0
SW0011,3.0,0.0018,20.0,0
SW0012,3.0,0.0018,35.0,0
SW0013,3.0,0.0024,0.0,0
SW0014,3.0,0.0024,10.0,0
SW0015,3.0,0.0024,20.0,0
SW0016,3.0,0.0024,35.0,0
SW0017,3.0,0.003,0.0,0
SW0018,3.0,0.003,10.0,0
SW0019,3.0,0.003,20.0,0
SW0020,3.0,0.003,35.0,0
SW0021,5.0,0.001,0.0,0
SW0022,5.0,0.001,10.0,0
SW0023,5.0,0.001,20.0,0
SW0024,5.0,0.001,35.0,0
SW0025,5.0,0.0014,0.0,0
SW0026,5.0,0.0014,10.0,0
SW0027,5.0,0.0014,20.0,0
SW0028,5.0,0.0014,35.0,0
SW0029,5.0,0.0018,0.0,0
SW0030,5.0,0.0018,10.0,0
SW0031,5.0,0.0018,20.0,0
SW0032,5.0,0.0018,35.0,0
SW0033,5.0,0.0024,0.0,0
SW0034,5.0,0.0024,10.0,0
SW0035,5.0,0.0024,20.0,0
SW0036,5.0,0.0024,35.0,0
SW0037,5.0,0.003,0.0,0
SW0038,5.0,0.003,10.0,0
SW0039,5.0,0.003,20.0,0
SW0040,5.0,0.003,35.0,0
SW0041,6.5,0.001,0.0,0
SW0042,6.5,0.001,10.0,0
SW0043,6.5,0.001,20.0,0
SW0044,6.5,0.001,35.0,0
SW0045,6.5,0.0014,0.0,0
SW0046,6.5,0.0014,10.0,0
SW0047,6.5,0.0014,20.0,0
SW0048,6.5,0.0014,35.0,0
SW0049,6.5,0.0018,0.0,0
SW0050,6.5,0.0018,10.0,0
SW0051,6.5,0.0018,20.0,0
SW0052,6.5,0.0018,35.0,0
SW0053,6.5,0.0024,0.0,0
SW0054,6.5,0.0024,10.0,0
SW0055,6.5,0.0024,20.0,0
SW0056,6.5,0.0024,35.0,0
SW0057,6.5,0.003,0.0,0
SW0058,6.5,0.003,10.0,0
SW0059,6.5,0.003,20.0,0
SW0060,6.5,0.003,35.0,0
SW0061,8.0,0.001,0.0,0
SW0062,8.0,0.001,10.0,0
SW0063,8.0,0.001,20.0,0
SW0064,8.0,0.001,35.0,0
SW0065,8.0,0.0014,0.0,0
SW0066,8.0,0.0014,10.0,0
SW0067,8.0,0.0014,20.0,0
SW0068,8.0,0.0014,35.0,0
SW0069,8.0,0.0018,0.0,0
SW0070,8.0,0.0018,10.0,0
SW0071,8.0,0.0018,20.0,1
SW0072,8.0,0.0018,35.0,0
SW0073,8.0,0.0024,0.0,0
SW0074,8.0,0.0024,10.0,0
SW0075,8.0,0.0024,20.0,0
SW0076,8.0,0.0024,35.0,0
SW0077,8.0,0.003,0.0,0
SW0078,8.0,0.003,10.0,0
SW0079,8.0,0.003,20.0,0
SW0080,8.0,0.003,35.0,0
SW0081,10.0,0.001,0.0,0
SW0082,10.0,0.001,10.0,0
SW0083,10.0,0.001,20.0,0
SW0084,10.0,0.001,35.0,0
SW0085,10.0,0.0014,0.0,0
SW0086,10.0,0.0014,10.0,0
SW0087,10.0,0.0014,20.0,0
SW0088,10.0,0.0014,35.0,0
SW0089,10.0,0.0018,0.0,0
SW0090,10.0,0.0018,10.0,0
SW0091,10.0,0.0018,20.0,0
SW0092,10.0,0.0018,35.0,0
SW0093,10.0,0.0024,0.0,0
SW0094,10.0,0.0024,10.0,0
SW0095,10.0,0.0024,20.0,0
SW0096,10.0,0.0024,35.0,0
SW0097,10.0,0.003,0.0,0
SW0098,10.0,0.003,10.0,0
SW0099,10.0,0.003,20.0,0
SW0100,10.0,0.003,35.0,0
SW0101,12.0,0.001,0.0,0
SW0102,12.0,0.001,10.0,0
SW0103,12.0,0.001,20.0,0
SW0104,12.0,0.001,35.0,0
SW0105,12.0,0.0014,0.0,0
SW0106,12.0,0.0014,10.0,0
SW0107,12.0,0.0014,20.0,0
SW0108,12.0,0.0014,35.0,0
SW0109,12.0,0.0018,0.0,0
SW0110,12.0,0.0018,10.0,0
SW0111,12.0,0.0018,20.0,0
SW0112,12.0,0.0018,35.0,0
SW0113,12.0,0.0024,0.0,0
SW0114,12.0,0.0024,10.0,0
SW0115,12.0,0.0024,20.0,0
SW0116,12.0,0.0024,35.0,0
SW0117,12.0,0.003,0.0,0
SW0118,12.0,0.003,10.0,0
SW0119,12.0,0.003,20.0,0
SW0120,12.0,0.003,35.0,0
SW0121,15.0,0.001,0.0,0
SW0122,15.0,0.001,10.0,0
SW0123,15.0,0.001,20.0,0
SW0124,15.0,0.001,35.0,0
SW0125,15.0,0.0014,0.0,0
SW0126,15.0,0.0014,10.0,0
SW0127,15.0,0.0014,20.0,0
SW0128,15.0,0.0014,35.0,0
SW0129,15.0,0.0018,0.0,0
SW0130,15.0,0.0018,10.0,0
SW0131,15.0,0.0018,20.0,0
SW0132,15.0,0.0018,35.0,0
SW0133,15.0,0.0024,0.0,0
SW0134,15.0,0.0024,10.0,0
SW0135,15.0,0.0024,20.0,0
SW0136,15.0,0.0024,35.0,0
SW0137,15.0,0.003,0.0,0
SW0138,15.0,0.003,10.0,0
SW0139,15.0,0.003,20.0,0
SW0140,15.0,0.003,35.0,0
